NCT of Delhi,Delhi,Najafgarh,Arhar (Whole),Pulses,38.8,1811,2200,2005,1-Jan-08
NCT of Delhi,Delhi,Narela,Arhar (Whole),Pulses,66.5,1400,2266,2196,1-Jan-08
NCT of Delhi,Delhi,Najafgarh,Arhar (Whole),Pulses,21.6,1700,2219,1959,3-Jan-08
NCT of Delhi,Delhi,Narela,Arhar (Whole),Pulses,66.4,1232,2280,2201,3-Jan-08
NCT of Delhi,Delhi,Najafgarh,Arhar (Whole),Pulses,32.4,1765,2190,1977,4-Jan-08
NCT of Delhi,Delhi,Narela,Arhar (Whole),Pulses,60.4,1641,2315,2200,4-Jan-08
NCT of Delhi,Delhi,Najafgarh,Arhar (Whole),Pulses,30,1881,2180,2030,5-Jan-08
NCT of Delhi,Delhi,Narela,Arhar (Whole),Pulses,53.2,1591,2264,2201,5-Jan-08
NCT of Delhi,Delhi,Najafgarh,Arhar (Whole),Pulses,23.7,1600,2233,1916,6-Jan-08
NCT of Delhi,Delhi,Narela,Arhar (Whole),Pulses,29.7,1301,2231,2191,6-Jan-08
NCT of Delhi,Delhi,Najafgarh,Arhar (Whole),Pulses,32.1,1651,2219,1935,7-Jan-08
NCT of Delhi,Delhi,Narela,Arhar (Whole),Pulses,58,1475,2241,2211,7-Jan-08
NCT of Delhi,Delhi,Najafgarh,Arhar (Whole),Pulses,16.1,1600,2181,1890,8-Jan-08
NCT of Delhi,Delhi,Narela,Arhar (Whole),Pulses,28,1853,2259,2221,8-Jan-08
NCT of Delhi,Delhi,Najafgarh,Arhar (Whole),Pulses,19,2051,2181,2116,10-Jan-08
NCT of Delhi,Delhi,Narela,Arhar (Whole),Pulses,34.1,1750,2271,2221,10-Jan-08
NCT of Delhi,Delhi,Najafgarh,Arhar (Whole),Pulses,195,2100,2200,2150,11-Jan-08
NCT of Delhi,Delhi,Narela,Arhar (Whole),Pulses,17.1,1725,2251,2100,11-Jan-08
NCT of Delhi,Delhi,Najafgarh,Arhar (Whole),Pulses,37.4,1915,2159,2037,12-Jan-08
NCT of Delhi,Delhi,Narela,Arhar (Whole),Pulses,27.3,1751,2191,2161,12-Jan-08
NCT of Delhi,Delhi,Najafgarh,Arhar (Whole),Pulses,7.4,1640,2215,1927,13-Jan-08
NCT of Delhi,Delhi,Narela,Arhar (Whole),Pulses,13.6,1700,2141,2051,13-Jan-08
