Andhra Pradesh,Anantapur,"P. Ramacharyulu Park,RBZ",Other,Pulses,1.60,700,900,800,01 Jan 2008
Gujarat,Dahod,Dahod,Other,Pulses,1.30,1550,1700,1600,01 Jan 2008
Gujarat,Kheda,Nadiad,Other,Pulses,11.40,650,700,675,01 Jan 2008
Haryana,Ambala,Naraingarh,Other,Pulses,1.03,700,800,750,01 Jan 2008
Haryana,Hissar,Uklana,Green Peas,Pulses,2.00,900,900,900,01 Jan 2008
Jharkhand,Giridih,Giridih,Green Peas,Pulses,1.00,1900,2000,2000,01 Jan 2008
Maharashtra,Parbhani,Parbhani,Other,Pulses,5.00,800,1000,900,01 Jan 2008
Maharashtra,Pune,Pune,Other,Pulses,21.40,2125,3000,2560,01 Jan 2008
Maharashtra,Sangli,Sangli,Other,Pulses,10.50,2000,2800,2400,01 Jan 2008
Maharashtra,Satara,Satara,Other,Pulses,3.50,800,1200,1000,01 Jan 2008
Maharashtra,Sholapur,Solapur,Other,Pulses,1.40,1800,2250,2150,01 Jan 2008
NCT of Delhi,Delhi,Shahdara,Other,Pulses,45.90,800,1050,1000,01 Jan 2008
Punjab,Jalandhar,Bhogpur,Other,Pulses,1.10,0,600,0,01 Jan 2008
Punjab,Jalandhar,Shahkot,Other,Pulses,0.90,800,1000,900,01 Jan 2008
Punjab,Sangrur,Bhawanigarh,Other,Pulses,1.60,700,900,800,01 Jan 2008
Uttar Pradesh,Fatehpur,Bindki,Other,Pulses,2.00,450,500,480,01 Jan 2008
Uttar Pradesh,Fatehpur,Jahanabad,Other,Pulses,1.50,380,400,390,01 Jan 2008
Uttar Pradesh,Lucknow,Lucknow,Other,Pulses,18.00,0,0,2025,01 Jan 2008
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Pulses,16.50,475,525,500,01 Jan 2008
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Pulses,20.00,2200,2300,2300,02 Jan 2008
Gujarat,Dahod,Dahod,Other,Pulses,0.10,1550,1750,1600,02 Jan 2008
Gujarat,Kheda,Nadiad,Other,Pulses,26.20,750,1000,875,02 Jan 2008
Haryana,Ambala,Naraingarh,Other,Pulses,1.29,700,800,750,02 Jan 2008
Haryana,Hissar,Uklana,Green Peas,Pulses,11.00,900,1000,900,02 Jan 2008
Jharkhand,Giridih,Giridih,Green Peas,Pulses,1.00,1900,2000,2000,02 Jan 2008
Maharashtra,Satara,Satara,Other,Pulses,2.10,800,1200,1000,02 Jan 2008
NCT of Delhi,Delhi,Shahdara,Other,Pulses,90.20,800,1000,900,02 Jan 2008
Punjab,Jalandhar,Bhogpur,Other,Pulses,1.00,0,400,0,02 Jan 2008
Punjab,Jalandhar,Shahkot,Other,Pulses,0.80,900,1000,950,02 Jan 2008
Punjab,Patiala,Samana,Other,Pulses,17.50,800,1100,1000,02 Jan 2008
Punjab,Sangrur,Bhawanigarh,Other,Pulses,0.70,800,1000,900,02 Jan 2008
Rajasthan,Bikaner,Bikaner(F&V),Other,Pulses,16.60,1050,1150,1100,02 Jan 2008
Rajasthan,Kota,Kota (FV),Other,Pulses,22.50,900,1100,1000,02 Jan 2008
Uttar Pradesh,Fatehpur,Jahanabad,Other,Pulses,1.40,380,400,390,02 Jan 2008
Uttar Pradesh,Lucknow,Lucknow,Other,Pulses,18.50,0,0,2025,02 Jan 2008
Uttar Pradesh,Raebarelli,Raibareilly,Other,Pulses,16.00,1040,1055,1050,02 Jan 2008
Uttrakhand,Nanital,Ramnagar,Other,Pulses,2.00,450,550,500,02 Jan 2008
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Pulses,9.00,480,520,500,02 Jan 2008
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Pulses,22.00,2250,2300,2250,03 Jan 2008
Gujarat,Dahod,Dahod,Other,Pulses,0.30,1550,1750,1700,03 Jan 2008
Haryana,Hissar,Uklana,Green Peas,Pulses,12.00,900,1000,1000,03 Jan 2008
Jharkhand,Giridih,Giridih,Green Peas,Pulses,1.00,1900,2000,0,03 Jan 2008
Maharashtra,Amarawati,Achalpur,Other,Pulses,0.10,1100,1200,1150,03 Jan 2008
Maharashtra,Satara,Satara,Other,Pulses,6.10,400,1000,700,03 Jan 2008
Maharashtra,Sholapur,Solapur,Other,Pulses,0.20,2200,2200,2200,03 Jan 2008
Manipur,Imphal West,Imphal,Other,Pulses,0.60,2800,2800,2800,03 Jan 2008
NCT of Delhi,Delhi,Shahdara,Other,Pulses,78.30,800,1000,900,03 Jan 2008
Punjab,Jalandhar,Shahkot,Other,Pulses,0.90,800,1000,900,03 Jan 2008
Punjab,Ludhiana,Mullanpur,Other,Pulses,1.00,1400,1510,1450,03 Jan 2008
Punjab,Patiala,Samana,Other,Pulses,8.20,800,1000,950,03 Jan 2008
Punjab,Sangrur,Bhawanigarh,Other,Pulses,1.60,600,800,700,03 Jan 2008
Rajasthan,Bikaner,Bikaner(F&V),Other,Pulses,13.70,1050,1150,1100,03 Jan 2008
Rajasthan,Kota,Kota (FV),Other,Pulses,46.30,700,950,825,03 Jan 2008
Uttar Pradesh,Farukhabad,Farukhabad,Other,Pulses,15.00,350,500,400,03 Jan 2008
Uttar Pradesh,Fatehpur,Bindki,Other,Pulses,2.00,450,500,490,03 Jan 2008
Uttar Pradesh,Fatehpur,Jahanabad,Other,Pulses,3.00,550,600,575,03 Jan 2008
Uttar Pradesh,Lucknow,Lucknow,Other,Pulses,18.50,0,0,2025,03 Jan 2008
Uttar Pradesh,Raebarelli,Raibareilly,Other,Pulses,14.00,1000,1015,1010,03 Jan 2008
Uttrakhand,UdhamSinghNagar,Kicchha,Green Peas,Pulses,4.00,450,500,450,03 Jan 2008
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Pulses,5.00,475,525,500,03 Jan 2008
Gujarat,Dahod,Dahod,Other,Pulses,0.10,1550,1750,1700,04 Jan 2008
Gujarat,Kheda,Nadiad,Other,Pulses,29.25,850,900,875,04 Jan 2008
Haryana,Ambala,Naraingarh,Other,Pulses,1.14,700,800,750,04 Jan 2008
Jammu and Kashmir,Jammu,Jammu (Grain Mandi),Other,Pulses,1.50,2550,2650,2600,04 Jan 2008
Jharkhand,Giridih,Giridih,Green Peas,Pulses,1.00,1900,2000,2000,04 Jan 2008
Manipur,Imphal East,Lamlong Bazaar,Other,Pulses,0.10,3000,3000,3000,04 Jan 2008
Manipur,Imphal West,Imphal,Other,Pulses,0.60,2800,2800,2800,04 Jan 2008
NCT of Delhi,Delhi,Shahdara,Other,Pulses,70.00,700,900,800,04 Jan 2008
