date,modal
2015-01-16,5650.0
2015-01-17,4925.0
2015-01-20,4714.0
2015-01-21,4801.0
2015-01-24,3500.0
2015-01-29,4575.0
2015-01-30,4100.0
2015-01-31,3000.0
2015-02-01,3000.0
2015-02-02,4400.0
2015-02-03,4300.0
2015-02-05,1000.0
2015-02-07,4550.0
2015-02-13,4701.0
2015-02-23,4400.0
2015-02-26,4500.0
2015-02-28,4200.0
2015-03-04,4100.0
2015-03-18,4500.0
2015-03-19,4350.0
2015-03-23,4500.0
2015-03-26,5300.0
2015-03-30,4500.0
2015-03-31,4825.0
2015-04-01,5351.0
2015-04-20,2000.0
2015-04-23,4350.0
2015-04-24,5651.0
2015-04-29,4350.0
2015-04-30,4500.0
2015-05-23,6101.0
2015-05-25,3250.0
2015-05-26,5400.0
2015-05-27,4300.0
2015-05-29,5951.0
2015-05-30,7181.0
2015-05-31,3250.0
2015-06-08,7250.0
2015-06-09,4350.0
2015-06-10,7290.0
2015-06-11,5580.5
2015-06-12,4800.5
2015-06-13,6850.0
2015-06-15,6800.0
2015-06-16,5001.0
2015-06-20,6900.0
2015-06-24,5690.0
2015-06-25,5375.0
2015-06-27,7426.0
2015-06-29,4500.0
2015-06-30,4500.0
2015-07-02,6701.0
2015-07-08,4350.0
2015-07-09,6001.0
2015-07-20,5850.5
2015-07-21,7000.0
2015-07-23,7001.0
2015-07-24,5390.0
2015-07-26,3000.0
2015-07-27,3300.0
2015-07-28,3927.5
2015-07-30,3450.0
2015-07-31,4587.75
2015-08-09,4000.0
2015-08-24,4250.0
2015-08-26,4375.0
2015-08-28,4350.5
2015-08-30,4200.0
2015-08-31,4533.333333333333
2015-09-08,4500.0
2015-09-10,1450.0
2015-09-15,7400.0
2015-09-16,7502.0
2015-09-18,6961.0
2015-09-19,5550.5
2015-09-21,7300.0
2015-09-22,6174.0
2015-09-24,4676.0
2015-09-26,6326.666666666667
2015-09-29,8350.0
2015-09-30,5950.333333333333
2015-10-01,8480.0
2015-10-03,5762.5
2015-10-05,6150.5
2015-10-06,8500.0
2015-10-07,6425.5
2015-10-08,8160.0
2015-10-09,8201.0
2015-10-10,6000.5
2015-10-12,8000.0
2015-10-13,7900.0
2015-10-14,6167.0
2015-10-15,8203.0
2015-10-16,5667.0
2015-10-17,8502.0
2015-10-19,8700.0
2015-10-20,4400.0
2015-10-22,4000.0
2015-10-23,7901.0
2015-10-24,4000.0
2015-10-26,7608.0
2015-10-27,5426.0
2015-10-28,8180.0
2015-10-29,8100.0
2015-10-30,7725.0
2015-10-31,5250.0
2015-11-02,8301.0
2015-11-03,8501.0
2015-11-04,8781.0
2015-11-06,9002.0
2015-11-07,8500.0
2015-11-10,4600.0
2015-11-19,10000.0
2015-11-21,9601.0
2015-11-23,9501.0
2015-11-24,9200.0
2015-11-26,7858.333333333333
2015-11-27,4000.0
2015-11-28,5175.0
2016-01-03,8800.0
2016-01-04,7601.0
2016-01-06,7842.0
2016-01-07,7101.0
2016-01-10,7800.0
2016-01-11,8150.0
2016-01-12,7200.0
2016-01-17,7800.0
2016-01-18,6212.5
2016-01-19,4500.0
2016-01-23,8500.0
2016-01-24,8500.0
2016-01-25,4350.0
2016-01-28,7200.0
2016-01-30,7400.0
2016-01-31,6100.0
2016-02-01,7000.0
2016-02-06,8200.0
2016-02-08,4426.0
2016-02-11,7800.0
2016-02-13,7365.0
2016-02-17,8401.0
2016-02-18,8401.0
2016-02-19,8600.0
2016-02-25,4500.0
2016-02-26,8193.666666666666
2016-02-27,6300.333333333333
2016-03-03,6140.0
2016-03-04,4430.0
2016-03-05,6400.5
2016-03-08,8300.0
2016-03-15,4500.0
2016-03-17,4430.0
2016-03-18,4440.0
2016-03-19,3800.0
2016-03-22,7000.0
2016-03-23,4500.0
2016-03-26,4500.0
2016-03-29,2500.0
2016-03-30,4100.0
2016-03-31,5007.5
2016-04-08,3500.0
2016-04-20,4425.0
2016-04-21,4500.0
2016-04-30,6267.0
2016-05-05,3000.0
2016-05-07,4500.0
2016-05-12,6450.5
2016-05-16,4500.0
2016-05-18,4500.0
2016-05-20,4600.0
2016-05-24,4500.0
2016-05-27,8410.0
2016-05-28,3000.0
2016-05-31,6051.25
2016-06-09,9001.0
2016-06-10,9400.0
2016-06-11,9702.0
2016-06-13,10001.0
2016-06-15,10000.0
2016-06-16,9701.0
2016-06-17,10500.0
2016-06-18,9550.0
2016-06-21,10200.0
2016-06-22,9800.0
2016-06-25,10016.0
2016-06-27,4500.0
2016-06-29,7733.333333333333
2016-06-30,6316.666666666667
2016-07-08,10341.0
2016-07-09,7538.0
2016-07-11,10400.0
2016-07-12,10565.0
2016-07-13,10430.0
2016-07-14,7250.0
2016-07-15,10300.0
2016-07-16,10350.0
2016-07-19,10370.0
2016-07-20,7150.0
2016-07-21,4450.0
2016-07-23,10200.5
2016-07-26,9800.0
2016-07-29,9400.0
2016-07-30,9420.0
2016-07-31,4800.0
2016-08-05,9300.0
2016-08-08,8901.0
2016-08-10,8500.0
2016-08-11,8801.0
2016-08-16,5000.0
2016-08-24,8900.0
2016-08-27,8800.0
2016-08-29,6850.0
2016-09-02,8701.0
2016-09-03,4430.0
2016-09-08,8000.0
2016-09-14,5000.0
2016-09-16,8000.0
2016-09-19,4700.0
2016-09-23,5502.0
2016-09-26,7500.0
2016-09-27,6510.0
2016-09-28,6180.0
2016-09-29,6801.0
2016-09-30,7300.5
2016-10-01,5860.0
2016-10-03,5760.0
2016-10-04,6281.0
2016-10-05,5225.0
2016-10-06,5725.0
2016-10-07,4975.5
2016-10-08,5081.0
2016-10-13,5801.0
2016-10-14,5465.0
2016-10-17,5200.0
2016-10-18,5200.0
2016-10-19,5110.5
2016-10-22,4851.0
2016-10-24,6000.0
2016-10-25,4600.0
2016-10-27,4300.0
2016-10-31,6000.0
2016-11-04,3301.0
2016-11-05,3940.0
2016-11-07,4501.0
2016-11-08,5050.0
2016-11-12,4600.0
2016-11-15,4666.666666666667
2016-11-21,6300.0
2016-11-22,6100.0
2016-11-23,6417.0
2016-11-25,4500.0
2016-11-28,5000.0
2016-11-29,6300.0
2016-11-30,5665.0
2016-12-01,5250.0
2016-12-02,4400.0
2016-12-04,6200.0
2016-12-05,4775.0
2016-12-06,4950.0
2016-12-07,3500.0
2016-12-08,4700.0
2016-12-09,4775.0
2016-12-10,4475.0
2016-12-12,5500.0
2016-12-13,5620.0
2016-12-14,5210.0
2016-12-15,5000.0
2016-12-16,5500.0
2016-12-17,4500.0
2016-12-18,5500.0
2016-12-19,5100.0
2016-12-22,5240.0
2016-12-23,4800.0
2016-12-24,4975.0
2016-12-26,4650.0
2016-12-28,6300.0
2016-12-29,4000.0
2016-12-30,5483.333333333333
2016-12-31,5092.0
2017-01-01,5300.0
2017-01-04,5500.0
2017-01-05,4675.0
2017-01-06,5525.0
2017-01-07,5000.0
2017-01-08,5600.0
2017-01-09,5650.0
2017-01-10,4600.0
2017-01-11,5366.666666666667
2017-01-13,5133.333333333333
2017-01-16,5133.333333333333
2017-01-17,4603.5
2017-01-19,4200.5
2017-01-20,5015.0
2017-01-21,5250.0
2017-01-22,5500.0
2017-01-23,5483.333333333333
2017-01-25,5500.0
2017-01-26,5500.0
2017-01-27,6000.0
2017-01-28,4300.0
2017-01-30,4950.0
2017-01-31,5800.0
2017-02-01,4800.333333333333
2017-02-04,3600.0
2017-02-06,5200.0
2017-02-07,5500.0
2017-02-08,4580.0
2017-02-09,4600.0
2017-02-10,4993.333333333333
2017-02-11,4150.0
2017-02-14,4750.0
2017-02-16,5400.0
2017-02-17,5000.0
2017-02-19,5500.0
2017-02-20,5400.0
2017-02-21,5500.0
2017-02-22,5040.0
2017-02-23,4450.5
2017-02-24,5810.0
2017-02-25,3500.0
2017-02-26,5500.0
