,0
0,4887.830280780792
1,4760.536212902516
2,4727.251967355609
3,4739.975295633078
4,4438.440450847149
5,4338.701234981418
6,4303.3526576682925
7,4135.466578349471
8,4210.526000276208
9,4208.056533046067
10,4283.593210071325
11,2899.928343236446
12,3927.189435184002
13,4479.524605769664
14,4384.7244158014655
15,4388.612720072269
16,4345.081130415201
17,4297.202388815582
18,4306.510519366711
19,4315.160316228867
20,4321.316154792905
21,4682.971872627735
22,4548.4966542720795
23,4529.974507492036
24,4826.573341161013
25,3253.55340744555
26,3564.577004209161
27,5068.344556130469
28,4600.05017632246
29,4523.878020852804
30,5363.4549442231655
31,3943.2916353344913
32,4557.739336639643
33,4360.791782692075
34,5126.992393910885
35,6462.248752683401
36,4259.407437980175
37,6499.439760103822
38,4982.852270439267
39,6503.907228261232
40,5883.736044168472
41,5792.066284492612
42,6195.613573938608
43,6506.954549819231
44,5987.9874573946
45,6221.962360180914
46,5946.133494183421
47,5901.44603946805
48,6700.343400791287
49,5235.579743936658
50,4979.827842220664
51,5979.011694401503
52,4904.989153802395
53,5190.856835842133
54,5511.81002394855
55,6165.703578323126
56,6450.741697654128
57,5988.230094730854
58,5294.551144838333
59,5752.155375599861
60,6391.339077413082
61,6498.274591386317
62,6619.763161540031
63,6159.576171934605
64,5620.284368112683
65,5314.625616416335
66,5135.406308323145
67,4893.609009638429
68,5184.009287928541
69,4959.059112519026
70,1531.652780614793
71,7163.5225512087345
72,6185.864118814468
73,5684.381963863969
74,4876.0243746340275
75,5964.378010496497
76,5228.114099115133
77,5035.053485035896
78,5442.71327080826
79,7540.587355405092
80,6224.904465568562
81,7644.550070375204
82,6295.023149952292
83,5947.0041172504425
84,7752.643564581871
85,6788.695490166545
86,7304.62722876668
87,7655.3964321017265
88,6907.025223448873
89,7222.530515998602
90,7544.327528014779
91,7111.137049138546
92,7473.88207885623
93,6350.069593384862
94,7722.578384697437
95,8222.246385015547
96,6161.357348322868
97,6207.195973753929
98,7620.856804020703
99,5633.030298531055
100,6975.235374554992
101,6073.373896211386
102,7439.094093114138
103,7723.279377683997
104,7649.032455012202
105,6817.1526508927345
106,7676.493624202907
107,8187.13707004115
108,8250.390793949366
109,8515.034549288452
110,8467.157672703266
111,6801.514982581139
112,9316.039148300886
113,9613.308623448014
114,9538.591667868197
115,9475.15990191698
116,9189.697449420888
117,6751.176772177219
118,7514.349959969521
119,8886.38714683801
120,8523.706258371472
121,8588.064889982343
122,8670.250034809113
123,8743.906755462289
124,8128.136438213289
125,7772.038068667054
126,7425.93644528836
127,7011.077612161636
128,6998.3577672839165
129,9342.33270123601
130,8677.600025199354
131,6676.062272012234
132,7955.362476184964
133,7375.9270111471415
134,6819.012964889407
135,7027.42416215688
136,7192.416144251823
137,4663.863898687065
138,6909.772453784943
139,6051.71694047749
140,7147.113998144865
141,7084.39218083024
142,7568.0248781740665
143,5301.810679987073
144,7414.551252389947
145,6633.4320914496975
146,6532.838285624981
147,6478.505274713039
148,6821.365744307637
149,7302.3028105050325
150,5208.796154871583
151,4774.352111369371
152,4223.260900713503
153,3798.2978647798295
154,6233.361058220267
155,4935.8903449475765
156,4504.677673555911
157,4303.701234638691
158,4152.85724774003
159,3942.780788630247
160,3130.856722444296
161,3424.589566141367
162,3392.003401532769
163,5440.380684494972
164,3471.381819427013
165,3590.0736097991467
166,5802.999239578843
167,4861.683373197913
168,4720.192960336804
169,4502.980336394161
170,4334.498206499964
171,7933.407785199583
172,4502.995954111218
173,5262.527162745595
174,8579.216704703867
175,8577.377348333597
176,9028.422582045197
177,9299.915833592415
178,9478.612960524857
179,9502.37524528429
180,9824.093574300408
181,9647.87327671796
182,9691.098256364465
183,9734.194817468524
184,9750.303852595389
185,6627.736231148243
186,7125.952090119322
187,6733.56607460479
188,9705.018312893808
189,8297.148798629642
190,9610.70227098465
191,10123.87757819891
192,10094.276507113129
193,8735.932052865624
194,9568.176549375057
195,10063.427690938115
196,10036.068222064525
197,8620.93574012816
198,7176.814414739609
199,9773.674275241792
200,10034.834610171616
201,9992.01163341105
202,9904.852270290256
203,7307.078244805336
204,8912.619715675712
205,9103.492935992777
206,9046.25998595357
207,8965.228715009987
208,7203.219350874424
209,8353.37048574537
210,8752.15280265361
211,8198.393433377147
212,8227.233117051423
213,5925.523159310222
214,7236.575592592359
215,5755.145661383867
216,7230.321483194828
217,5483.237854138017
218,5053.60155723989
219,6880.964495673776
220,6533.001095876098
221,6468.047258414328
222,6476.0043837577105
223,6786.362733148038
224,6373.079872533679
225,6315.004672244191
226,6255.932323366404
227,5992.831499829888
228,5897.836705997586
229,5715.363277256489
230,5693.616577044129
231,5650.73297118023
232,5598.249249652028
233,5517.950187295675
234,5452.07932343334
235,5386.379425555468
236,5303.77636051178
237,5478.42975423485
238,5054.950095161796
239,4979.417172923684
240,5361.013233147562
241,4106.430556058884
242,3768.4594930745657
243,4083.4151526242495
244,4404.982145927846
245,4408.354487128556
246,4423.656552447627
247,5540.894596636295
248,5635.732309982181
249,5828.987190976739
250,5177.45839086175
251,5014.857505343854
252,5624.186950981617
253,5546.357493825257
254,5483.23727478832
255,5367.516867518425
256,5624.865812808275
257,5209.2608198821545
258,5106.202488236129
259,4697.912078723311
260,4603.628674723208
261,4709.111948989332
262,4647.104678928852
263,4899.353494495153
264,5175.768347539008
265,5129.520157691091
266,5098.411633633077
267,5154.74680935964
268,4938.0574288368225
269,4976.504492007196
270,5035.222626037896
271,5024.562920149416
272,4979.079287409782
273,4946.7637679204345
274,4896.419570356607
275,5566.469609454274
276,4560.5900698155165
277,4712.072290172179
278,4892.255013309419
279,4907.455133907497
280,5100.239058472216
281,4959.7753058075905
282,5014.087908737361
283,5009.8463344573975
284,5091.677670642734
285,5292.70416598767
286,5078.014135420322
287,5022.238813268642
288,5079.687204656501
289,5061.17463470002
290,4977.357103064656
291,4932.827344566584
292,4876.806252390146
293,5013.643240347505
294,5114.599292449653
295,5203.115028095742
296,5249.089491400868
297,5296.280230473727
298,5486.765729106963
299,4939.193194434047
300,4775.647218883038
301,5225.295540630817
302,4991.972671133776
303,4778.654135838151
304,4799.814784273505
305,5162.389398083091
306,4964.304738819599
307,4893.6097330302
308,4884.640099239846
309,4697.981468871236
310,4619.697779089212
311,4919.63653781265
312,4897.003475043923
313,5009.436221681535
314,5126.511577416211
315,5182.128190971911
316,5142.497107297182
317,5070.188730016351
318,5236.025262102485
319,4277.227428615093
320,4725.372164383531
321,4666.378408124049
322,4602.662264361978
323,4580.423276640475
324,4561.689635396004
325,4406.963293880224
326,4345.744880750775
327,4493.376574829221
328,4462.109567925334
329,4711.4923743754625
330,7294.031910434365
331,5476.0475358217955
332,5150.39897044003
333,4532.752787947655
334,4498.336107119918
335,4479.4695605941115
336,3742.3950270563364
337,3659.1123943924904
338,3632.736335806548
339,3585.622206024825
340,3709.888621609658
341,3734.653568271547
342,3709.1889589130874
343,3602.118927568197
344,3531.5445853397246
345,3436.5952369123693
346,3378.123193919658
347,3312.548462942242
348,3734.2157830893993
349,3656.3804695829745
350,4833.338515728712
351,4809.837098635733
352,4431.137907132506
353,4345.734423875809
354,4492.735043734312
355,4403.894155621529
356,4357.769751697779
357,4307.874462082982
358,4228.633687987924
359,4292.265727415681
360,4186.052299708128
361,4123.688566341996
362,4161.305149946362
363,4217.7422168031335
