year,price
2012-08-09,5750.0
2012-08-11,6500.0
2012-08-13,4800.0
2012-08-16,6500.0
2012-08-17,6500.0
2012-08-18,5750.0
2012-08-20,5000.0
2012-08-21,5750.0
2012-08-22,6500.0
2012-08-23,6500.0
2012-08-24,5500.0
2012-08-25,5500.0
2012-08-26,5000.0
2012-08-27,6200.0
2012-08-28,6500.0
2012-08-29,6550.0
2012-08-30,6500.0
2012-08-31,3900.0
2012-09-01,6200.0
2012-09-03,5000.0
2012-09-04,6200.0
2012-09-05,6200.0
2012-09-06,5600.0
2012-09-07,6200.0
2012-09-08,6350.0
2012-09-10,6400.0
2012-09-11,5350.0
2012-09-12,6200.0
2012-09-13,6200.0
2012-09-14,6200.0
2012-09-15,6200.0
2012-09-17,6200.0
2012-09-18,6200.0
2012-09-19,5000.0
2012-09-20,6200.0
2012-09-21,6200.0
2012-09-22,6200.0
2012-09-24,5350.0
2012-09-25,6400.0
2012-09-27,5600.0
2012-09-28,5350.0
2012-10-01,6000.0
2012-10-03,6000.0
2012-10-04,6000.0
2012-10-05,6000.0
2012-10-06,6000.0
2012-10-08,6300.0
2012-10-09,6300.0
2012-10-10,6000.0
2012-10-11,6000.0
2012-10-12,6000.0
2012-10-13,6000.0
2012-10-15,5800.0
2012-10-16,4500.0
2012-10-17,5100.0
2012-10-18,4800.0
2012-10-19,5800.0
2012-10-20,5800.0
2012-10-23,4200.0
2012-10-26,5800.0
2012-10-29,4500.0
2012-10-31,4500.0
2012-11-01,5800.0
2012-11-02,5150.0
2012-11-03,5800.0
2012-11-04,4500.0
2012-11-05,5800.0
2012-11-06,5800.0
2012-11-07,5150.0
2012-11-08,5150.0
2012-11-09,5500.0
2012-11-10,5800.0
2012-11-12,5150.0
2012-11-14,5800.0
2012-11-16,5800.0
2012-11-17,3500.0
2012-11-20,4500.0
2012-11-21,5800.0
2012-11-22,5150.0
2012-11-23,6200.0
2012-11-24,5800.0
2012-11-26,5800.0
2012-11-27,5800.0
2012-11-29,5800.0
2012-11-30,5800.0
2012-12-01,6000.0
2012-12-02,3400.0
2012-12-03,6000.0
2012-12-04,6000.0
2012-12-05,5250.0
2012-12-06,5250.0
2012-12-07,6000.0
2012-12-08,5200.0
2012-12-10,6200.0
2012-12-11,6200.0
2012-12-12,6200.0
2012-12-13,6200.0
2012-12-14,6200.0
2012-12-15,5300.0
2012-12-17,6200.0
2012-12-18,4600.0
2012-12-19,5350.0
2012-12-20,6200.0
2012-12-21,5350.0
2012-12-22,6200.0
2012-12-24,6200.0
2012-12-26,6200.0
2012-12-27,6000.0
2012-12-28,5800.0
2012-12-29,4400.0
2013-01-01,5500.0
2013-01-02,5500.0
2013-01-03,4300.0
2013-01-04,6050.0
2013-01-05,5500.0
2013-01-07,5500.0
2013-01-08,6000.0
2013-01-09,5200.0
2013-01-10,5900.0
2013-01-11,5200.0
2013-01-12,5200.0
2013-01-14,4400.0
2013-01-15,5200.0
2013-01-16,4775.0
2013-01-17,4166.666666666667
2013-01-19,5200.0
2013-01-21,5200.0
2013-01-22,5200.0
2013-01-24,5200.0
2013-01-29,4700.0
2013-01-30,5200.0
2013-01-31,4166.666666666667
2013-02-01,4800.0
2013-02-02,4033.3333333333335
2013-02-03,3650.0
2013-02-04,4800.0
2013-02-05,4800.0
2013-02-06,4800.0
2013-02-07,4800.0
2013-02-08,4800.0
2013-02-09,4800.0
2013-02-11,4800.0
2013-02-12,4800.0
2013-02-13,4800.0
2013-02-15,5200.0
2013-02-16,5000.0
2013-02-18,4800.0
2013-02-19,4800.0
2013-02-20,4800.0
2013-02-26,4800.0
2013-02-27,4800.0
2013-02-28,4450.0
2013-03-01,4800.0
2013-03-02,4800.0
2013-03-04,4800.0
2013-03-05,4800.0
2013-03-06,4800.0
2013-03-07,4800.0
2013-03-08,5200.0
2013-03-09,5200.0
2013-03-11,5200.0
2013-03-12,5200.0
2013-03-13,5200.0
2013-03-14,4100.0
2013-03-21,4400.0
2013-04-01,4600.0
2013-04-02,4600.0
2013-04-03,3600.0
2013-04-04,3600.0
2013-04-05,4600.0
2013-04-06,3666.6666666666665
2013-04-08,4400.0
2013-04-09,4400.0
2013-04-10,4400.0
2013-04-11,4400.0
2013-04-12,4400.0
2013-04-15,4400.0
2013-04-16,4400.0
2013-04-17,4400.0
2013-04-20,4400.0
2013-04-22,4400.0
2013-04-25,4400.0
2013-04-29,4250.0
2013-04-30,4200.0
2013-05-01,4500.0
2013-05-02,3566.6666666666665
2013-05-03,4500.0
2013-05-04,4500.0
2013-05-06,4500.0
2013-05-07,4500.0
2013-05-08,4500.0
2013-05-09,4500.0
2013-05-11,4500.0
2013-05-13,4500.0
2013-05-15,3566.6666666666665
2013-05-16,3566.6666666666665
2013-05-17,4500.0
2013-05-18,4500.0
2013-05-19,3100.0
2013-05-20,4500.0
2013-05-23,3566.6666666666665
2013-05-24,4500.0
2013-09-19,3600.0
2014-02-19,3600.0
2014-02-21,4000.0
2014-05-28,3400.0
2014-10-02,7900.0
2014-10-04,4170.0
2014-10-08,4220.0
2014-10-09,5025.0
2014-10-11,5600.0
2014-10-12,5600.0
2014-10-15,4280.0
2014-10-16,5600.0
2014-10-18,5040.0
2014-10-19,5300.0
2014-10-20,4315.0
2014-10-21,4505.0
2014-10-23,5800.0
2014-10-25,4600.0
2014-10-26,5800.0
2014-10-30,5800.0
2014-11-01,4700.0
2014-11-02,5820.0
2014-11-03,4900.0
2014-11-06,5820.0
2014-11-08,4430.0
2014-11-09,5800.0
2014-11-13,5800.0
2014-11-14,4320.0
2014-11-15,4320.0
2014-11-16,5800.0
2014-11-20,5800.0
2014-11-23,5800.0
2014-11-27,5800.0
2014-11-30,6000.0
2014-12-02,4460.0
2014-12-04,6000.0
2014-12-07,6000.0
2014-12-11,6000.0
2015-01-01,6400.0
2015-01-04,6400.0
2015-01-08,6400.0
2015-01-11,6400.0
2015-01-15,6400.0
2015-01-18,6500.0
2015-01-22,6500.0
2015-01-25,5750.0
2015-01-29,5850.0
2015-02-01,5850.0
2015-02-05,5850.0
2015-02-08,5850.0
2015-02-12,5850.0
2015-02-15,5850.0
2015-02-19,5850.0
2015-02-22,5850.0
2015-02-26,5573.333333333333
2015-03-01,5850.0
2015-03-05,5573.333333333333
2015-03-08,5850.0
2015-03-12,5850.0
2015-03-13,4420.0
2015-03-15,6100.0
2015-03-17,4340.0
2015-03-19,5510.0
2015-03-22,5950.0
2015-03-23,4230.0
2015-03-25,4230.0
2015-03-26,6100.0
2015-03-29,6300.0
2015-04-05,6300.0
2015-04-09,6300.0
2015-04-10,4950.0
2015-04-12,6300.0
2015-04-13,5240.0
2015-04-16,6300.0
2015-04-17,5230.0
2015-04-19,6300.0
2015-04-23,6300.0
2015-04-26,6300.0
2015-04-27,5240.0
2015-04-28,5430.0
2015-04-30,6300.0
2015-05-03,6300.0
2015-05-07,6300.0
2015-05-10,7050.0
2015-05-14,7050.0
2015-05-17,7050.0
2015-05-21,7050.0
2015-05-24,7050.0
2015-05-31,7050.0
2015-06-07,7100.0
2015-06-11,7100.0
2015-06-28,7100.0
2015-07-16,8600.0
2015-07-26,8600.0
2016-03-24,14500.0
2016-05-08,16000.0
2016-09-18,10800.0
2016-09-22,12500.0
2016-09-25,12800.0
2016-10-13,9400.0
2016-10-16,12200.0
2016-10-20,11800.0
2016-10-23,12500.0
2016-10-27,11500.0
2016-10-30,10500.0
2016-11-03,10500.0
2016-11-06,11800.0
2016-11-10,10500.0
2016-11-17,10500.0
2016-11-20,10500.0
2016-11-24,10500.0
2016-11-30,10000.0
2016-12-04,10000.0
2016-12-08,10000.0
2016-12-15,10000.0
2016-12-18,10000.0
2016-12-22,10000.0
2016-12-25,10000.0
2016-12-29,10000.0
2017-01-01,10000.0
2017-01-05,7000.0
2017-01-07,7000.0
2017-01-08,7000.0
2017-01-12,7000.0
2017-01-15,6800.0
2017-01-19,6300.0
2017-01-22,6300.0
2017-01-26,6310.0
2017-01-29,6310.0
2017-02-02,6300.0
2017-02-04,6350.0
2017-02-05,6325.0
2017-02-09,6350.0
2017-02-12,6290.0
2017-02-16,6290.0
2017-02-19,6290.0
2017-02-26,6190.0
2017-03-09,6290.0
2017-03-11,6290.0
2017-03-12,6290.0
2017-03-15,6040.0
2017-03-16,6040.0
2017-03-19,6040.0
2017-03-23,6290.0
2017-03-25,6290.0
2017-03-26,6190.0
2017-04-02,6300.0
2017-04-09,6290.0
2017-04-13,6040.0
2017-04-16,6037.5
2017-04-20,6040.0
2017-04-23,6040.0
2017-04-27,6040.0
2017-04-30,6040.0
2017-05-04,6040.0
2017-05-07,6040.0
2017-05-14,6040.0
2017-05-21,5890.0
2017-06-08,5890.0
2017-06-11,6040.0
2017-06-15,6037.5
2017-06-18,6450.0
2017-06-22,6450.0
