year,price
2010-01-18,4233.333333333333
2010-01-19,2950.0
2010-01-20,3000.0
2010-01-21,4000.0
2010-01-22,2950.0
2010-01-23,3100.0
2010-01-24,4250.0
2010-01-25,2950.0
2010-01-26,3100.0
2010-01-27,3033.3333333333335
2010-01-28,4250.0
2010-01-29,2950.0
2010-01-30,3000.0
2010-01-31,3775.0
2010-02-01,3140.0
2010-02-02,3115.0
2010-02-03,2945.0
2010-02-04,3870.0
2010-02-05,2950.0
2010-02-06,3140.0
2010-02-07,2950.0
2010-02-08,3140.0
2010-02-09,3140.0
2010-02-10,2937.5
2010-02-11,3695.0
2010-02-12,2950.0
2010-02-13,3060.0
2010-02-14,3000.0
2010-02-15,2963.3333333333335
2010-02-16,2890.0
2010-02-17,2892.5
2010-02-18,3090.0
2010-02-19,3280.0
2010-02-20,3040.0
2010-02-21,2900.0
2010-02-22,3170.0
2010-02-23,2865.0
2010-02-24,3180.0
2010-02-25,3557.5
2010-02-26,2870.0
2010-02-28,4250.0
2010-03-02,2715.0
2010-03-03,2870.0
2010-03-04,2925.0
2010-03-05,2890.0
2010-03-06,2890.0
2010-03-07,4250.0
2010-03-08,2890.0
2010-03-09,2820.0
2010-03-10,2820.0
2010-03-11,2890.0
2010-03-12,2715.0
2010-03-13,2820.0
2010-03-14,2750.0
2010-03-15,2640.0
2010-03-16,2980.0
2010-03-17,2890.0
2010-03-19,2620.0
2010-03-20,2980.0
2010-03-22,2890.0
2010-03-23,2890.0
2010-03-25,2870.0
2010-03-26,2890.0
2010-03-27,2870.0
2010-03-29,2675.0
2010-03-30,2695.0
2010-03-31,2695.0
2010-04-01,2735.0
2010-04-03,2695.0
2010-04-05,2975.0
2010-04-06,2890.0
2010-04-07,2796.6666666666665
2010-04-08,2796.6666666666665
2010-04-09,2870.0
2010-04-10,2870.0
2010-04-12,2660.0
2010-04-13,2665.0
2010-04-14,2800.0
2010-04-15,2545.0
2010-04-16,2890.0
2010-04-17,2730.0
2010-04-18,3000.0
2010-04-19,2665.0
2010-04-20,2670.0
2010-04-21,2695.0
2010-04-22,2740.0
2010-04-23,3000.0
2010-04-24,2500.0
2010-04-25,3000.0
2010-04-26,2380.0
2010-04-27,2560.0
2010-04-28,2380.0
2010-04-29,2380.0
2010-04-30,3000.0
2010-05-03,2810.0
2010-05-04,2773.3333333333335
2010-05-05,2815.0
2010-05-06,2800.0
2010-05-07,3180.0
2010-05-08,3040.0
2010-05-09,2900.0
2010-05-10,2970.0
2010-05-11,2960.0
2010-05-12,3180.0
2010-05-13,3150.0
2010-05-14,3180.0
2010-05-15,3150.0
2010-05-17,2765.0
2010-05-18,3180.0
2010-05-19,3180.0
2010-05-20,3040.0
2010-05-21,2765.0
2010-05-22,2810.0
2010-05-23,2900.0
2010-05-24,3080.0
2010-05-28,2680.0
2010-05-29,2460.0
2010-06-01,2975.0
2010-06-02,3050.0
2010-06-03,3050.0
2010-06-04,2765.0
2010-06-05,2975.0
2010-06-06,2900.0
2010-06-07,3080.0
2010-06-08,3080.0
2010-06-09,2803.3333333333335
2010-06-10,3150.0
2010-06-11,2890.0
2010-06-12,2893.3333333333335
2010-06-14,2790.0
2010-06-15,2790.0
2010-06-16,2980.0
2010-06-17,2790.0
2010-06-18,2940.0
2010-06-21,2970.0
2010-06-22,2816.6666666666665
2010-06-23,2970.0
2010-06-24,2820.0
2010-06-25,2765.0
2010-06-26,2765.0
2010-06-27,2900.0
2010-06-28,2740.0
2010-06-29,2700.0
2010-06-30,2500.0
2010-07-01,2793.3333333333335
2010-07-02,2980.0
2010-07-03,2760.0
2010-07-05,2980.0
2010-07-06,2705.0
2010-07-07,2715.0
2010-07-08,2980.0
2010-07-09,2710.0
2010-07-10,2500.0
2010-07-11,3200.0
2010-07-12,2950.0
2010-07-13,3200.0
2010-07-14,3075.0
2010-07-15,2980.0
2010-07-16,2725.0
2010-07-17,2980.0
2010-07-19,3090.0
2010-07-20,2980.0
2010-07-21,2980.0
2010-07-22,2980.0
2010-07-23,2980.0
2010-07-24,2980.0
2010-07-26,3050.0
2010-07-27,3080.0
2010-07-28,3050.0
2010-07-29,2825.0
2010-07-30,2980.0
2010-07-31,2775.0
2010-08-02,3125.0
2010-08-03,2840.0
2010-08-04,2825.0
2010-08-05,4890.0
2010-08-06,3080.0
2010-08-07,3070.0
2010-08-09,2960.0
2010-08-10,3140.0
2010-08-11,3050.0
2010-08-12,2775.0
2010-08-13,3080.0
2010-08-14,3135.0
2010-08-16,2980.0
2010-08-17,2980.0
2010-08-18,2980.0
2010-08-19,2980.0
2010-08-20,2980.0
2010-08-21,3090.0
2010-08-22,4800.0
2010-08-23,3090.0
