year,price
2016-06-18,7712.5
2016-06-19,6116.666666666667
2016-06-20,6283.333333333333
2016-06-21,6283.333333333333
2016-06-22,7462.5
2016-06-23,7712.5
2016-06-24,7212.5
2016-06-25,8481.25
2016-06-26,4425.0
2016-06-27,7212.5
2016-06-28,6283.333333333333
2016-06-29,4425.0
2016-06-30,6283.333333333333
2016-07-01,7212.5
2016-07-02,7670.0
2016-07-03,4425.0
2016-07-04,7450.0
2016-07-05,8141.666666666667
2016-07-06,8106.25
2016-07-07,7212.5
2016-07-08,7212.5
2016-07-09,9106.25
2016-07-10,4425.0
2016-07-11,7212.5
2016-07-12,7212.5
2016-07-13,7908.333333333333
2016-07-14,7212.5
2016-07-15,7212.5
2016-07-16,7670.0
2016-07-17,4425.0
2016-07-18,8212.5
2016-07-19,8212.5
2016-07-20,8170.0
2016-07-21,8250.0
2016-07-22,8212.5
2016-07-23,8970.0
2016-07-24,4425.0
2016-07-25,8212.5
2016-07-26,9475.0
2016-07-27,8770.0
2016-07-28,8212.5
2016-07-29,9475.0
2016-07-30,10106.25
2016-07-31,6000.0
2016-08-01,7808.333333333333
2016-08-02,6262.5
2016-08-03,4425.0
2016-08-04,7337.5
2016-08-05,7283.333333333333
2016-08-06,7283.333333333333
2016-08-07,4425.0
2016-08-08,4425.0
2016-08-09,8712.5
2016-08-10,7283.333333333333
2016-08-11,7616.666666666667
2016-08-12,4425.0
2016-08-13,7616.666666666667
2016-08-14,5612.5
2016-08-15,8212.5
2016-08-16,8212.5
2016-08-17,8808.333333333334
2016-08-18,8212.5
2016-08-19,8212.5
2016-08-20,6950.0
2016-08-21,4425.0
2016-08-22,8212.5
2016-08-23,6950.0
2016-08-24,8212.5
2016-08-25,8212.5
2016-08-26,8475.0
2016-08-27,12000.0
2016-08-28,4575.0
2016-08-29,7050.0
2016-08-30,7050.0
2016-08-31,8287.5
2016-09-01,8287.5
2016-09-02,9800.0
2016-09-03,12000.0
2016-09-05,10700.0
2016-09-06,12000.0
2016-09-07,7050.0
2016-09-08,7050.0
2016-09-09,7537.5
2016-09-10,7050.0
2016-09-11,4575.0
2016-09-12,7050.0
2016-09-13,8287.5
2016-09-14,8287.5
2016-09-15,7537.5
2016-09-16,4575.0
2016-09-17,7050.0
2016-09-18,4575.0
