year,price
2014-03-22,4900.0
2014-03-23,6000.0
2014-03-24,5200.0
2014-03-25,5160.0
2014-03-26,5600.0
2014-03-27,5700.0
2014-03-28,5600.0
2014-03-29,3500.0
2014-03-30,6000.0
2014-03-31,5250.0
2014-04-01,4500.0
2014-04-02,5200.0
2014-04-03,5300.0
2014-04-04,5200.0
2014-04-05,5466.666666666667
2014-04-06,5625.0
2014-04-07,5900.0
2014-04-08,5750.0
2014-04-09,5500.0
2014-04-10,5500.0
2014-04-11,4600.0
2014-04-12,5350.0
2014-04-13,5066.666666666667
2014-04-14,4760.0
2014-04-15,5366.666666666667
2014-04-16,4830.0
2014-04-17,5300.0
2014-04-18,4500.0
2014-04-19,5933.333333333333
2014-04-20,4500.0
2014-04-21,5042.857142857143
2014-04-22,4883.333333333333
2014-04-23,4700.0
2014-04-24,5133.333333333333
2014-04-26,5800.0
2014-04-27,5000.0
2014-04-28,5125.0
2014-04-29,5000.0
2014-04-30,4500.0
2014-05-01,5333.333333333333
2014-05-02,5000.0
2014-05-03,4500.0
2014-05-04,4500.0
2014-05-05,5380.0
2014-05-06,4666.666666666667
2014-05-07,6000.0
2014-05-08,4766.666666666667
2014-05-09,4500.0
2014-05-11,5250.0
2014-05-12,5000.0
2014-05-13,5040.0
2014-05-15,5000.0
2014-05-16,4500.0
2014-05-18,5500.0
2014-05-19,5433.333333333333
2014-05-20,4750.0
2014-05-21,4750.0
2014-05-22,5000.0
2014-05-24,5300.0
2014-05-26,5500.0
2014-05-27,4900.0
2014-05-28,4500.0
2014-05-29,4500.0
2014-05-30,4500.0
2014-05-31,4500.0
2014-06-05,4500.0
2014-06-07,4200.0
2014-06-09,5433.333333333333
2014-06-10,5300.0
2014-06-12,4550.0
2014-06-15,4750.0
2014-06-17,5000.0
2014-06-18,5000.0
2014-06-19,5000.0
2014-06-20,5500.0
2014-06-21,5000.0
2014-06-22,5000.0
2014-06-26,4933.333333333333
2014-06-27,4800.0
2014-06-29,4500.0
2014-06-30,4500.0
2014-07-01,5266.666666666667
2014-07-02,5375.0
2014-07-03,5750.0
2014-07-04,5666.666666666667
2014-07-05,6066.666666666667
2014-07-06,5633.333333333333
2014-07-07,5750.0
2014-07-08,5800.0
2014-07-09,5350.0
2014-07-10,5175.0
2014-07-11,5350.0
2014-07-12,5166.666666666667
2014-07-13,4966.666666666667
2014-07-14,5250.0
2014-07-15,5640.0
2014-07-16,6200.0
2014-07-17,5416.666666666667
2014-07-18,4350.0
2014-07-19,4500.0
2014-07-20,5661.75
2014-07-21,4975.0
2014-07-22,4666.666666666667
2014-07-23,4300.0
2014-07-24,4880.0
2014-07-25,4200.0
2014-07-26,4200.0
2014-07-27,6000.0
2014-07-28,5433.333333333333
2014-07-29,5500.0
2014-07-30,4450.0
2014-07-31,5225.0
2014-08-01,4600.0
2014-08-03,5500.0
2014-08-04,5500.0
2014-08-05,5500.0
2014-08-06,4775.0
2014-08-07,4300.0
2014-08-08,4300.0
2014-08-09,4300.0
2014-08-10,4600.0
2014-08-11,4733.333333333333
2014-08-12,4925.0
2014-08-13,4350.0
2014-08-14,4733.333333333333
2014-08-15,4350.0
2014-08-16,4350.0
2014-08-17,4733.333333333333
2014-08-18,4637.5
2014-08-19,4733.333333333333
2014-08-20,4925.0
2014-08-21,4637.5
2014-08-22,4350.0
2014-08-23,4350.0
2014-08-24,4925.0
2014-08-25,4350.0
2014-08-26,4350.0
2014-08-27,4675.0
2014-08-28,5000.0
2014-08-29,4350.0
2014-08-30,4350.0
2014-08-31,4733.333333333333
2014-09-01,5116.666666666667
2014-09-02,4733.333333333333
2014-09-03,4350.0
2014-09-04,4733.333333333333
2014-09-05,4350.0
2014-09-06,4350.0
2014-09-07,4925.0
2014-09-08,4733.333333333333
2014-09-09,4733.333333333333
2014-09-10,4350.0
2014-09-11,4800.0
2014-09-12,4350.0
2014-09-13,4350.0
2014-09-14,4733.333333333333
2014-09-15,4925.0
2014-09-16,5050.0
2014-09-17,4350.0
2014-09-18,4925.0
2014-09-21,5037.5
2014-09-22,4733.333333333333
2014-09-23,4733.333333333333
2014-09-24,4350.0
2014-09-25,4733.333333333333
2014-09-26,4350.0
2014-09-27,4350.0
2014-09-28,4733.333333333333
2014-09-29,4733.333333333333
2014-09-30,4925.0
2014-10-02,5500.0
2014-10-05,4900.0
2014-10-06,4900.0
2014-10-07,4900.0
2014-10-08,4350.0
2014-10-09,4950.0
2014-10-12,6200.0
2014-10-13,6000.0
2014-10-14,6000.0
2014-10-16,6200.0
2014-10-18,4350.0
2014-10-19,4900.0
2014-10-20,4900.0
2014-10-21,4762.5
2014-10-22,4350.0
2014-10-23,4900.0
2014-10-24,4350.0
2014-10-25,4350.0
2014-10-26,5175.0
2014-10-27,4900.0
2014-10-28,5175.0
2014-10-29,4350.0
2014-10-30,4350.0
2014-10-31,4350.0
2014-11-01,4350.0
2014-11-02,5500.0
2014-11-03,5440.0
2014-11-04,4733.333333333333
2014-11-05,4733.333333333333
2014-11-06,4925.0
2014-11-07,4810.0
2014-11-08,4350.0
2014-11-09,5350.0
2014-11-10,5175.0
2014-11-11,4733.333333333333
2014-11-12,4733.333333333333
2014-11-13,5425.0
2014-11-14,4733.333333333333
2014-11-15,4350.0
2014-11-16,4637.5
