year,price
2015-08-06,7917.0
2015-08-07,7917.0
2015-08-10,7897.0
2015-08-11,7797.0
2015-08-12,7154.0
2015-08-14,7650.0
2015-08-17,5598.0
2015-08-18,8197.0
2015-08-19,8597.0
2015-08-20,8093.0
2015-08-21,4197.0
2015-08-25,7719.0
2015-08-26,8400.0
2015-08-27,8259.0
2015-08-28,7098.0
2015-08-31,7967.0
2015-09-01,7597.0
2015-09-03,6345.0
2015-09-04,6297.0
2015-09-07,5997.0
2015-09-08,5548.0
2015-09-09,6938.0
2015-09-10,8400.0
2015-09-11,7597.0
2015-09-14,7794.0
2015-09-15,6866.0
2015-09-16,8297.0
2015-09-21,6408.0
2015-09-23,6993.0
2015-09-25,7113.0
2015-09-28,8315.0
2015-09-29,6783.0
2015-09-30,9817.0
2015-10-01,10363.0
2015-10-05,9698.0
2015-10-07,8684.0
2015-10-08,8368.0
2015-10-09,9856.0
2015-10-12,10778.0
2015-10-13,9854.0
2015-10-14,9990.0
2015-10-15,9905.0
2015-10-16,10178.0
2015-10-19,8793.0
2015-10-20,11609.0
2015-10-23,12000.0
2015-10-26,8444.0
2015-10-27,9869.0
2015-10-28,7216.5
2015-10-29,7405.5
2015-10-30,10262.0
2015-11-02,11005.0
2015-11-04,9359.0
2015-11-05,8998.0
2015-11-06,8007.0
2015-11-16,7797.0
2015-11-18,10097.0
2015-11-19,10697.0
2015-11-20,10499.0
2015-11-23,9679.0
2015-11-24,10097.0
2015-11-26,8847.0
2015-11-27,10209.0
2016-01-04,7747.5
2016-01-05,9600.0
2016-01-06,4400.0
2016-01-07,8887.0
2016-01-11,8298.0
2016-01-12,9234.0
2016-01-13,8547.0
2016-01-14,9009.0
2016-01-18,9128.0
2016-01-19,9347.0
2016-01-21,7723.0
2016-01-22,9786.0
2016-01-25,9709.0
2016-01-27,8422.0
2016-01-28,9429.0
2016-01-29,9179.0
2016-02-01,8391.0
2016-02-02,7880.5
2016-02-03,8914.5
2016-02-04,8715.0
2016-02-05,8994.5
2016-02-08,9081.0
2016-02-09,8968.0
2016-02-10,9971.0
2016-02-11,6074.0
2016-02-12,10077.0
2016-02-17,7463.0
2016-02-18,8078.0
2016-02-19,7216.0
2016-02-22,9841.0
2016-02-23,9687.0
2016-02-24,8575.0
2016-02-25,7239.0
2016-02-26,8703.0
2016-03-01,8506.5
2016-03-03,8411.5
2016-03-04,9596.0
2016-03-07,7214.0
2016-03-08,7925.5
2016-03-09,7237.0
2016-03-10,7947.5
2016-03-11,6422.5
2016-03-14,8931.5
2016-03-15,8732.0
2016-03-16,8928.0
2016-03-18,8208.0
2016-03-21,7501.0
2016-03-22,8972.0
2016-03-23,7559.0
2016-03-24,8430.0
2016-03-28,8180.0
2016-03-29,8902.5
2016-03-30,7460.0
2016-03-31,8631.0
2016-04-01,8949.0
2016-04-04,8588.0
2016-04-05,9237.0
2016-04-06,7975.0
2016-04-08,10179.0
2016-04-11,10559.0
2016-04-12,12254.0
2016-04-13,9218.0
2016-04-15,13555.0
2016-04-18,10957.0
2016-04-19,10039.0
2016-04-20,9788.5
2016-04-21,10276.5
2016-04-22,10794.0
2016-04-25,10798.0
2016-04-26,10081.0
2016-04-27,11088.5
2016-04-28,8409.0
2016-04-29,11611.0
2016-05-03,11243.0
2016-05-04,8247.0
2016-05-05,10318.0
2016-05-06,10313.0
2016-05-09,10169.0
2016-05-10,8912.0
2016-05-12,11272.0
2016-05-13,12088.0
2016-05-17,10653.0
2016-05-18,10005.0
2016-05-20,11103.0
2016-05-23,9569.0
2016-05-24,9707.0
2016-05-25,7285.5
2016-05-26,11362.0
2016-05-27,11459.0
2016-05-30,6247.5
2016-05-31,7238.5
2016-06-01,6359.0
2016-06-02,10133.0
2016-06-03,10237.0
2016-06-06,9093.0
2016-06-07,9419.0
2016-06-08,8966.5
2016-06-09,6788.0
2016-06-10,8884.0
2016-06-13,8881.0
2016-06-14,8290.5
2016-06-15,7979.0
2016-06-16,8793.0
2016-06-17,9547.0
2016-06-20,11446.0
2016-06-21,10912.0
2016-06-22,9283.0
2016-06-23,11238.0
2016-06-24,7288.0
2016-06-27,9209.0
2016-06-28,8920.0
2016-06-29,10124.0
2016-06-30,6358.5
2016-07-01,10299.0
2016-07-04,6868.5
2016-07-05,9459.0
2016-07-06,5207.5
2016-07-08,6866.0
2016-07-11,7254.0
2016-07-12,6529.0
2016-07-13,6226.0
2016-07-14,6997.0
2016-07-18,8137.0
2016-07-19,7752.5
2016-07-20,6806.0
2016-07-21,7659.5
2016-07-22,7458.0
2016-07-25,7084.5
2016-07-26,7318.0
2016-07-27,6523.0
2016-08-01,3470.0
2016-08-02,6953.5
2016-08-03,7549.0
2016-08-04,6353.0
2016-08-05,7437.5
2016-08-08,7126.5
2016-08-09,8113.0
2016-08-10,6337.0
2016-08-11,7624.0
2016-08-12,7199.0
2016-08-17,6184.0
2016-08-18,7622.0
2016-08-19,6668.0
2016-08-22,6579.0
2016-08-23,6847.0
2016-08-25,7686.5
2016-08-26,7200.0
2016-08-29,6419.0
2016-08-30,6309.0
2016-09-06,6118.0
2016-09-07,5309.0
2016-09-08,3590.0
2016-09-09,4698.0
2016-09-12,5004.0
2016-09-22,5333.0
2016-09-23,4497.0
2016-09-26,5073.0
2016-09-27,6125.0
2016-09-28,6200.0
2016-09-29,6297.0
2016-09-30,6317.0
2016-10-03,6558.0
2016-10-05,5447.0
2016-10-06,4047.0
2016-10-07,6248.0
2016-10-13,6519.0
2016-10-14,6997.0
2016-10-17,5347.0
2016-10-18,5298.0
2016-10-19,6149.0
2016-10-20,5486.0
2016-10-21,6003.0
2016-10-24,5062.0
2016-10-25,6183.0
2016-10-26,4847.0
2016-10-27,6147.0
2016-11-07,4797.0
2016-11-08,6920.0
2016-11-09,3897.0
2016-11-10,3497.0
2016-11-11,5157.0
2016-11-14,4393.0
2016-11-15,3843.0
2016-11-16,4897.0
2016-11-18,3297.0
2016-11-21,4797.0
2016-11-23,5207.0
2016-11-24,3397.0
2016-11-25,4398.0
2016-12-15,5847.0
2016-12-19,5767.0
2016-12-20,4397.0
2016-12-22,6047.0
2016-12-29,3261.5
2017-01-02,7009.0
2017-01-03,4077.0
2017-01-09,4447.0
2017-01-10,5297.0
2017-01-11,5208.0
2017-01-18,7154.0
2017-01-19,5981.0
2017-01-23,6669.0
2017-01-27,6912.5
2017-01-30,6998.5
2017-01-31,7017.0
2017-02-01,6957.0
2017-02-02,5297.0
2017-02-03,6954.0
2017-02-06,5505.5
2017-02-07,6502.5
2017-02-08,5481.0
2017-02-09,6303.0
2017-02-10,6291.0
2017-02-13,5877.5
2017-02-14,5986.0
2017-02-15,4838.5
2017-02-16,5904.0
2017-02-17,6243.5
2017-02-20,5740.0
2017-02-21,5618.5
2017-02-22,5514.5
2017-02-23,5419.0
2017-02-24,5558.0
2017-02-27,4926.0
2017-02-28,4648.5
2017-03-01,4347.0
2017-03-02,5807.0
2017-03-03,5835.5
2017-03-06,5549.0
2017-03-07,5663.5
2017-03-08,5398.5
2017-03-09,6237.0
2017-03-10,5549.0
2017-03-13,5730.5
2017-03-14,5704.0
2017-03-15,6111.5
2017-03-16,6456.5
2017-03-17,5578.5
2017-03-20,5041.5
2017-03-21,6229.0
2017-03-22,6841.5
2017-03-23,6751.0
2017-03-24,7224.0
2017-03-27,4598.0
2017-03-28,6058.5
2017-03-29,5347.0
2017-03-30,5021.0
2017-03-31,6070.5
2017-04-03,5331.0
2017-04-04,5939.0
2017-04-05,5728.5
2017-04-06,5406.5
2017-04-07,5894.5
2017-04-10,5459.0
2017-04-11,6253.5
2017-04-12,5831.0
2017-04-13,5270.5
2017-04-17,6269.0
2017-04-18,6171.5
2017-04-19,5385.5
2017-04-20,5416.5
2017-04-21,5289.0
2017-04-24,5266.0
2017-04-26,5807.0
2017-04-27,5522.0
2017-04-28,5000.0
2017-05-02,4891.5
2017-05-03,4446.0
2017-05-04,5100.0
2017-05-05,4895.0
2017-05-08,4410.0
2017-05-09,3814.0
2017-05-10,4769.5
2017-05-12,4829.5
