year,price
2014-02-15,4109.0
2014-02-18,4229.0
2014-02-19,4539.0
2014-02-20,4429.0
2014-02-21,3829.0
2014-02-24,4559.0
2014-02-25,4029.0
2014-02-28,4640.5
2014-03-03,4709.0
2014-03-04,4289.0
2014-03-07,4769.0
2014-03-08,4669.0
2014-03-10,4594.0
2014-03-11,4661.0
2014-03-12,4209.0
2014-03-14,4189.0
2014-03-15,4379.0
2014-03-19,4339.0
2014-03-20,4131.0
2014-03-21,4366.0
2014-03-25,4344.5
2014-03-26,4650.0
2014-03-27,4409.0
2014-03-28,4529.0
2014-04-06,4200.0
2014-04-09,4544.0
2014-04-10,4369.0
2014-04-15,4469.0
2014-04-17,4469.0
2014-04-18,3400.0
2014-05-01,4200.0
2014-05-12,4920.0
2014-05-21,4000.0
2014-05-23,4000.0
2014-05-24,3800.0
2014-05-26,5069.0
2014-05-30,4579.5
2014-06-02,4059.0
2014-06-09,4259.0
2014-06-18,3311.0
2014-06-25,2500.0
2014-07-03,4229.0
2014-09-08,5209.0
2014-09-14,2500.0
2014-09-28,4800.0
2014-09-29,5209.0
2014-10-11,5649.0
2014-10-12,4355.0
2014-10-14,5689.0
2014-10-21,3651.0
2014-11-01,4361.0
2014-11-07,4551.0
2014-11-24,6229.0
2015-01-02,5299.0
2015-01-03,5629.0
2015-01-06,5529.0
2015-01-19,4764.5
2015-01-22,5360.0
2015-01-27,4999.666666666667
2015-01-29,4500.0
2015-01-30,5265.0
2015-01-31,5369.5
2015-02-02,5079.5
2015-02-03,5094.0
2015-02-07,4609.0
2015-02-11,4689.0
2015-02-12,5000.0
2015-02-13,5289.0
2015-02-16,4836.0
2015-02-19,4669.5
2015-02-20,4738.0
2015-02-21,4707.0
2015-02-23,4200.0
2015-02-24,5359.0
2015-02-25,4689.0
2015-02-27,5359.0
2015-02-28,5434.5
2015-03-03,5326.0
2015-03-05,5319.0
2015-03-09,5084.5
2015-03-11,5545.0
2015-03-13,5409.0
2015-03-24,5316.0
2015-04-06,5889.0
2015-04-07,5303.0
2015-04-08,5376.0
2015-04-11,5626.0
2015-04-29,5406.0
2015-04-30,5612.0
2015-05-13,4001.0
2015-06-17,5559.0
2015-07-09,5899.0
2015-08-07,4249.0
2015-08-25,7300.0
2015-08-26,7153.0
2015-08-28,8000.0
2015-08-31,8000.0
2015-09-01,7998.5
2015-09-02,7975.666666666667
2015-09-03,8212.5
2015-09-04,8382.5
2015-09-06,8675.0
2015-09-07,8704.0
2015-09-08,8258.666666666666
2015-09-09,8208.333333333334
2015-09-10,8435.0
2015-09-11,8148.333333333333
2015-09-12,8000.0
2015-09-14,7872.333333333333
2015-09-15,7133.333333333333
2015-09-16,7391.666666666667
2015-09-18,7926.0
2015-09-19,7950.0
2015-09-20,8125.0
2015-09-21,7900.0
2015-09-22,7700.0
2015-09-23,7845.0
2015-09-24,8000.0
2015-09-26,8245.0
2015-09-28,8500.0
2015-09-29,9000.0
2015-09-30,8617.333333333334
2015-10-01,9500.0
2015-10-03,9050.0
2015-10-05,9400.0
2015-10-06,9600.0
2015-10-07,9600.0
2015-10-08,9400.0
2015-10-09,9700.0
2015-10-13,8900.0
2015-10-14,9762.5
2015-10-15,9500.0
2015-10-16,9500.0
2015-10-17,8603.0
2015-10-19,10000.0
2015-10-20,9250.0
2015-10-27,8750.0
2015-10-30,9000.0
2015-10-31,7000.0
2015-11-13,7561.0
2015-11-14,9300.0
2015-11-16,8000.0
2015-11-18,9000.0
2015-11-20,8500.0
2015-11-23,8000.0
2015-11-24,9000.0
2016-01-06,7264.5
