date,modal
2013-11-25,5100.0
2013-11-26,3400.0
2013-11-27,3400.0
2013-11-29,2912.0
2013-11-30,3600.0
2013-12-03,3800.0
2013-12-04,3000.0
2013-12-05,3300.0
2013-12-10,3200.0
2013-12-11,2800.0
2013-12-12,5350.0
2013-12-14,4825.0
2013-12-15,6000.0
2013-12-16,3733.0
2013-12-25,5750.0
2013-12-29,4299.0
2013-12-30,3600.0
2014-01-01,3225.0
2014-01-09,3370.0
2014-01-14,3800.0
2014-01-15,3600.0
2014-01-19,4000.0
2014-01-20,4200.0
2014-01-21,4200.0
2014-01-22,4000.0
2014-01-24,4225.0
2014-01-25,3400.0
2014-01-26,4000.0
2014-01-27,3800.0
2014-01-31,4000.0
2014-02-01,4000.0
2014-02-02,4000.0
2014-02-03,3800.0
2014-02-04,3600.0
2014-02-05,3600.0
2014-02-06,4020.0
2014-02-07,4000.0
2014-02-09,3400.0
2014-02-10,3293.5
2014-02-11,4000.0
2014-02-12,3809.6666666666665
2014-02-18,4440.0
2014-02-23,3309.0
2014-02-26,2850.0
2014-02-28,3000.0
2014-03-03,3000.0
2014-03-07,3665.0
2014-03-09,2885.0
2014-03-10,3212.5
2014-03-11,4550.0
2014-03-12,3636.0
2014-03-18,3000.0
2014-03-19,5850.0
2014-03-23,4500.0
2014-03-24,3906.6666666666665
2014-03-31,3974.0
2014-04-01,4030.0
2014-04-06,3457.0
2014-04-08,3482.5
2014-04-09,3750.0
2014-04-10,3460.0
2014-04-13,3400.0
2014-04-18,3217.0
2014-04-20,7800.0
2014-04-27,4566.5
2014-04-28,4354.0
2014-04-29,3350.0
2014-04-30,4715.0
2014-05-02,3505.0
2014-05-04,3444.0
2014-05-08,3400.0
2014-05-09,4320.5
2014-05-10,3505.0
2014-05-12,3271.0
2014-05-23,3400.0
2014-05-25,3154.0
2014-06-14,3025.0
2014-06-15,3541.0
2014-06-22,3200.0
2014-06-29,3334.0
2014-06-30,3857.0
2014-07-05,3915.0
2014-07-13,5750.0
2014-07-15,3822.0
2014-07-20,5850.0
2014-08-05,4400.0
2014-08-09,6240.0
2014-08-13,7075.0
2014-08-17,7075.0
2014-08-18,6250.0
2014-08-19,7575.0
2014-08-22,4615.5
2014-08-24,4500.0
2014-08-26,4230.0
2014-08-27,4825.0
2014-08-28,7900.0
2014-08-31,6820.0
2014-09-02,7690.0
2014-09-07,7700.0
2014-09-08,5730.0
2014-09-09,6740.0
2014-09-10,4631.0
2014-09-14,8000.0
2014-09-22,8350.0
2014-09-23,7700.0
2014-09-24,7450.0
2014-09-26,7560.0
2014-09-29,7100.0
2014-10-01,7560.0
2014-10-02,6250.0
2014-10-03,6900.0
2014-10-06,7550.0
2014-10-07,6530.0
2014-10-08,5458.5
2014-10-09,5500.0
2014-10-10,7530.0
2014-10-13,6400.0
2014-10-15,6450.0
2014-10-16,6270.0
2014-10-17,7050.0
2014-10-19,6240.0
2014-10-21,5275.0
2014-10-22,6010.0
2014-10-24,5250.0
2014-10-26,5840.0
2014-10-27,6035.0
2014-10-29,6025.0
2014-10-30,5300.0
2014-10-31,5410.0
2014-11-03,6510.0
2014-11-06,5500.0
2014-11-07,5600.0
2014-11-08,5100.0
2014-11-09,6230.0
2014-11-10,6300.0
2014-11-11,5410.0
2014-11-12,6510.0
2014-11-13,5966.666666666667
2014-11-16,5900.0
2014-11-17,5980.0
2014-11-19,6160.0
2014-11-20,6515.0
2014-11-21,6835.0
2014-11-23,5965.0
2014-11-24,5100.0
2014-11-25,6730.0
2014-11-28,4400.0
2014-11-29,5200.0
2014-12-01,6650.0
2014-12-02,6800.0
2014-12-04,6060.0
2014-12-06,5500.0
2014-12-07,7150.0
2014-12-08,6900.0
2014-12-11,6550.0
2015-01-07,4400.0
2015-01-08,7400.0
2015-01-12,7150.0
2015-01-14,7400.0
2015-01-15,7400.0
2015-01-18,5000.0
2015-01-20,5395.0
2015-01-21,6900.0
2015-01-23,4200.0
2015-01-28,7920.0
2015-01-29,7750.0
2015-01-30,4370.0
2015-02-01,4500.0
2015-02-03,7400.0
2015-02-04,7400.0
2015-02-06,7450.0
2015-02-10,6800.0
2015-02-11,6687.5
2015-02-13,7800.0
2015-02-15,7800.0
2015-02-17,7800.0
2015-02-18,8000.0
2015-02-19,7800.0
2015-02-22,5000.0
2015-02-23,6975.0
2015-02-24,7500.0
2015-02-25,7500.0
2015-03-09,7600.0
2015-03-10,7600.0
2015-03-11,7600.0
2015-03-12,7800.0
2015-03-15,7600.0
2015-03-16,7600.0
2015-03-17,7600.0
2015-03-19,7800.0
2015-03-20,7800.0
2015-03-25,7900.0
2015-03-26,7800.0
2015-04-12,7650.0
2015-04-13,7800.0
2015-04-15,7950.0
2015-04-24,4400.0
2015-04-29,7900.0
2015-05-11,8600.0
2015-05-12,8700.0
2015-05-15,4500.0
2015-05-19,8600.0
2015-05-20,9050.0
2015-05-21,9500.0
2015-05-22,9600.0
2015-05-25,9200.0
2015-05-28,9500.0
2015-06-03,6000.0
2015-06-10,5800.0
2015-06-11,9400.0
2015-06-14,9500.0
2015-06-15,9700.0
2015-06-16,9450.0
2015-06-22,9400.0
2015-06-23,7750.0
2015-06-25,7001.5
2015-06-28,9600.0
2015-07-02,9200.0
2015-07-03,9200.0
2015-07-06,9200.0
2015-07-12,9200.0
2015-07-15,9350.0
2015-07-19,9900.0
2015-07-20,9800.0
2015-07-21,9800.0
2015-07-27,9600.0
2015-08-03,9550.0
2015-08-05,10685.0
2015-08-07,7355.0
2015-08-08,5430.0
2015-08-09,6000.0
2015-08-13,9489.0
2015-08-14,9300.0
2015-08-17,9280.0
2015-08-18,7624.5
2015-08-21,9005.0
2015-08-24,9135.0
2015-08-27,10669.0
2015-08-28,11665.0
2015-08-29,10155.0
2015-09-01,10355.0
2015-09-02,10080.0
2015-09-06,8423.0
2015-09-07,7592.0
2015-09-08,5000.0
2015-09-10,10780.0
2015-09-14,11265.0
2015-09-15,10153.0
2015-09-18,9142.0
2015-09-20,10080.0
2015-09-21,10030.0
2015-09-23,9237.0
2015-09-27,6100.0
2015-09-28,10022.0
2015-09-29,8100.0
2015-10-07,7615.0
2015-10-08,14280.0
2015-10-11,13930.0
2015-10-14,15884.0
2015-10-15,5780.0
2015-10-26,13280.0
2015-10-28,14580.0
2015-10-29,11580.0
2015-10-31,7500.0
2015-11-01,13380.0
2015-11-04,12780.0
2015-11-08,7000.0
2015-11-11,13450.0
2015-11-13,9300.0
2015-11-15,9300.0
2015-11-16,11797.5
2015-11-17,11456.0
2015-11-18,13458.5
2015-11-20,13343.0
2015-11-23,6000.0
2016-01-10,5100.0
2016-01-13,5250.0
2016-01-17,6017.0
2016-01-21,13333.0
2016-01-23,5300.0
2016-01-29,10100.0
2016-01-31,13156.0
2016-02-04,14475.0
2016-02-06,14700.0
2016-02-16,8500.0
2016-02-17,9200.0
2016-02-18,14880.0
2016-02-20,12506.0
2016-02-26,10100.0
2016-02-27,10020.0
2016-03-02,10020.0
2016-03-06,8700.0
2016-03-08,11112.0
2016-03-09,8716.5
2016-03-11,11633.0
2016-03-13,11633.0
2016-03-20,5283.0
2016-03-27,13578.0
2016-03-30,13578.0
2016-03-31,13578.0
2016-04-10,13520.0
2016-04-11,7185.0
2016-04-12,13520.0
2016-04-17,14465.0
2016-04-18,16700.0
2016-04-19,10200.0
2016-04-26,9400.0
2016-05-06,14000.0
2016-05-17,10200.0
2016-05-18,15862.0
2016-05-20,12000.0
2016-05-28,13000.0
2016-05-30,10628.0
2016-05-31,12800.0
2016-06-05,8500.0
2016-06-06,14200.0
2016-06-09,14000.0
2016-06-10,8000.0
2016-06-20,13500.0
2016-06-22,9443.0
2016-07-15,7800.0
2016-08-10,10400.0
2016-08-11,14300.0
2016-08-18,11900.0
2016-08-25,1360.0
2016-08-26,8500.0
2016-08-31,7251.0
2016-09-05,10640.0
2016-09-08,8000.0
2016-09-12,12180.0
2016-09-16,7595.0
2016-09-19,8000.0
2016-09-20,10400.0
2016-09-21,5600.0
2016-09-25,9800.0
2016-09-27,9135.0
2016-09-29,11600.0
2016-10-12,12400.0
2016-10-14,7500.0
2016-11-08,4575.0
2016-11-11,8550.0
2016-11-14,5500.0
2016-12-05,9600.0
2016-12-23,8400.0
2016-12-31,8260.0
2017-01-03,8300.0
2017-01-11,8500.0
2017-01-17,9500.0
2017-01-18,4850.0
2017-01-19,9000.0
2017-02-13,7550.0
2017-03-01,9700.0
2017-03-09,6800.0
2017-03-27,7200.0
2017-03-28,5185.0
2017-03-31,7700.0
2017-04-09,10100.0
2017-04-15,7500.0
2017-04-19,5000.0
2017-05-04,7455.0
2017-05-26,8400.0
2017-05-30,6250.0
2017-06-02,10775.0
2017-06-06,7000.0
2017-06-07,6320.0
