year,price
2014-04-18,4516.428571428572
2014-04-19,4626.666666666667
2014-04-20,4514.0
2014-04-21,4463.75
2014-04-22,4620.0
2014-04-23,4557.5
2014-04-24,4600.0
2014-04-25,4470.0
2014-04-26,4570.0
2014-04-27,4493.75
2014-04-28,4540.0
2014-04-29,5100.0
2014-04-30,4443.75
2014-05-01,4603.333333333333
2014-05-02,4401.25
2014-05-03,4725.0
2014-05-04,4498.0
2014-05-05,4671.25
2014-05-06,4950.0
2014-05-07,4623.333333333333
2014-05-08,4431.25
2014-05-09,4570.0
2014-05-10,4590.0
2014-05-11,4662.5
2014-05-12,4540.0
2014-05-13,5000.0
2014-05-14,4652.5
2014-05-15,4402.5
2014-05-16,4701.25
2014-05-17,4422.5
2014-05-18,4743.75
2014-05-19,4330.0
2014-05-20,4980.0
2014-05-21,4683.75
2014-05-22,4666.666666666667
2014-05-23,4687.5
2014-05-24,4574.0
2014-05-25,4702.5
2014-05-26,4600.0
2014-05-27,4950.0
2014-05-28,4885.0
2014-05-29,4630.0
2014-05-30,4700.0
2014-05-31,4945.0
2014-06-01,4662.5
2014-06-02,4585.0
2014-06-03,4950.0
2014-06-04,4900.0
2014-06-05,4640.0
2014-06-06,5112.5
2014-06-07,4745.0
2014-06-08,3431.6666666666665
2014-06-09,2726.5
2014-06-10,4900.0
2014-06-11,5010.0
2014-06-12,4950.0
2014-06-13,4940.0
2014-06-14,5023.333333333333
2014-06-15,5060.0
2014-06-16,5400.0
2014-06-17,4900.0
2014-06-18,4945.0
2014-06-19,5098.333333333333
2014-06-20,4646.666666666667
2014-06-21,4925.0
2014-06-22,3433.6666666666665
2014-06-23,3518.3333333333335
2014-06-24,4800.0
2014-06-25,3441.6666666666665
2014-06-26,2747.5
2014-06-27,2965.0
2014-06-28,4910.0
2014-06-29,2740.0
2014-06-30,2745.0
2014-07-01,4900.0
2014-07-02,4200.0
2014-07-03,5030.0
2014-07-04,5087.5
2014-07-05,4928.333333333333
2014-07-06,5070.0
2014-07-07,5112.5
2014-07-08,4895.0
2014-07-09,5100.0
2014-07-10,5112.5
2014-07-11,4625.0
2014-07-12,5181.0
2014-07-13,5313.333333333333
2014-07-14,5120.0
2014-07-15,5087.5
2014-07-16,5293.75
2014-07-17,5100.0
2014-07-18,5391.666666666667
2014-07-19,5103.333333333333
2014-07-20,5373.333333333333
2014-07-21,5411.666666666667
2014-07-22,5160.0
2014-07-23,5356.25
2014-07-24,5112.5
2014-07-25,5391.666666666667
2014-07-26,5365.0
2014-07-27,5475.0
2014-07-28,5385.0
2014-07-30,5101.666666666667
2014-07-31,5395.0
2014-08-01,5416.666666666667
2014-08-02,5140.0
2014-08-03,5433.333333333333
2014-08-04,5140.0
2014-08-06,5391.25
2014-08-07,5450.0
2014-08-08,4620.0
2014-08-09,5278.75
2014-08-10,5501.666666666667
2014-08-11,5476.666666666667
2014-08-12,5058.333333333333
2014-08-13,5438.75
2014-08-14,5456.666666666667
2014-08-15,5300.0
2014-08-16,5382.5
2014-08-17,5400.0
2014-08-18,5350.0
2014-08-19,5112.5
2014-08-20,5337.5
2014-08-21,5400.0
2014-08-22,5073.0
2014-08-23,5489.0
2014-08-24,5741.666666666667
2014-08-25,5681.0
2014-08-26,5475.0
2014-08-27,5485.0
2014-08-28,5564.0
2014-08-29,5507.5
2014-08-30,5199.166666666667
2014-08-31,5790.0
2014-09-01,5756.25
2014-09-02,5268.333333333333
2014-09-03,5465.0
2014-09-04,5648.0
2014-09-05,5392.5
2014-09-06,5540.0
2014-09-07,4966.666666666667
2014-09-08,5292.5
2014-09-09,5525.0
2014-09-10,5256.0
2014-09-11,5525.0
2014-09-12,5883.333333333333
2014-09-13,5518.75
2014-09-14,5570.0
2014-09-15,5611.666666666667
2014-09-16,5312.5
2014-09-17,5623.0
2014-09-18,5726.25
2014-09-19,5657.5
2014-09-20,4790.625
2014-09-21,5661.666666666667
2014-09-22,5770.0
2014-09-23,5650.625
2014-09-24,5608.125
2014-09-25,6040.833333333333
2014-09-26,6096.111111111111
2014-09-27,5960.0
2014-09-28,6475.0
2014-09-29,6182.5
2014-09-30,5733.333333333333
2014-10-01,6110.0
2014-10-02,5100.0
2014-10-03,5200.0
2014-10-04,5552.5
2014-10-05,6046.666666666667
2014-10-06,5212.5
2014-10-07,5950.0
2014-10-08,5672.5
2014-10-09,6135.0
2014-10-10,6004.166666666667
2014-10-11,5585.0
2014-10-12,5665.0
2014-10-13,5819.166666666667
2014-10-14,6060.0
2014-10-15,5980.909090909091
2014-10-16,6359.375
2014-10-17,5934.5
2014-10-18,5840.0
2014-10-19,5697.5
2014-10-20,5766.111111111111
2014-10-21,5880.0
2014-10-22,6050.0
2014-10-23,6063.333333333333
2014-10-25,5948.75
2014-10-26,5000.0
2014-10-27,5925.0
2014-10-28,5932.142857142857
2014-10-29,5891.0
2014-10-30,6129.0
2014-10-31,5961.111111111111
2014-11-01,5492.0
2014-11-02,5666.666666666667
2014-11-03,5928.571428571428
2014-11-04,6027.5
2014-11-05,5988.5
2014-11-06,6277.0
2014-11-07,6029.166666666667
2014-11-08,6061.0
2014-11-09,5745.0
2014-11-10,5791.0
2014-11-11,5797.777777777777
2014-11-12,5685.909090909091
2014-11-13,5813.75
2014-11-14,5654.2307692307695
2014-11-15,5681.538461538462
2014-11-16,6720.0
2014-11-17,5705.714285714285
2014-11-18,6027.857142857143
2014-11-19,5543.636363636364
2014-11-20,5691.5
2014-11-21,5615.909090909091
2014-11-22,5669.615384615385
2014-11-23,5962.5
2014-11-24,5703.571428571428
2014-11-25,6018.125
2014-11-26,5620.357142857143
2014-11-27,5582.333333333333
2014-11-28,5540.0
2014-11-29,5623.636363636364
2014-11-30,6193.333333333333
2014-12-01,5587.5
2014-12-02,5770.714285714285
2014-12-03,5586.538461538462
2014-12-04,5583.75
2014-12-05,5598.636363636364
2014-12-06,5735.5
2014-12-07,5594.0
2014-12-08,5567.0
2014-12-09,5691.875
2014-12-10,5536.25
2014-12-11,5539.545454545455
2015-01-01,5916.666666666667
2015-01-02,5347.5
2015-01-03,5683.75
2015-01-04,5751.0
2015-01-05,5760.0
2015-01-06,5495.5
2015-01-07,5522.916666666667
2015-01-08,5548.5
2015-01-09,5658.125
2015-01-10,5924.5
2015-01-11,6077.0
2015-01-12,5543.571428571428
2015-01-13,5581.5
2015-01-14,5670.0
2015-01-15,6044.444444444444
2015-01-16,6015.0
2015-01-17,6006.153846153846
2015-01-18,5912.857142857143
2015-01-19,5897.222222222223
2015-01-20,5877.777777777777
