NCT of Delhi,Delhi,Shahdara,Other,Pulses,2.7,1800,2500,2200,24-Mar-11
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,4,4550,4550,4550,14-Jul-14
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,12,6565,6600,6565,17-Jul-14
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,5,6599,6599,6599,18-Jul-14
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,8,5951,6081,5951,19-Jul-14
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,3,6401,6401,6401,22-Jul-14
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,4,6400,6400,6400,24-Jul-14
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,5,5625,6231,6231,25-Jul-14
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,2,6531,6531,6531,26-Jul-14
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,10,6500,6600,6600,27-Jul-14
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,20,5001,6650,6001,28-Jul-14
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,20,5400,6581,5965,29-Jul-14
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,7,5876,6400,6000,31-Jul-14
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,11,4215,4215,4215,04-Aug-14
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,2,6400,6400,6400,05-Aug-14
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,1,6400,6400,6400,08-Aug-14
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,1,6200,6200,6200,11-Aug-14
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,19,4501,6400,5891,12-Aug-14
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,1,6300,6300,6300,14-Aug-14
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,0.3,7498,7498,7498,01-Jan-15
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,0.4,5400,5400,5400,09-Feb-15
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,0.4,7602,7602,7602,05-Apr-15
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,0.1,6000,6000,6000,10-Apr-15
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,0.2,6900,6900,6900,17-Jan-16
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,0.7,5000,5000,5000,02-Feb-16
NCT of Delhi,Delhi,Najafgarh,Local (Whole),Pulses,1.2,6500,6500,6500,04-Feb-16
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,0.3,5600,5600,5600,26-Mar-16
NCT of Delhi,Delhi,Narela,Green (Whole),Pulses,0.3,5500,5500,5500,28-Mar-16
