year,price
2008-05-14,2400
2008-05-15,2400
2008-05-16,2400
2008-05-17,2400
2008-05-18,2400
2008-05-19,2400
2008-05-20,2400
2008-05-21,2400
2008-05-22,2400
2008-05-23,2400
2008-05-24,2400
2008-05-25,2400
2008-05-26,3300
2008-05-27,2400
2008-05-28,2400
2008-05-29,2400
2008-05-30,2400
2008-05-31,2400
2008-06-01,2400
2008-06-02,2400
2008-06-03,2400
2008-06-04,2400
2008-06-05,2450
2008-06-06,2450
2008-06-07,2450
2008-06-08,2450
2008-06-09,2400
2008-06-10,2400
2008-06-11,2400
2008-06-12,2400
2008-06-14,2400
2008-06-15,2400
2008-06-16,2400
2008-06-17,2500
2008-06-18,2500
2008-06-19,2500
2008-06-20,2500
2008-06-21,2500
2008-06-22,2500
2008-06-24,2500
2008-06-26,2500
2008-06-27,2500
2008-06-29,2500
2008-06-30,2500
2008-07-01,2500
2008-07-02,2500
2008-07-03,2500
2008-07-04,2500
2008-07-05,2500
2008-07-07,2550
2008-07-08,2550
2008-07-09,2500
2008-07-10,2500
2008-07-11,2500
2008-07-13,2500
2008-07-14,2500
2008-07-15,2500
2008-07-16,2500
2008-07-17,2100
2008-07-18,2500
2008-07-28,2500
2008-07-29,2500
2008-07-30,2500
2008-07-31,2500
2008-08-01,2500
2008-08-02,2500
2008-08-03,2500
2008-08-06,2500
2008-08-20,2200
2008-08-23,2500
2008-08-24,2500
2008-09-05,2600
2008-12-14,2200
2008-12-15,2200
2008-12-17,2200
2008-12-22,2200
2009-01-23,1900
2009-01-24,1900
2009-02-12,2200
2009-02-15,2200
2009-02-16,2200
2009-02-26,2200
2009-03-06,2200
2009-03-07,2200
2009-03-09,2200
2009-03-12,2200
2009-03-16,2200
2009-03-23,2200
2009-03-27,2200
2009-03-31,2200
2009-04-14,2200
2009-04-15,2200
2009-04-25,2200
2009-04-28,2200
2009-04-29,2200
2009-05-01,2400
2009-05-03,2400
2009-05-05,2400
2009-05-09,2250
2009-05-10,2250
2009-05-11,2250
2009-05-13,2250
2009-05-22,2300
2009-05-23,2300
2009-05-24,2300
2009-05-25,2300
2009-05-26,2300
2009-05-29,2300
2009-05-30,2300
2009-05-31,2300
2009-06-09,2200
2009-06-13,2300
2009-06-16,2300
2009-06-17,2300
2009-06-18,2300
2009-06-22,2300
2009-06-23,2300
2009-06-24,2300
2009-06-25,2300
2009-06-26,2300
2009-07-13,2300
2009-08-08,2600
2009-08-10,2600
2009-08-27,2500
2009-09-02,2500
2009-09-04,2600
2009-09-05,2600
2009-09-06,2600
2009-09-07,2600
2009-09-08,2600
2009-09-16,2500
2009-11-03,2100
2009-12-05,2200
2009-12-08,2500
2009-12-13,2800
2009-12-14,2800
2009-12-16,2650
2010-01-10,2800
2010-01-17,2800
2010-01-22,2800
2010-03-26,2700
2010-03-27,2700
2010-04-01,1200
2010-04-10,3000
2010-04-12,2500
2010-04-13,1800
2010-04-16,2000
2010-04-17,2200
2010-04-19,1700
2010-04-20,1800
2010-04-24,1700
2010-04-26,1600
2010-04-27,1200
2010-04-28,2800
2010-05-03,750
2010-05-29,1800
2011-01-15,2200
2011-01-16,2200
2011-01-17,2200
2011-01-18,2200
2011-01-19,2200
2011-01-20,2200
2011-01-22,2200
2011-01-23,2200
2011-01-24,2200
2011-01-25,2200
2011-01-26,2200
2011-01-27,2200
2011-01-28,2200
2011-01-29,1750
2011-01-30,1400
2011-01-31,1400
2011-02-01,1400
2011-02-02,1400
2011-02-03,1400
2011-02-04,1300
2011-02-05,1300
2011-02-06,1400
2011-02-07,1200
2011-02-11,1200
2011-02-12,1200
2011-02-13,1200
2011-02-14,1200
2011-02-15,1200
2011-02-16,1200
2011-02-17,1200
2011-02-18,1200
2011-02-19,1200
2011-02-20,1200
2011-02-21,1200
2011-02-22,1200
2011-02-23,1200
2011-03-01,1500
2011-03-02,1400
2011-03-03,1400
2011-03-04,1400
2011-03-05,1500
2011-03-06,2200
2011-03-07,2200
2011-03-08,2200
2011-03-09,2200
2011-03-10,2200
2011-03-11,2200
2011-03-12,2200
2011-03-13,2200
2011-03-14,2200
2011-03-15,2200
2011-03-16,2200
2011-03-17,2200
2011-03-18,2200
2011-03-19,2200
2011-03-20,2200
2011-03-22,2200
2011-03-23,2200
2011-03-25,2200
2011-03-26,2200
2011-03-27,2200
2011-03-28,2200
2011-03-29,2200
2011-03-30,2200
2011-03-31,2200
2011-04-01,2200
2011-04-02,2200
2011-04-03,2200
2011-04-04,2200
2011-04-06,2200
2011-12-07,2200
2011-12-08,2200
2011-12-09,2200
2011-12-10,2200
2011-12-11,2200
2011-12-12,2200
2011-12-13,2200
2011-12-14,2200
2011-12-15,2200
2011-12-16,2200
2011-12-17,2200
2011-12-18,2200
2011-12-19,2200
2011-12-20,2200
2011-12-21,2200
2011-12-22,2200
2011-12-23,2200
2011-12-24,2200
2011-12-25,2200
2011-12-26,2200
2011-12-27,2200
2011-12-28,2200
2011-12-30,2200
2011-12-31,2200
2012-01-01,2200
2012-01-02,2200
2012-01-03,2200
2012-01-04,2200
2012-01-05,2200
2012-01-06,2200
2012-01-07,2200
2012-01-08,2200
2012-01-09,2200
2012-01-10,1200
2012-01-11,1200
2012-01-12,1200
2012-01-13,1200
2012-01-15,1200
