year,price
2016-01-08,3250.0
2016-01-11,3250.0
2016-01-12,2996.0
2016-01-13,3125.0
2016-01-14,3250.0
2016-01-16,3100.0
2016-01-18,3250.0
2016-01-19,3250.0
2016-01-20,3250.0
2016-01-21,3250.0
2016-01-22,3250.0
2016-01-23,3125.0
2016-01-25,3000.0
2016-02-01,3250.0
2016-02-05,3250.0
2016-02-08,3250.0
2016-02-09,3250.0
2016-02-15,3250.0
2016-02-16,3250.0
2016-02-17,2950.0
2016-02-19,4625.0
2016-02-20,3250.0
2016-02-22,3250.0
2016-02-23,3250.0
2016-02-24,3250.0
2016-02-25,3250.0
2016-02-26,3250.0
2016-02-27,3250.0
2016-03-02,3250.0
2016-03-03,3075.0
2016-03-04,3075.0
2016-03-05,3250.0
2016-03-08,3250.0
2016-03-09,3250.0
2016-03-10,3250.0
2016-03-11,3250.0
2016-03-14,3250.0
2016-03-15,3350.0
2016-03-16,3250.0
2016-03-17,3250.0
2016-03-18,3025.0
2016-03-19,3250.0
2016-03-21,3125.0
2016-03-22,3250.0
2016-03-23,3250.0
2016-03-26,2958.5
2016-03-28,3250.0
2016-03-29,3050.0
2016-04-02,3250.0
2016-04-04,3250.0
2016-04-06,3250.0
2016-04-07,3250.0
2016-04-11,3525.0
2016-04-12,3200.0
2016-04-13,3250.0
2016-04-15,3250.0
2016-04-16,3250.0
2016-04-18,3250.0
2016-04-21,3250.0
2016-04-22,3400.0
2016-04-23,3400.0
2016-04-25,3400.0
2016-04-26,3400.0
2016-04-28,3400.0
2016-04-29,3400.0
2016-04-30,3550.0
2016-05-02,3500.0
2016-05-04,3400.0
2016-05-05,3400.0
2016-05-06,3175.0
2016-05-07,3400.0
2016-05-10,3250.0
2016-05-11,3400.0
2016-05-12,3400.0
2016-05-13,3400.0
2016-05-16,3400.0
2016-05-17,3400.0
2016-05-18,3200.0
2016-05-19,2545.0
2016-05-20,3400.0
2016-05-21,3400.0
2016-05-23,3275.0
2016-05-25,3400.0
2016-05-26,3400.0
2016-05-27,3400.0
2016-05-28,4550.0
2016-05-30,3400.0
2016-05-31,3450.0
2016-06-01,3400.0
2016-06-02,3400.0
2016-06-03,3175.0
2016-06-04,3400.0
2016-06-06,3400.0
2016-06-07,3400.0
2016-06-08,3400.0
2016-06-09,2540.0
2016-06-10,3400.0
2016-06-13,3400.0
2016-06-15,3400.0
2016-06-16,3400.0
2016-06-17,3400.0
2016-06-18,3450.0
2016-06-20,3450.0
2016-06-21,3225.0
2016-06-22,3700.0
2016-06-23,3450.0
2016-06-24,3450.0
2016-06-25,3575.0
2016-06-27,3575.0
2016-06-28,3450.0
2016-06-29,3216.5
2016-06-30,3275.0
2016-07-01,3200.0
2016-07-02,3525.0
2016-07-04,3400.0
2016-07-05,3750.0
2016-07-08,3683.6666666666665
2016-07-11,3825.0
2016-07-12,3750.0
2016-07-13,3750.0
2016-07-14,3750.0
2016-07-15,3750.0
2016-07-16,3375.0
2016-07-18,3750.0
2016-07-19,3750.0
2016-07-20,4000.0
2016-07-21,4000.0
2016-07-22,3550.0
2016-07-23,4000.0
2016-07-25,4000.0
2016-07-26,4000.0
2016-07-27,4000.0
2016-07-28,4000.0
2016-07-29,3400.0
2016-07-30,4000.0
2016-08-01,3677.3333333333335
2016-08-02,3550.0
2016-08-03,3375.0
2016-08-04,4000.0
2016-08-05,3475.0
2016-08-06,3550.0
2016-08-08,3575.0
2016-08-09,4000.0
2016-08-10,4000.0
2016-08-11,4000.0
2016-08-12,4000.0
2016-08-16,3575.0
2016-08-17,4000.0
2016-08-18,4000.0
2016-08-19,4000.0
2016-08-20,4000.0
2016-08-22,3787.5
2016-08-23,4000.0
2016-08-24,4000.0
2016-08-25,4000.0
2016-08-26,3775.0
2016-08-27,4150.0
2016-08-29,3525.0
2016-08-30,3200.0
2016-08-31,3800.0
2016-09-01,3800.0
2016-09-02,3800.0
2016-09-03,3600.0
2016-09-06,3600.0
2016-09-07,3600.0
2016-09-08,3600.0
2016-09-12,3600.0
2016-09-15,3200.0
2016-09-17,3525.0
2016-09-19,3500.0
2016-09-20,3500.0
2016-09-21,3100.0
2016-09-22,3500.0
2016-09-23,3300.0
2016-09-24,3500.0
2016-09-26,3500.0
2016-09-27,3500.0
2016-09-28,3325.0
2016-09-29,3500.0
2016-10-01,3300.0
2016-10-03,3500.0
2016-10-04,3500.0
2016-10-05,3500.0
2016-10-06,3675.5
2016-10-07,3375.0
2016-10-13,3600.0
2016-10-14,3216.6666666666665
2016-10-17,3450.0
2016-10-18,3600.0
2016-10-19,3100.0
2016-10-20,3600.0
2016-10-21,3116.6666666666665
2016-10-22,3475.0
2016-10-24,3600.0
2016-10-25,3400.0
2016-10-26,3150.0
2016-10-27,3400.0
2016-10-28,3400.0
2016-11-02,3400.0
2016-11-03,3300.0
2016-11-04,3375.0
2016-11-05,3300.0
2016-11-07,3300.0
2016-11-08,3400.0
2016-11-09,3350.0
2016-11-10,3400.0
