date,modal
2016-05-12,4200.0
2016-05-13,4116.666666666667
2016-05-14,3937.5
2016-05-15,3400.0
2016-05-16,4033.3333333333335
2016-05-17,3900.0
2016-05-18,3925.0
2016-05-19,3762.5
2016-05-20,3964.25
2016-05-21,3925.0
2016-05-23,4050.0
2016-05-24,4316.666666666667
2016-05-25,4266.666666666667
2016-05-26,4083.3333333333335
2016-05-27,4275.0
2016-05-28,3962.5
2016-05-30,4150.0
2016-05-31,3850.0
2016-06-01,3680.0
2016-06-02,3900.0
2016-06-03,3770.0
2016-06-04,5850.0
2016-06-06,3650.0
2016-06-07,3975.0
2016-06-08,4150.0
2016-06-09,4000.0
2016-06-10,3900.0
2016-06-11,3880.0
2016-06-13,3816.6666666666665
2016-06-14,3850.0
2016-06-15,3910.0
2016-06-16,3870.0
2016-06-17,3820.0
2016-06-18,3962.5
2016-06-20,4850.0
2016-06-21,3762.5
2016-06-22,3925.0
2016-06-23,4000.0
2016-06-24,3875.0
2016-06-25,4250.0
2016-06-27,3833.3333333333335
2016-06-28,3700.0
2016-06-29,3837.5
2016-06-30,4050.0
2016-07-01,3830.0
2016-07-02,3712.5
2016-07-05,3733.3333333333335
2016-07-07,3766.6666666666665
2016-07-08,3800.0
2016-07-09,3733.3333333333335
2016-07-11,3925.0
2016-07-12,3775.0
2016-07-13,4350.0
2016-07-14,4183.333333333333
2016-07-15,3900.0
2016-07-16,3800.0
2016-07-18,4133.333333333333
2016-07-19,3800.0
2016-07-20,4000.0
2016-07-21,4350.0
2016-07-22,4750.0
2016-07-23,3766.6666666666665
2016-07-24,5000.0
2016-07-25,4091.6666666666665
2016-07-26,4040.0
2016-07-27,3600.0
2016-07-28,4350.0
2016-07-29,4160.0
2016-07-30,4050.0
2016-07-31,4700.0
2016-08-01,4066.6666666666665
2016-08-02,3950.0
2016-08-03,3950.0
2016-08-04,3975.0
2016-08-05,4060.0
2016-08-06,3870.0
2016-08-07,3000.0
2016-08-08,3737.5
2016-08-09,3830.0
2016-08-10,4116.666666666667
2016-08-11,3818.75
2016-08-12,3830.0
2016-08-13,3550.0
2016-08-16,3675.0
2016-08-17,3650.0
2016-08-18,4400.0
2016-08-19,3590.0
2016-08-20,3575.0
2016-08-21,3250.0
2016-08-22,3625.0
2016-08-23,3462.5
2016-08-24,3750.0
2016-08-25,3200.0
2016-08-26,3510.0
2016-08-27,3587.75
2016-08-29,3337.5
2016-08-30,3458.3333333333335
2016-08-31,3475.0
2016-09-01,3383.3333333333335
2016-09-02,3433.3333333333335
2016-09-03,2950.0
2016-09-04,2500.0
2016-09-06,3900.0
2016-09-07,3550.0
2016-09-08,3466.6666666666665
2016-09-09,3386.6666666666665
2016-09-10,3066.6666666666665
2016-09-12,3966.6666666666665
2016-09-13,3250.0
2016-09-14,3487.5
2016-09-15,3100.0
2016-09-16,3583.3333333333335
2016-09-17,3625.0
2016-09-18,3500.0
2016-09-19,3400.0
2016-09-20,3350.0
2016-09-21,4700.0
2016-09-22,3525.0
2016-09-23,3900.0
2016-09-24,4050.0
2016-09-26,3566.6666666666665
2016-09-27,4275.0
2016-09-28,3883.3333333333335
2016-09-29,3550.0
2016-09-30,3750.0
2016-10-01,4137.5
2016-10-02,6250.0
2016-10-03,4587.5
2016-10-04,4237.5
2016-10-05,3700.0
2016-10-06,3903.3333333333335
2016-10-07,3720.0
2016-10-08,3275.0
2016-10-10,3183.3333333333335
2016-10-11,5975.0
2016-10-12,5337.5
2016-10-13,5475.0
2016-10-14,3933.3333333333335
2016-10-15,3775.0
2016-10-16,6500.0
2016-10-17,4688.0
2016-10-18,3700.0
2016-10-19,3750.0
2016-10-20,4660.0
2016-10-21,3725.0
2016-10-22,3800.0
2016-10-24,3300.0
2016-10-25,3150.0
2016-10-26,3333.3333333333335
2016-10-27,3800.0
2016-10-28,4025.0
2016-10-29,3600.0
2016-10-31,3800.0
2016-11-01,3800.0
2016-11-02,3233.3333333333335
2016-11-03,3675.0
2016-11-04,3750.0
2016-11-05,3300.0
2016-11-07,3733.3333333333335
2016-11-08,3762.5
2016-11-09,3737.5
2016-11-10,3666.6666666666665
2016-11-11,3475.0
2016-11-12,3216.6666666666665
2016-11-14,3575.0
2016-11-15,3500.0
2016-11-16,3300.0
2016-11-17,3150.0
2016-11-18,3500.0
2016-11-19,4808.333333333333
2016-11-20,3500.0
2016-11-21,3725.0
2016-11-22,3687.5
2016-11-23,3550.0
2016-11-24,3550.0
2016-11-25,3883.3333333333335
2016-11-26,3575.0
2016-11-27,3250.0
2016-11-28,3850.0
2016-11-29,3900.0
2016-11-30,3350.0
2016-12-01,3466.6666666666665
2016-12-02,3350.0
2016-12-03,2850.0
2016-12-05,3710.0
2016-12-06,3876.6666666666665
2016-12-07,3135.0
2016-12-08,3410.8571428571427
2016-12-09,3300.0
2016-12-10,3700.0
2016-12-11,2491.6666666666665
2016-12-12,3531.25
2016-12-13,2833.3333333333335
2016-12-14,3416.0
2016-12-15,3062.5
2016-12-16,3730.0
2016-12-17,3370.0
2016-12-18,1600.0
2016-12-19,3150.0
2016-12-20,2538.8888888888887
2016-12-21,2808.3333333333335
2016-12-22,2706.25
2016-12-23,3308.3333333333335
2016-12-24,3850.0
2016-12-25,1368.75
2016-12-26,3385.0
2016-12-27,2714.285714285714
2016-12-28,2791.6666666666665
2016-12-29,2657.1428571428573
2016-12-30,3225.0
2016-12-31,2625.0
2017-01-01,1050.0
2017-01-02,3833.3333333333335
2017-01-03,2950.0
2017-01-04,3700.0
2017-01-05,2491.6666666666665
2017-01-06,3237.5
2017-01-07,3812.5
2017-01-09,3712.5
2017-01-10,2907.1428571428573
2017-01-11,3190.0
2017-01-12,2800.0
2017-01-13,3650.0
2017-01-14,2535.714285714286
2017-01-15,900.0
2017-01-16,3200.0
2017-01-17,2387.5
2017-01-18,3150.0
2017-01-19,2140.0
2017-01-20,950.0
2017-01-22,950.0
2017-01-23,2125.0
2017-01-24,2325.0
2017-01-25,2241.6666666666665
2017-01-26,900.0
2017-01-27,3110.0
2017-01-28,3145.8333333333335
2017-01-29,925.0
2017-01-30,2590.0
2017-01-31,2157.1428571428573
2017-02-01,2316.6666666666665
2017-02-02,2393.75
2017-02-03,3883.3333333333335
2017-02-04,2467.8571428571427
2017-02-05,987.5
2017-02-06,2620.0
2017-02-07,2716.6666666666665
2017-02-08,2400.0
2017-02-09,2487.5
2017-02-10,3162.5
2017-02-11,2408.3333333333335
2017-02-12,1070.0
2017-02-13,3066.6666666666665
2017-02-14,2266.6666666666665
2017-02-15,2471.4285714285716
2017-02-16,2500.0
2017-02-17,2783.3333333333335
2017-02-18,2325.0
2017-02-21,1200.0
2017-02-22,2733.3333333333335
2017-02-23,2060.0
2017-02-24,1350.0
2017-02-25,3250.0
2017-02-26,1300.0
2017-02-27,2530.0
2017-02-28,2090.0
2017-03-01,2550.0
2017-03-02,2662.5
2017-03-03,3150.0
2017-03-04,2416.6666666666665
2017-03-05,1466.6666666666667
2017-03-06,2680.0
2017-03-07,2072.222222222222
2017-03-08,2390.0
2017-03-09,2356.25
2017-03-10,2606.0
2017-03-11,2397.0
2017-03-12,1350.0
2017-03-14,2422.0
2017-03-15,2650.0
2017-03-16,2859.1666666666665
2017-03-17,2397.0
2017-03-18,2792.1428571428573
2017-03-19,1808.3333333333333
2017-03-20,2820.8333333333335
2017-03-21,2594.714285714286
2017-03-22,3300.0
2017-03-23,3007.5
2017-03-24,3700.0
2017-03-25,3039.1666666666665
2017-03-26,1875.0
2017-03-27,2963.714285714286
2017-03-28,3250.0
2017-03-29,3071.25
2017-03-30,3085.0
2017-03-31,3095.1666666666665
2017-04-01,3350.0
2017-04-03,3137.5
2017-04-04,3100.0
2017-04-05,3650.0
2017-04-06,3500.0
2017-04-07,3466.6666666666665
2017-04-08,3433.3333333333335
2017-04-10,2908.3333333333335
2017-04-11,2700.0
2017-04-12,3225.0
2017-04-13,3533.3333333333335
2017-04-14,3300.0
2017-04-15,3237.5
2017-04-17,3775.0
2017-04-18,3476.6666666666665
2017-04-19,4125.0
2017-04-20,3372.25
2017-04-21,4125.0
2017-04-22,3550.0
2017-04-24,3787.5
2017-04-25,3441.6666666666665
2017-04-26,3850.0
2017-04-27,3200.0
