date,modal
2011-09-30,1050.0
2011-10-01,950.0
2011-10-08,1060.0
2011-10-15,750.0
2011-11-05,1215.0
2011-11-10,1200.0
2011-11-18,1100.0
2011-11-21,900.0
2011-11-25,1400.0
2011-12-05,1244.0
2011-12-08,1100.0
2011-12-09,1080.0
2011-12-10,1125.0
2011-12-13,1121.0
2011-12-27,1200.0
2012-01-13,1332.0
2012-04-21,1200.0
2012-06-03,1200.0
2012-06-04,1180.0
2012-06-05,1150.0
2012-06-07,1162.0
2012-06-11,925.0
2012-06-17,1100.0
2012-06-23,1182.0
2012-06-25,985.0
2012-07-28,1300.0
2012-08-31,1371.0
2012-09-10,1500.0
2012-09-13,1425.0
2012-09-16,1370.0
2012-09-25,1391.0
2012-09-30,1421.0
2012-10-04,1340.0
2012-10-05,1100.0
2012-10-18,1541.0
2012-10-19,1325.0
2012-10-21,1500.0
2012-10-26,1470.0
2012-10-30,1250.0
2012-11-03,1471.0
2012-11-05,1200.0
2012-11-09,1500.0
2012-12-03,1300.0
2012-12-06,1300.0
2012-12-09,1600.0
2012-12-10,1471.0
2012-12-20,1221.0
2012-12-23,1475.0
2012-12-25,1441.0
2012-12-29,1500.0
2012-12-30,1571.0
2012-12-31,1400.0
2013-01-04,925.0
2013-01-15,1585.0
2013-01-20,1550.0
2013-01-22,1350.0
2013-01-25,1451.0
2013-01-27,1629.0
2013-01-29,1480.0
2013-02-02,1351.0
2013-02-10,1480.0
2013-03-15,1600.0
2013-03-24,1200.0
2013-04-05,700.0
2013-04-07,1000.0
2013-04-27,1352.0
2013-07-14,1600.0
2013-08-01,1000.0
2013-08-02,1596.0
2013-08-03,1496.0
2013-08-05,1140.0
2013-08-25,1370.0
2013-08-26,1151.0
2013-08-29,1240.0
2013-09-07,1149.0
2013-09-08,1500.0
2013-09-10,1450.0
2013-09-14,1310.0
2013-09-16,1500.0
2013-10-04,1531.0
2013-10-06,1402.0
2013-10-17,1428.0
2013-10-29,1480.0
2013-11-05,1526.0
2013-11-08,1241.0
2013-11-19,1435.0
2013-11-22,1472.0
2013-12-07,1590.0
2013-12-12,1525.0
2013-12-26,1504.0
2014-01-07,1601.0
2014-01-10,1436.0
2014-01-30,1310.0
2014-02-02,1453.0
2014-02-04,1270.0
2014-02-21,1560.0
2014-02-27,1560.0
2014-03-04,1550.0
2014-03-22,1469.0
2014-04-04,1499.0
2014-05-04,1450.0
2014-06-08,1101.0
2014-06-24,1255.0
2014-06-29,1131.0
2014-06-30,1150.0
2014-07-10,1150.0
2014-07-15,1195.0
2014-07-21,1151.0
2014-08-05,1131.0
2014-08-07,1125.0
2014-08-10,1125.0
2014-09-15,1800.0
2014-09-16,1455.0
2014-09-18,1300.0
2014-09-21,1400.0
2014-09-22,950.0
2014-09-28,1221.0
2014-10-03,1051.0
2014-10-07,1155.0
2014-10-10,1435.0
2014-10-11,1531.0
2014-10-13,1270.0
2014-10-18,1400.0
2014-10-23,1351.0
2014-10-25,1300.0
2014-11-03,1456.0
2014-11-06,1431.0
2014-11-07,1360.0
2014-11-10,1309.0
2014-11-11,1260.0
