year,price
2015-12-28,1527.7241379310344
2015-12-29,1544.875
2015-12-30,1561.3684210526317
2015-12-31,1555.0666666666666
2016-03-01,1800.0
2016-03-11,1680.0
2016-06-01,881.0
2016-06-02,1377.5
2016-06-03,1162.2
2016-06-04,1204.0
2016-06-05,1469.4
2016-06-06,1220.8333333333333
2016-06-07,1187.125
2016-06-08,1193.5
2016-06-09,1231.875
2016-06-10,1031.0
2016-06-11,1146.6666666666667
2016-06-12,1070.0
2016-06-13,1184.375
2016-06-14,1201.0
2016-06-15,1239.090909090909
2016-06-16,1212.5
2016-06-17,1163.75
2016-06-18,1235.0
2016-06-19,1248.0
2016-06-20,1220.7142857142858
2016-06-21,1235.0
2016-06-22,1345.4
2016-06-23,1265.0
2016-06-24,1319.4444444444443
2016-06-25,1343.5
2016-06-26,1273.3333333333333
2016-06-27,1308.75
2016-06-28,1336.5384615384614
2016-06-29,1297.3076923076924
2016-06-30,1382.3333333333333
2016-07-01,1371.111111111111
2016-07-02,1261.25
2016-07-03,1200.0
2016-07-04,1192.5
2016-07-05,1406.6666666666667
2016-07-06,1317.5
2016-07-07,1291.25
2016-07-08,1296.7142857142858
2016-07-09,1355.0
2016-07-10,1295.0
2016-07-11,1290.4285714285713
2016-07-12,1334.9285714285713
2016-07-13,1316.875
2016-07-14,1314.6875
2016-07-15,1305.0
2016-07-16,1348.75
2016-07-17,1296.6666666666667
2016-07-18,1156.6666666666667
2016-07-19,1370.0
2016-07-20,1246.25
2016-07-21,1376.4
2016-07-22,1269.0
2016-07-23,1418.3333333333333
2016-07-24,1450.0
2016-07-25,1475.0
2016-07-26,1441.25
2016-07-27,1404.0
2016-07-28,1375.7142857142858
2016-07-29,1250.0
2016-07-30,1255.0
2016-07-31,1202.5
2016-08-01,1242.0
2016-08-02,1230.7
2016-08-03,1490.0
2016-08-04,1481.875
2016-08-05,1405.0
2016-08-06,1268.0
2016-08-07,1380.0
2016-08-08,1475.0
2016-08-09,1330.0
2016-08-10,1477.5
2016-08-11,1433.75
2016-08-12,1157.6666666666667
2016-08-13,1530.0
2016-08-14,1115.0
2016-08-15,1270.0
2016-08-16,1253.6666666666667
2016-08-17,1393.3333333333333
2016-08-18,1450.0
2016-08-19,1332.5
2016-08-20,1277.5
2016-08-21,1155.0
2016-08-22,1356.0
2016-08-23,1215.0
2016-08-24,1200.0
2016-08-25,1328.75
2016-08-26,1347.5
2016-08-27,1142.5
2016-08-28,1085.0
2016-08-29,1260.5
2016-08-30,1246.0
2016-08-31,1275.0
2016-09-01,1301.75
2016-09-02,1167.5
2016-09-03,1900.0
2016-09-04,1188.3333333333333
2016-09-05,1258.3333333333333
2016-09-06,1368.3333333333333
2016-09-07,1245.0
2016-09-08,1243.3333333333333
2016-09-09,1355.5
2016-09-10,1220.0
2016-09-11,1292.5
2016-09-12,1313.75
2016-09-13,1273.8333333333333
2016-09-14,1314.2857142857142
2016-09-15,1350.8333333333333
2016-09-16,1264.1666666666667
2016-09-17,1227.5
2016-09-18,1350.0
2016-09-19,1366.6666666666667
2016-09-20,1328.0
2016-09-21,1316.6666666666667
2016-09-22,1270.0
2016-09-23,1158.3333333333333
2016-09-24,1360.0
2016-09-25,1150.0
2016-09-26,1356.6666666666667
2016-09-27,1213.75
2016-09-28,1216.25
2016-09-29,1252.3333333333333
2016-09-30,1173.75
2016-10-01,1182.5
2016-10-02,1272.3333333333333
2016-10-03,1505.0
2016-10-04,1250.0
2016-10-05,1341.6666666666667
2016-10-06,1224.0
2016-10-07,1247.0
2016-10-09,1300.0
2016-10-12,1241.5
2016-10-13,1343.0
2016-10-14,1381.0
2016-10-15,1320.0
2016-10-16,1250.0
2016-10-17,1200.0
2016-10-18,1205.0
2016-10-20,1320.0
2016-10-21,1305.0
2016-10-22,1189.0
2016-10-25,1418.3333333333333
2016-10-26,1410.0
2016-10-27,1443.0
2016-10-28,1405.0
2016-10-29,1100.0
2016-11-01,1300.0
2016-11-02,1415.0
2016-11-03,1530.0
2016-11-04,1447.5
2016-11-07,1279.3333333333333
2016-11-08,1621.0
2016-11-09,1387.5
2016-11-10,1401.5
2016-11-12,1625.0
2016-11-13,1560.0
2016-11-14,1545.0
2016-11-15,1472.5
2016-11-16,1615.0
2016-11-17,1562.5
2016-11-18,1460.0
2016-11-19,1430.0
2016-11-20,1500.0
2016-11-21,1470.0
2016-11-22,1531.25
2016-11-23,1605.0
2016-11-24,1467.5
2016-11-25,1452.6666666666667
2016-11-26,1540.0
2016-11-27,1563.0
2016-11-28,1580.0
2016-11-29,1455.0
2016-11-30,1517.5
2016-12-02,1595.0
2016-12-05,1510.0
2016-12-06,1500.0
2016-12-08,1600.0
2016-12-09,1470.0
2016-12-10,1382.5
2016-12-11,1525.0
2016-12-12,1300.0
2016-12-13,1525.0
2016-12-14,1550.0
2016-12-15,1420.0
2016-12-16,1500.0
2016-12-17,1490.0
2016-12-18,1625.0
2016-12-19,1400.0
2016-12-21,1530.0
2016-12-22,1585.0
2016-12-23,1575.0
2016-12-24,1630.0
2016-12-27,1500.0
2016-12-28,1390.0
2016-12-30,1410.0
2016-12-31,1575.0
2017-01-01,1750.0
2017-01-02,1562.032258064516
2017-01-03,1564.3833333333334
2017-01-04,1539.0384615384614
2017-01-05,1562.25
2017-01-06,1552.3793103448277
2017-01-07,1561.26
2017-01-08,1525.0
2017-01-09,1548.5
2017-01-10,1512.8
2017-01-11,1528.6451612903227
2017-01-12,1538.2222222222222
2017-01-13,1569.3666666666666
2017-01-14,1527.3333333333333
2017-01-15,1750.0
2017-01-16,1504.8275862068965
2017-01-17,1537.7407407407406
2017-01-18,1524.5483870967741
2017-01-19,1559.2608695652175
2017-01-20,1495.9166666666667
2017-01-21,1554.84
2017-01-23,1558.851851851852
2017-01-24,1527.090909090909
2017-01-25,1534.4242424242425
2017-01-26,1550.0
2017-01-27,1517.357142857143
2017-01-28,1528.4
2017-01-29,1775.0
2017-01-30,1534.7407407407406
2017-01-31,1482.7142857142858
2017-02-01,1528.68
2017-02-02,1552.3333333333333
2017-02-03,1551.0
2017-02-04,1537.842105263158
2017-02-05,1550.75
2017-02-06,1516.6296296296296
2017-02-07,1565.0
2017-02-08,1537.9545454545455
2017-02-09,1536.3529411764705
2017-02-10,1542.4761904761904
2017-02-11,1531.5833333333333
2017-02-12,1523.3333333333333
2017-02-13,1535.2857142857142
2017-02-14,1537.9655172413793
