year,price
2016-02-10,1134.6153846153845
2016-02-11,1064.0
2016-02-12,1325.5
2016-02-13,1200.0
2016-02-14,1200.0
2016-02-15,1320.1666666666667
2016-02-16,988.6666666666666
2016-02-17,1318.8
2016-02-18,1089.7272727272727
2016-02-19,974.1818181818181
2016-02-20,1328.6666666666667
2016-02-22,1189.4
2016-02-23,1100.4545454545455
2016-02-24,1198.0
2016-02-25,1132.2222222222222
2016-02-26,1366.5
2016-02-27,1200.0
2016-03-01,1352.111111111111
2016-03-02,1205.1
2016-03-03,1384.3
2016-03-04,1087.8
2016-03-05,1200.0
2016-03-06,1410.0
2016-03-07,1354.923076923077
2016-03-08,1363.5
2016-03-09,1240.4
2016-03-10,1405.6363636363637
2016-03-11,1372.0
2016-03-13,1000.0
2016-03-14,1392.4444444444443
2016-03-15,1262.0
2016-03-16,1388.2222222222222
2016-03-17,1324.5714285714287
2016-03-18,1562.2222222222222
2016-03-19,950.0
2016-03-21,1444.8
2016-03-22,1323.6
2016-03-23,1415.25
2016-03-24,1696.4
2016-03-26,950.0
2016-03-28,1428.090909090909
2016-03-29,1241.625
2016-03-30,1125.0
2016-03-31,937.5555555555555
2016-04-01,1069.875
2016-04-04,1422.7272727272727
2016-04-05,934.6666666666666
2016-04-06,1033.75
2016-04-07,1147.3
2016-04-11,1393.8
2016-04-12,1387.2857142857142
2016-04-13,1108.1666666666667
2016-04-15,1387.5555555555557
2016-04-18,1391.6363636363637
2016-04-19,1410.0
2016-04-20,1555.4545454545455
2016-04-21,1394.7777777777778
2016-04-22,1387.6
2016-04-25,1346.125
2016-04-26,1406.9166666666667
2016-04-27,1355.3333333333333
2016-04-28,1422.111111111111
2016-04-29,1399.5454545454545
2016-05-02,1428.125
2016-05-03,1400.4545454545455
2016-05-04,1403.0
2016-05-05,1386.857142857143
2016-05-06,1371.1818181818182
2016-05-09,1380.5384615384614
2016-05-10,1352.7692307692307
2016-05-11,1366.25
2016-05-12,1441.9
2016-05-13,1401.0
2016-05-17,1329.5
2016-05-18,1600.5454545454545
2016-05-19,1368.625
2016-05-20,1381.8
2016-05-23,1584.4615384615386
2016-05-24,1419.7857142857142
2016-05-25,1432.5
2016-05-26,1430.1
2016-05-27,1464.25
2016-05-28,1448.0
2016-05-30,1509.5833333333333
2016-05-31,1494.8181818181818
2016-06-01,1482.9166666666667
2016-06-02,1465.5833333333333
2016-06-03,1461.7857142857142
2016-06-06,1525.857142857143
2016-06-07,1536.0
2016-06-08,1464.6
2016-06-09,1432.2
2016-06-10,1481.25
2016-06-11,1527.5
2016-06-12,1500.0
