district,avg_price,rainfall,month,year
1,2000,7.7,1,2
1,2000,7.7,1,2
1,2000,7.7,1,2
1,2100,7.7,1,2
1,2100,7.7,1,2
1,2100,7.7,1,2
1,2100,7.7,1,2
1,2100,7.7,1,2
1,2050,7.7,1,2
1,2050,7.7,1,2
1,2050,7.7,1,2
1,2100,7.7,1,2
1,2100,7.7,1,2
1,2100,7.7,1,2
1,2100,7.7,1,2
1,2100,7.7,1,2
1,2200,7.7,1,2
1,2200,7.7,1,2
1,2200,7.7,1,2
1,2200,7.7,1,2
1,2200,7.7,1,2
1,2200,7.7,1,2
1,2200,7.7,1,2
1,2000,7.7,1,2
1,2000,7.7,1,2
1,2000,7.7,1,2
1,2000,0.0,2,2
1,2000,0.0,2,2
1,2000,0.0,2,2
1,1900,0.0,2,2
1,1900,0.0,2,2
1,1900,0.0,2,2
1,1850,0.0,2,2
1,1950,0.0,2,2
1,1950,0.0,2,2
1,1950,0.0,2,2
1,1950,0.0,2,2
1,1950,0.0,2,2
1,1950,0.0,2,2
1,2050,0.0,2,2
1,2050,0.0,2,2
1,2050,0.0,2,2
1,2050,0.0,2,2
1,2100,0.0,2,2
1,2100,0.0,2,2
1,2100,0.0,2,2
1,2150,0.0,2,2
1,2150,21.8,3,2
1,2200,21.8,3,2
1,2200,21.8,3,2
1,2100,21.8,3,2
1,2100,21.8,3,2
1,2100,21.8,3,2
1,2100,21.8,3,2
1,2100,21.8,3,2
1,2100,21.8,3,2
1,2150,21.8,3,2
1,2150,21.8,3,2
1,2100,21.8,3,2
1,2100,21.8,3,2
1,2150,21.8,3,2
1,2150,21.8,3,2
1,2150,21.8,3,2
1,2150,21.8,3,2
1,2150,21.8,3,2
1,2150,21.8,3,2
1,2150,21.8,3,2
1,2150,21.8,3,2
1,2150,21.8,3,2
1,2150,21.8,3,2
1,2150,21.8,3,2
1,2150,131.4,4,2
1,2150,131.4,4,2
1,2150,131.4,4,2
1,2150,131.4,4,2
