Andhra Pradesh,East Godavari,Peddapuram,Black Gram (Whole),Pulses,5.00,4000,4500,4400,01 Jan 2010
Andhra Pradesh,Guntur,Narasaraopet,Local,Pulses,0.10,4300,4500,4400,01 Jan 2010
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Local,Pulses,0.10,5200,5400,5300,01 Jan 2010
Andhra Pradesh,Guntur,Tenali,Local,Pulses,0.10,5400,5600,5500,01 Jan 2010
Andhra Pradesh,Krishna,Movva Hqs,Local,Pulses,10.00,4300,4500,4400,01 Jan 2010
Andhra Pradesh,Krishna,Vuyyur,Local,Pulses,0.10,4800,5100,5000,01 Jan 2010
Gujarat,Amreli,Amreli,Other,Pulses,0.20,3450,4130,3825,01 Jan 2010
Gujarat,Amreli,Savarkundla,Other,Pulses,0.50,4250,4750,4500,01 Jan 2010
Gujarat,Dahod,Dahod,Other,Pulses,0.60,5000,5100,5050,01 Jan 2010
Gujarat,Dahod,Jhalod,Other,Pulses,0.02,4500,4600,4550,01 Jan 2010
Gujarat,Jamnagar,Dhrol,Other,Pulses,0.05,4000,4675,4335,01 Jan 2010
Gujarat,Jamnagar,Jam Jodhpur,Other,Pulses,0.40,3750,4800,4400,01 Jan 2010
Gujarat,Jamnagar,Jamnagar,Other,Pulses,2.00,4250,4555,4403,01 Jan 2010
Gujarat,Junagarh,Visavadar,Other,Pulses,0.26,3640,4950,4295,01 Jan 2010
Gujarat,Mehsana,Becharaji,Other,Pulses,0.20,4850,5620,5500,01 Jan 2010
Gujarat,Mehsana,Kadi,Other,Pulses,0.20,4700,5060,4900,01 Jan 2010
Gujarat,Mehsana,Vijapur,Other,Pulses,3.05,1975,2000,1990,01 Jan 2010
Gujarat,Mehsana,Visnagar,Other,Pulses,2.50,3250,5275,5000,01 Jan 2010
Gujarat,Patan,Patan,Other,Pulses,2.00,4500,5530,5000,01 Jan 2010
Gujarat,Patan,Siddhpur,Other,Pulses,2.00,4605,4855,4730,01 Jan 2010
Gujarat,Rajkot,Morbi,Other,Pulses,0.20,4625,5530,5077.5,01 Jan 2010
Gujarat,Rajkot,Upleta,Local,Pulses,0.40,4240,4595,4445,01 Jan 2010
Gujarat,Sabarkantha,Himatnagar,Other,Pulses,18.20,4625,5050,4838,01 Jan 2010
Gujarat,Sabarkantha,Modasa,Other,Pulses,0.70,4715,4750,4725,01 Jan 2010
Gujarat,Surat,Mahuva,Other,Pulses,0.10,4475,4475,4475,01 Jan 2010
Gujarat,Surat,S.Mandvi,Other,Pulses,0.17,4600,4600,4600,01 Jan 2010
Haryana,Bhiwani,Bhiwani,Other,Pulses,0.50,2240,2240,2240,01 Jan 2010
Haryana,Sirsa,Sirsa,Desi,Pulses,5.00,2850,2850,2850,01 Jan 2010
Jammu and Kashmir,Jammu,Jammu (Grain Mandi),Black Gram (Whole),Pulses,30.00,3000,3750,3375,01 Jan 2010
Jharkhand,Deogarh,Madhupur,Other,Pulses,40.00,3200,3300,3280,01 Jan 2010
Jharkhand,Gumla,Gumla,Other,Pulses,2.00,3400,3500,3450,01 Jan 2010
Karnataka,Davangere,Davangere,FQ(Burma),Pulses,14.00,7900,8100,8000,01 Jan 2010
Karnataka,Gulbarga,Gulbarga,Black Gram (Whole),Pulses,4.00,2500,4500,3000,01 Jan 2010
Karnataka,Hassan,Hassan,FQ(Burma),Pulses,1.00,6300,7700,7000,01 Jan 2010
Karnataka,Shimoga,Shimoga,FQ(Burma),Pulses,1.00,8000,8500,8400,01 Jan 2010
Kerala,Alappuzha,Alappuzha,Other,Pulses,3.00,6500,8200,7350,01 Jan 2010
Kerala,Alappuzha,Cherthala,Other,Pulses,6.00,8200,8400,8300,01 Jan 2010
Kerala,Kollam,Kollam,Other,Pulses,2.00,9100,9300,9200,01 Jan 2010
Kerala,Thiruvananthapuram,Chala,Black Gram (Whole),Pulses,10.00,7100,7200,7100,01 Jan 2010
Kerala,Thiruvananthapuram,Chala,Other,Pulses,10.00,7250,8400,7500,01 Jan 2010
Madhya Pradesh,Ashoknagar,Ashoknagar,Desi,Pulses,24.10,1800,2300,2210,01 Jan 2010
Madhya Pradesh,Betul,Betul,Desi,Pulses,0.10,4201,4201,4201,01 Jan 2010
Madhya Pradesh,Indore,Gautampura,Desi,Pulses,3.10,1805,2200,2000,01 Jan 2010
Madhya Pradesh,Jabalpur,Jabalpur,Other,Pulses,39.30,1815,2200,2175,01 Jan 2010
Madhya Pradesh,Khandwa,Khandwa,Desi,Pulses,0.02,4600,4600,4600,01 Jan 2010
Madhya Pradesh,Khargone,Bhikangaon,Other,Pulses,4.00,4300,4500,4400,01 Jan 2010
Madhya Pradesh,Narsinghpur,Gadarwada,Desi,Pulses,0.20,3051,3325,3188,01 Jan 2010
Madhya Pradesh,Narsinghpur,Narsinghpur,Other,Pulses,1.80,3304,3670,3670,01 Jan 2010
Madhya Pradesh,Rajgarh,Khilchipur,Other,Pulses,0.30,4805,4880,4850,01 Jan 2010
Madhya Pradesh,Rajgarh,Kurawar,Desi,Pulses,8.27,2000,4700,2200,01 Jan 2010
Madhya Pradesh,Rewa,Rewa,Other,Pulses,1.10,3350,3890,3641,01 Jan 2010
