Haryana,Ambala,Ambala City,Other,Pulses,3.80,1000,1400,1200,01 Jan 2010
Haryana,Ambala,Naraingarh,Other,Pulses,7.30,1000,1400,1200,01 Jan 2010
Haryana,Hissar,Uklana,Green Peas,Pulses,1.30,1200,1400,1300,01 Jan 2010
Karnataka,Bangalore,Bangalore,Green Peas,Pulses,17.00,2000,3400,2700,01 Jan 2010
Karnataka,Davangere,Davangere,Green Peas,Pulses,5.00,1800,2000,1900,01 Jan 2010
Karnataka,Hassan,Hassan,Green Peas,Pulses,6.00,2100,2300,2200,01 Jan 2010
Kerala,Kollam,Kollam,Green Peas,Pulses,0.80,2700,2900,2800,01 Jan 2010
Madhya Pradesh,Damoh,Damoh,Other,Pulses,10.00,2519,2788,2601,01 Jan 2010
Madhya Pradesh,Gwalior,Lashkar,Green Peas,Pulses,51.10,1000,1400,1200,01 Jan 2010
Madhya Pradesh,Hoshangabad,Pipariya,Other,Pulses,0.40,1760,2251,2251,01 Jan 2010
Maharashtra,Kolhapur,Kolhapur(Laxmipuri),Other,Pulses,18.70,1900,3000,2800,01 Jan 2010
Maharashtra,Sangli,Sangli,Other,Pulses,4.50,1750,2800,2275,01 Jan 2010
Punjab,Jalandhar,Shahkot,Other,Pulses,5.00,1200,1600,1400,01 Jan 2010
Rajasthan,Jalore,Jalore,Other,Pulses,4.00,2000,2500,2300,01 Jan 2010
Rajasthan,Kota,Kota,Other,Pulses,0.50,1525,1525,1525,01 Jan 2010
Uttar Pradesh,Raebarelli,Raibareilly,Other,Pulses,10.00,1450,1500,1480,01 Jan 2010
Uttar Pradesh,Sultanpur,Sultanpur,Other,Pulses,7.00,1500,1650,1600,01 Jan 2010
Uttrakhand,Nanital,Haldwani,Other,Pulses,1.00,1150,1350,1220,01 Jan 2010
Assam,Cachar,Cachar,Other,Pulses,20.00,1900,2150,2100,02 Jan 2010
Gujarat,Dahod,Dahod,Other,Pulses,0.20,1550,2450,2100,02 Jan 2010
Haryana,Ambala,Ambala City,Other,Pulses,3.00,1000,1400,1200,02 Jan 2010
Haryana,Ambala,Naraingarh,Other,Pulses,7.20,1000,1400,1200,02 Jan 2010
Haryana,Ambala,Shahzadpur,Other,Pulses,1.84,1100,1300,1100,02 Jan 2010
Haryana,Hissar,Uklana,Green Peas,Pulses,0.90,1500,1500,1500,02 Jan 2010
Karnataka,Bangalore,Bangalore,Green Peas,Pulses,12.00,2000,3400,2700,02 Jan 2010
Madhya Pradesh,Damoh,Damoh,Other,Pulses,4.00,2500,2800,2735,02 Jan 2010
Madhya Pradesh,Gwalior,Lashkar,Green Peas,Pulses,47.60,900,1100,1000,02 Jan 2010
Maharashtra,Aurangabad,Aurangabad,Other,Pulses,6.60,1200,1400,1300,02 Jan 2010
Maharashtra,Kolhapur,Kolhapur(Laxmipuri),Other,Pulses,9.90,1900,3000,2800,02 Jan 2010
Maharashtra,Pune,Pune,Other,Pulses,14.60,1750,2500,2125,02 Jan 2010
Maharashtra,Satara,Satara,Other,Pulses,2.00,2000,2300,2150,02 Jan 2010
Maharashtra,Sholapur,Solapur,Other,Pulses,0.10,2650,2650,2650,02 Jan 2010
Punjab,Jalandhar,Shahkot,Other,Pulses,4.00,1500,1700,1600,02 Jan 2010
Rajasthan,Kota,Kota (FV),Other,Pulses,31.00,1000,1450,1225,02 Jan 2010
Telangana,Hyderabad,Gudimalkapur,Green Peas,Pulses,2.00,1400,1800,1600,02 Jan 2010
Uttar Pradesh,Raebarelli,Raibareilly,Other,Pulses,12.00,1450,1500,1480,02 Jan 2010
Haryana,Ambala,Ambala City,Other,Pulses,3.50,1000,1300,1150,03 Jan 2010
Haryana,Hissar,Uklana,Green Peas,Pulses,0.65,1300,1500,1500,03 Jan 2010
Madhya Pradesh,Bhind,Bhind,Other,Pulses,5.90,5700,5870,5800,03 Jan 2010
Madhya Pradesh,Gwalior,Lashkar,Green Peas,Pulses,33.00,900,1100,1000,03 Jan 2010
Maharashtra,Aurangabad,Aurangabad,Other,Pulses,3.80,1400,1600,1500,03 Jan 2010
Maharashtra,Pune,Junnar(Otur),Other,Pulses,4.70,1900,2600,2100,03 Jan 2010
Maharashtra,Satara,Satara,Other,Pulses,3.60,1400,1800,1600,03 Jan 2010
Punjab,Jalandhar,Shahkot,Other,Pulses,2.00,1500,1500,1500,03 Jan 2010
Rajasthan,Kota,Kota (FV),Other,Pulses,33.50,1000,1600,1300,03 Jan 2010
Telangana,Hyderabad,Gudimalkapur,Green Peas,Pulses,1.00,1400,2000,1600,03 Jan 2010
Uttar Pradesh,Raebarelli,Raibareilly,Other,Pulses,10.00,1450,1500,1480,03 Jan 2010
Uttrakhand,UdhamSinghNagar,Kicchha,Green Peas,Pulses,6.30,1000,1200,1200,03 Jan 2010
Assam,Cachar,Cachar,Other,Pulses,10.00,1900,2150,2100,04 Jan 2010
Haryana,Ambala,Naraingarh,Other,Pulses,7.50,1100,1500,1300,04 Jan 2010
