,0
0,2921.7979173270046
1,2898.3032704848742
2,2894.373039583318
3,2887.3886427562775
4,2859.3383003496097
5,2871.6782271486977
6,2911.0355836035155
7,2925.1780867626817
8,2919.0072500734072
9,2904.386548025329
10,2869.281967930817
11,2825.2618709302124
12,2829.4996930081434
13,2830.6283056889283
14,2835.857610825999
15,2840.527776733551
16,2858.0370509523955
17,2855.7613199393145
18,2852.450253387696
19,2887.9774246237007
20,2896.44446480529
21,2898.211190290907
22,2883.3268866614785
23,2862.3436416698414
24,2849.243617512393
25,2852.615767623249
26,2859.6507305789273
27,2879.07603165366
28,2892.5974380747452
29,3070.108714005023
30,3021.3248723260526
31,2985.902881234457
32,2940.5903575545985
33,2912.2538170437942
34,2911.3011105502546
35,2920.0009031958607
36,2920.778026542239
37,2924.44138224865
38,2911.384411406004
39,2895.4627919089426
40,2905.2693379688208
41,2910.4630050979817
42,2932.3906767455087
43,2939.4784227434816
44,2920.5645855365756
45,2885.831637320621
46,2885.308117575124
47,2883.7983959778267
48,2926.4018440652126
49,2937.7199298359155
50,2944.488812959372
51,2928.620237729196
52,2894.3531422481014
53,2900.8688995519183
54,2923.401227912917
55,2923.7290577196654
56,2923.7369577259633
57,2911.188459139407
58,2886.865425622587
59,2870.3172044306284
60,2850.3785374913205
61,2880.6722346151078
62,2898.6471011645403
63,2891.3009146933605
64,2995.6844338375417
65,3007.548671379686
66,2911.604845132554
67,2811.3759852595736
68,2837.5852129600553
69,2860.34199467337
70,2889.4543099431125
71,2896.404598842267
72,2888.7722548243255
73,2868.4491877624296
74,2851.633375747587
75,2856.331204349844
76,2874.029185758983
77,2873.356035227696
78,2844.8664168196874
79,2829.700011637436
80,2790.0649077008215
81,2699.7695130739344
82,2855.598995220909
83,2879.921130930676
84,2895.2347551434464
85,2882.6344389561427
86,2863.1816481718324
87,2850.3034582500254
88,2869.0812713349937
89,2871.334150823252
90,2947.429059597321
91,2943.5177603757597
92,2933.167267918258
93,2938.4997603547113
94,2922.6258989449893
95,2908.869884414037
96,2919.4503499415646
97,2931.61820380383
98,2942.3509731818635
99,2937.182395088806
100,2961.703661096096
101,2964.880247985442
102,2959.979917880308
103,2969.996222385736
104,2993.8552337504348
105,3004.342699021394
106,2973.6707194642395
107,3008.5048676491547
108,2896.4857310518696
109,2867.966529859636
110,2898.468460469727
111,2896.2664542134803
112,2916.621929361085
113,2937.6283603582942
114,2936.971084139279
115,3123.0658069655087
116,3038.9138216074007
117,2969.774193592049
118,2925.494055818713
119,2906.6040382219135
120,2932.8624750010467
121,2911.7122132173567
122,2803.7461300170025
123,2831.3295865252403
124,2861.866503166813
125,2893.0024011760597
126,2925.6164901999246
127,3034.8933041401624
128,3019.1011686836787
129,2945.4076847904607
130,2879.3454489712226
131,2912.015227397378
132,2939.9862905969603
133,2961.3017809345724
134,2959.243655607199
135,2943.2464505610856
136,3057.997896141413
137,3032.836989825137
138,2987.7721192721874
139,2964.3187911081286
140,2995.355575225044
141,3009.8305156078536
