year,price
2014-06-05,3560.0
2014-06-06,3506.6666666666665
2014-06-07,3437.5
2014-06-08,3425.0
2014-06-09,3425.0
2014-06-10,3500.0
2014-06-11,3350.0
2014-06-12,3666.2
2014-06-13,3210.0
2014-06-14,3559.285714285714
2014-06-15,3450.0
2014-06-16,3184.0
2014-06-17,2902.0
2014-06-18,3433.3333333333335
2014-06-19,3208.4
2014-06-20,3695.0
2014-06-21,3475.0
2014-06-23,3246.0
2014-06-24,3750.0
2014-06-25,3457.5
2014-06-26,4025.0
2014-06-27,3607.5
2014-06-28,3570.3333333333335
2014-06-29,3265.0
2014-06-30,3512.5
2014-07-01,5476.0
2014-07-02,4448.75
2014-07-03,4492.285714285715
2014-07-04,3556.0
2014-07-05,4503.714285714285
2014-07-07,4775.857142857143
2014-07-08,3560.0
2014-07-09,3531.6666666666665
2014-07-10,3051.875
2014-07-11,6196.25
2014-07-12,5300.0
2014-07-13,1600.0
2014-07-14,4387.625
2014-07-15,4790.0
2014-07-16,4342.857142857143
2014-07-17,3005.0
2014-07-18,4077.777777777778
2014-07-19,4310.166666666667
2014-07-20,1600.0
2014-07-21,2816.1
2014-07-22,4313.333333333333
2014-07-23,2936.0
2014-07-24,4101.714285714285
2014-07-25,4190.142857142857
2014-07-26,3170.0
2014-07-28,3345.0
2014-07-29,3400.0
2014-07-30,4726.166666666667
2014-07-31,4976.0
2014-08-01,4254.285714285715
2014-08-02,4128.571428571428
2014-08-03,2050.0
2014-08-04,2854.285714285714
2014-08-05,4088.3333333333335
2014-08-06,3990.0
2014-08-07,3072.5
2014-08-08,3005.0
2014-08-09,4225.0
2014-08-10,1600.0
2014-08-11,4470.0
2014-08-12,4587.5
2014-08-13,2670.0
2014-08-14,2498.6
2014-08-16,3000.0
2014-08-18,3850.0
2014-08-19,3456.0
2014-08-20,3257.5
2014-08-21,5537.5
2014-08-22,6900.0
2014-08-23,4987.5
2014-08-25,4621.666666666667
2014-08-26,4343.333333333333
2014-08-27,4130.833333333333
2014-08-28,3012.5
2014-08-29,1600.0
2014-08-30,2773.0
2014-08-31,2451.6666666666665
2014-09-01,2892.777777777778
2014-09-02,2820.0
2014-09-03,3096.0
2014-09-04,3163.4
2014-09-05,2383.3333333333335
2014-09-06,2961.0
2014-09-07,1807.5
2014-09-08,2820.0
2014-09-09,2825.0
2014-09-10,2748.3333333333335
2014-09-11,3101.8333333333335
2014-09-12,2232.6666666666665
2014-09-13,2909.0
2014-09-14,2366.5
2014-09-15,2495.0
2014-09-16,2783.3333333333335
2014-09-17,2913.0
2014-09-18,3350.8333333333335
2014-09-19,2700.0
