year,price
2008-01-08,1000.0
2008-01-17,1000.0
2008-01-20,1000.0
2008-01-29,900.0
2008-02-03,1000.0
2008-02-07,1000.0
2008-02-12,1010.0
2008-02-24,1550.0
2008-03-10,1000.0
2008-03-11,1000.0
2008-04-07,1000.0
2008-04-15,1300.0
2008-05-16,1100.0
2008-05-19,2300.0
2008-05-24,1100.0
2008-05-29,700.0
2008-06-03,1200.0
2008-06-14,1200.0
2008-07-04,1400.0
2008-07-19,1400.0
2008-07-24,1200.0
2008-08-03,1400.0
2008-08-04,1400.0
2008-08-16,1400.0
2008-08-21,1400.0
2008-08-25,4500.0
2008-09-07,1300.0
2008-09-11,1400.0
2008-09-20,1200.0
2008-09-22,1200.0
2008-09-25,1200.0
2008-10-10,1200.0
2008-10-14,1200.0
2008-10-27,1200.0
2008-10-30,1100.0
2008-11-08,1200.0
2008-11-16,1000.0
2008-11-20,1000.0
2008-11-23,1000.0
2008-11-27,1000.0
2008-11-28,950.0
2008-12-09,1200.0
2008-12-12,1651.0
2008-12-18,1200.0
2008-12-22,1200.0
2008-12-29,950.0
2009-01-09,1200.0
2009-01-16,1200.0
2009-01-30,1000.0
2009-02-14,1000.0
2009-02-19,1000.0
2009-02-24,1000.0
2009-02-26,1000.0
2009-02-28,1000.0
2009-03-06,900.0
2009-03-20,1100.0
2009-03-23,1100.0
2009-04-21,1200.0
2009-04-30,1200.0
2009-05-09,2200.0
2009-05-16,1150.0
2009-05-25,1400.0
2009-05-30,1200.0
2009-06-05,1750.0
2009-06-11,1400.0
2009-06-12,1400.0
2009-06-18,1400.0
2009-06-28,1400.0
2009-06-29,1600.0
2009-07-05,3900.0
2009-07-09,1500.0
2009-07-12,2700.0
2009-07-16,2650.0
2009-07-26,1400.0
2009-08-13,1500.0
2009-08-23,1500.0
2009-08-25,1500.0
2009-09-13,1600.0
2009-09-15,1660.0
2009-09-19,1200.0
2009-09-25,4000.0
2009-09-27,1500.0
2009-09-29,1500.0
2009-10-06,1400.0
2009-10-09,1500.0
2009-10-20,1500.0
2009-10-27,1625.0
2009-10-29,1500.0
2009-10-30,1600.0
2009-11-07,1600.0
2009-11-19,1600.0
2009-11-22,1600.0
2009-11-27,1600.0
2009-11-29,1600.0
2009-12-07,1500.0
2009-12-12,1600.0
2009-12-21,1600.0
2009-12-24,1600.0
2009-12-26,1600.0
2010-01-11,1600.0
2010-01-12,1500.0
2010-01-19,1600.0
2010-01-28,1600.0
2010-02-06,1500.0
2010-02-20,1500.0
2010-02-21,1400.0
2010-02-22,1500.0
2010-02-25,1500.0
2010-03-05,1500.0
2010-03-06,2500.0
2010-03-16,1500.0
2010-03-22,1400.0
2010-03-25,1400.0
2010-04-08,1400.0
2010-04-17,2068.0
2010-04-20,1500.0
2010-04-22,1300.0
2010-05-06,1600.0
2010-05-16,1600.0
2010-05-21,1100.0
2010-05-22,1500.0
2010-05-27,1500.0
2010-06-06,1600.0
2010-06-10,1600.0
2010-06-20,1500.0
2010-06-27,1600.0
2010-07-17,1600.0
2010-08-16,1500.0
2010-08-19,1600.0
2010-08-20,1500.0
2010-08-26,1600.0
2010-08-30,1900.0
2010-08-31,1566.5
2010-09-03,1300.0
2010-09-04,1600.0
2010-09-05,1300.0
2010-09-06,1300.0
2010-09-13,1600.0
2010-09-20,1500.0
2010-09-25,1500.0
2010-09-27,1500.0
2010-10-08,1600.0
2010-10-18,1600.0
2010-10-23,1400.0
2010-10-28,1500.0
2010-10-29,1500.0
2010-11-08,1500.0
2010-11-18,1600.0
2010-11-20,1500.0
2010-11-25,1400.0
2010-11-29,1500.0
2010-11-30,2800.0
2010-12-06,3600.0
2010-12-07,1500.0
2010-12-16,1500.0
2010-12-20,1400.0
2010-12-26,1400.0
2010-12-27,1400.0
2011-01-06,1400.0
2011-01-07,1500.0
2011-01-15,1450.0
2011-01-22,1400.0
2011-01-31,1400.0
2011-02-08,1500.0
2011-02-15,1400.0
2011-02-21,2190.0
2011-02-22,1400.0
2011-02-26,1500.0
2011-03-06,1500.0
2011-03-10,1400.0
2011-03-22,1400.0
2011-03-29,1500.0
2011-04-07,1650.0
2011-04-09,2175.0
2011-04-21,1500.0
2011-04-28,1400.0
2011-04-29,1400.0
2011-04-30,3000.0
2011-05-05,4000.0
2011-05-13,1400.0
2011-05-22,1400.0
2011-05-26,1500.0
2011-06-18,1500.0
2011-06-24,1400.0
2011-06-25,1500.0
2011-07-05,1700.0
2011-07-11,1500.0
2011-07-15,1800.0
2011-07-18,1500.0
2011-07-29,1200.0
2011-08-16,1800.0
2011-08-23,1600.0
2011-08-27,1650.0
2011-08-28,1700.0
2011-09-11,1600.0
2011-09-12,1600.0
2011-09-23,1620.0
2011-09-24,1500.0
2011-09-26,1700.0
2011-10-14,1600.0
2011-10-17,1600.0
2011-10-22,1500.0
2011-10-29,1600.0
2011-10-30,1700.0
2011-11-12,1600.0
2011-11-18,1600.0
2011-11-25,1600.0
2011-11-26,1600.0
2011-11-27,1700.0
2011-12-15,1500.0
2011-12-19,1700.0
2011-12-22,1700.0
2011-12-25,1600.0
2012-01-12,1700.0
2012-01-17,1500.0
2012-01-21,1500.0
2012-01-22,1500.0
2012-01-29,1500.0
2012-01-30,1500.0
2012-02-09,1500.0
2012-02-16,1500.0
2012-02-21,1400.0
2012-02-27,1500.0
2012-03-10,1500.0
2012-03-15,1500.0
2012-03-23,1600.0
2012-03-26,1600.0
2012-04-08,1500.0
2012-04-19,1600.0
2012-04-20,1500.0
2012-04-27,1500.0
2012-05-01,2180.0
2012-05-13,1600.0
2012-05-24,1600.0
2012-05-28,1600.0
2012-06-09,1600.0
2012-06-19,1500.0
2012-06-26,1600.0
2012-06-29,1500.0
2012-07-06,1600.0
2012-07-09,1600.0
2012-07-15,1600.0
2012-07-22,3000.0
2012-07-26,1600.0
2012-07-28,1600.0
2012-08-06,1600.0
2012-08-16,2100.0
2012-08-20,1600.0
2012-08-25,1600.0
2012-08-28,1600.0
2012-09-09,1600.0
2012-09-17,1700.0
2012-09-24,1700.0
2012-09-29,1600.0
2012-10-12,1700.0
2012-10-18,1700.0
2012-10-25,1700.0
2012-10-26,1550.0
2012-10-27,1600.0
2012-10-30,1600.0
2012-11-04,2075.0
2012-11-16,1700.0
2012-11-22,1600.0
2012-11-26,1700.0
2012-11-27,1600.0
2012-11-29,1600.0
2012-12-10,1600.0
2012-12-16,1700.0
2012-12-20,1600.0
2012-12-24,1700.0
2013-01-08,1700.0
2013-01-17,1700.0
2013-01-20,1700.0
2013-01-24,1600.0
2013-01-31,1700.0
2013-02-08,1600.0
2013-02-14,1700.0
2013-02-18,1600.0
2013-02-24,1700.0
2013-03-01,2450.0
2013-03-03,1700.0
2013-03-30,1700.0
2013-04-05,2390.0
2013-04-13,1700.0
2013-04-18,1700.0
2013-04-22,1800.0
2013-05-10,1800.0
2013-05-23,1800.0
2013-05-24,1800.0
2013-06-06,5398.0
2013-06-07,1800.0
2013-06-23,1800.0
2013-06-29,1800.0
2013-07-02,5700.0
2013-07-07,1800.0
2013-07-18,1800.0
2013-07-22,4000.0
2013-07-25,1800.0
2013-07-28,1600.0
2013-08-06,1800.0
2013-11-09,2000.0
2013-11-17,2000.0
2013-11-22,2000.0
2013-11-23,2000.0
2013-11-28,1900.0
2013-11-29,2000.0
2013-12-19,2000.0
2013-12-23,2000.0
2013-12-26,2000.0
2013-12-29,2000.0
2014-01-16,2000.0
2014-01-17,2200.0
2014-01-19,2100.0
2014-01-23,1800.0
2014-01-27,2000.0
2014-01-30,1825.0
2014-02-09,2000.0
2014-02-13,2000.0
2014-02-16,2000.0
2014-02-20,2000.0
2014-02-24,2000.0
2014-03-08,2100.0
2014-03-21,2000.0
2014-03-22,2000.0
2014-03-25,2000.0
2014-04-17,2000.0
2014-04-21,2000.0
2014-04-22,2000.0
2014-04-24,2000.0
2014-05-17,2100.0
2014-05-18,2000.0
2014-05-23,2000.0
2014-05-27,2000.0
2014-06-19,2100.0
2014-06-27,2000.0
2014-09-26,2000.0
2014-09-27,2100.0
2014-09-29,2000.0
2014-10-07,2000.0
2014-10-16,2000.0
2014-10-19,2000.0
2014-10-25,2000.0
2014-10-26,2000.0
2014-10-28,2100.0
2014-10-30,2000.0
2014-11-07,2000.0
2014-11-08,2000.0
2014-11-17,2000.0
2014-11-21,2000.0
2014-11-24,2100.0
2014-11-30,2000.0
2014-12-14,2000.0
2014-12-20,2000.0
2014-12-22,2000.0
2014-12-26,1875.0
2014-12-27,2000.0
2015-01-15,2000.0
2015-01-18,2000.0
2015-01-23,2000.0
2015-01-27,1900.0
2015-02-02,2200.0
2015-02-22,2100.0
2015-02-26,2000.0
2015-03-14,3500.0
2015-03-16,2100.0
2015-03-20,2000.0
2015-03-22,1900.0
2015-03-26,2000.0
2015-04-05,2400.0
2015-04-16,2000.0
2015-04-18,2000.0
2015-04-20,2000.0
2015-04-24,1900.0
2015-04-26,2000.0
2015-05-14,1900.0
2015-05-18,2000.0
2015-05-19,2000.0
2015-05-23,2000.0
2015-05-28,2000.0
2015-06-18,2000.0
2015-06-26,2100.0
2015-06-30,2000.0
2015-07-12,1800.0
2015-07-26,1800.0
2015-08-20,1800.0
2015-08-22,1800.0
2015-08-27,1800.0
2015-08-28,2000.0
2015-09-19,1800.0
2015-09-21,2000.0
2015-09-25,2000.0
2015-09-27,1725.0
2015-10-06,2000.0
2015-10-15,1800.0
2015-10-19,2000.0
2015-10-29,1710.0
2015-11-14,1800.0
2015-11-19,1800.0
2015-11-21,1800.0
2015-11-23,2000.0
2015-11-26,1800.0
2015-12-04,2000.0
2015-12-13,2540.0
2015-12-19,2000.0
2015-12-20,2100.0
2015-12-28,1720.0
2015-12-29,2000.0
2016-01-15,2000.0
2016-01-19,1900.0
2016-01-21,1800.0
2016-02-13,2000.0
2016-02-15,2000.0
2016-02-16,2000.0
2016-02-27,1900.0
