year,price
2012-11-21,1475.0
2012-11-24,1460.0
2012-11-25,1450.0
2012-11-26,1450.0
2012-11-27,1450.0
2012-11-30,1460.0
2012-12-01,1450.0
2012-12-02,1450.0
2012-12-03,1450.0
2012-12-04,1460.0
2012-12-05,1425.0
2012-12-07,1440.0
2012-12-08,1440.0
2012-12-09,1430.0
2012-12-10,1430.0
2012-12-11,1425.0
2012-12-12,1415.0
2012-12-14,1430.0
2012-12-15,1420.0
2012-12-16,1415.0
2012-12-17,1410.0
2012-12-18,1400.0
2012-12-19,1400.0
2012-12-21,1410.0
2012-12-22,1400.0
2012-12-23,1390.0
2012-12-24,1385.0
2012-12-25,1380.0
2012-12-26,1350.0
2012-12-28,1380.0
2012-12-29,1385.0
2012-12-30,1390.0
2012-12-31,1380.0
2013-01-01,1385.0
2013-01-02,2348.75
2013-01-04,1380.0
2013-01-05,1390.0
2013-01-06,1400.0
2013-01-07,1400.0
2013-01-08,1390.0
2013-01-09,1400.0
2013-01-11,1410.0
2013-01-12,1415.0
2013-01-13,1410.0
2013-01-14,1410.0
2013-01-15,1420.0
2013-01-16,1420.0
2013-01-18,1400.0
2013-01-19,1390.0
2013-01-20,1385.0
2013-01-21,1380.0
2013-01-22,1385.0
2013-01-23,1380.0
2013-01-25,1380.0
2013-01-27,1360.0
2013-01-28,1370.0
2013-01-29,1380.0
2013-01-30,1385.0
2013-02-01,1380.0
2013-02-02,1385.0
2013-02-03,1400.0
2013-02-04,1400.0
2013-02-05,1410.0
2013-02-06,1400.0
2013-02-08,1410.0
2013-02-09,1415.0
2013-02-10,1400.0
2013-02-11,1415.0
2013-02-12,1410.0
2013-02-13,1400.0
2013-02-15,1415.0
2013-02-16,1410.0
2013-02-17,1415.0
2013-02-18,1410.0
2013-02-19,1410.0
2013-02-20,1400.0
2013-02-22,1410.0
2013-02-23,1415.0
2013-02-24,1400.0
2013-02-25,1400.0
2013-02-26,1415.0
2013-02-27,1425.0
2013-03-01,1435.0
2013-03-02,1440.0
2013-03-03,1445.0
2013-03-04,1440.0
2013-03-05,1445.0
2013-03-06,1450.0
2013-03-08,1460.0
2013-03-09,1465.0
2013-03-10,1460.0
2013-03-11,1465.0
2013-03-12,1460.0
2013-03-13,1470.0
2013-03-15,1475.0
2013-03-16,1125.0
2013-03-17,1475.0
2013-03-18,1480.0
2013-03-19,1490.0
2013-03-20,1510.0
2013-03-22,1520.0
2013-03-23,1525.0
2013-03-24,1520.0
2013-03-25,1530.0
2013-03-26,1525.0
2013-03-29,1525.0
2013-03-30,1540.0
2013-03-31,1550.0
2013-04-01,1545.0
2013-04-02,1550.0
2013-04-03,1545.0
2013-04-05,1560.0
2013-04-06,1565.0
2013-04-07,1560.0
2013-04-08,1570.0
2013-04-09,1575.0
2013-04-10,1570.0
2013-04-12,1575.0
2013-04-13,1570.0
2013-04-14,1575.0
2013-04-15,1580.0
2013-04-16,1575.0
2013-04-17,1270.0
2013-04-19,1280.0
2013-04-20,1570.0
2013-04-21,1575.0
2013-04-22,1585.0
2013-04-23,1575.0
2013-04-24,1580.0
2013-04-26,1590.0
2013-04-27,1585.0
2013-04-28,1580.0
2013-04-29,1585.0
2013-04-30,1727.5
2013-05-01,1385.0
2013-05-03,1585.0
2013-05-04,1580.0
2013-05-05,1585.0
2013-05-06,1590.0
2013-05-07,1585.0
2013-05-08,1580.0
2013-05-10,1580.0
2013-05-11,1585.0
2013-05-12,1590.0
2013-05-13,1580.0
2013-05-14,1575.0
2013-05-15,1580.0
2013-05-17,1585.0
2013-05-18,1590.0
2013-05-19,1580.0
2013-05-20,1575.0
2013-05-21,1580.0
2013-05-22,1585.0
2013-05-24,1590.0
2013-05-28,1600.0
2013-05-29,1600.0
2013-05-30,1875.0
2013-05-31,1605.0
2013-06-01,1610.0
2013-06-02,1600.0
2013-06-03,1610.0
2013-06-04,1600.0
2013-06-05,1610.0
2013-06-07,1615.0
2013-06-08,1610.0
2013-06-09,1615.0
2013-06-10,1615.0
2013-06-11,1615.0
2013-06-12,1620.0
2013-06-14,1625.0
2013-06-15,1630.0
2013-06-17,1620.0
2013-06-18,1720.0
2013-06-19,1730.0
2013-06-21,1725.0
2013-06-22,1720.0
2013-06-23,1750.0
2013-06-24,1740.0
2013-06-25,1800.0
2013-06-26,1830.0
2013-06-28,1840.0
2013-06-29,1855.0
2013-07-01,1830.0
2013-07-02,1820.0
2013-07-03,1810.0
2013-07-05,1800.0
2013-07-06,1790.0
2013-07-07,1810.0
2013-07-09,1830.0
2013-07-10,1835.0
2013-07-12,1825.0
2013-07-13,1800.0
2013-07-14,1800.0
2013-07-15,1800.0
2013-07-16,1805.0
2013-07-17,1800.0
2013-07-19,1810.0
2013-07-20,1820.0
2013-07-21,1820.0
2013-07-22,1815.0
2013-07-23,1820.0
2013-07-24,1810.0
2013-07-26,1820.0
2013-07-27,1830.0
2013-07-28,1835.0
2013-07-29,1870.0
2013-07-30,1835.0
2013-07-31,1840.0
2013-08-02,1840.0
2013-08-03,1845.0
2013-08-04,1840.0
2013-08-05,1840.0
2013-08-06,1840.0
2013-08-07,1845.0
2013-08-09,1840.0
2013-08-10,1845.0
2013-08-11,1850.0
2013-08-12,1855.0
2013-08-13,1860.0
2013-08-14,1865.0
2013-08-16,1860.0
2013-08-17,1870.0
2013-08-18,1875.0
2013-08-19,1880.0
2013-08-20,1900.0
2013-08-21,1930.0
2013-08-23,1910.0
2013-08-24,1930.0
2013-08-25,1920.0
2013-08-26,1910.0
2013-08-27,1920.0
2013-08-28,1930.0
2013-08-29,1920.0
2013-08-30,1940.0
2013-08-31,1950.0
2013-09-01,1955.0
2013-09-02,1960.0
2013-09-03,1970.0
2013-09-04,1950.0
2013-09-06,1940.0
2013-09-07,1945.0
2013-09-08,1940.0
2013-09-09,1950.0
2013-09-10,1955.0
2013-09-11,1950.0
2013-09-13,1960.0
2013-09-14,1965.0
2013-09-15,1970.0
2013-09-16,1965.0
2013-09-17,1970.0
2013-09-18,1975.0
2013-09-20,1970.0
2013-09-21,1975.0
2013-09-22,1970.0
2013-09-23,1980.0
2013-09-24,1960.0
2013-09-25,1965.0
2013-09-27,1970.0
2013-09-28,1980.0
2013-09-29,1985.0
2013-09-30,1975.0
2013-10-01,1990.0
2013-10-02,1960.0
2013-10-04,1980.0
2013-10-05,1985.0
2013-10-06,1970.0
2013-10-07,1975.0
2013-10-08,1980.0
2013-10-09,1950.0
2013-10-11,1880.0
2013-10-12,1860.0
2013-10-13,1855.0
2013-10-14,1850.0
2013-10-15,1840.0
2013-10-16,1860.0
2013-10-18,1865.0
2013-10-19,1840.0
2013-10-20,1830.0
2013-10-21,1800.0
2013-10-22,1810.0
2013-10-23,1815.0
2013-10-25,1800.0
2013-10-26,1790.0
2013-10-27,1785.0
2013-10-28,1780.0
2013-10-29,1795.0
2013-10-30,1790.0
2013-11-01,1800.0
2013-11-02,1810.0
2013-11-03,1800.0
2013-11-05,1810.0
2013-11-06,1800.0
2013-11-08,1815.0
2013-11-09,1810.0
2013-11-10,1805.0
2013-11-11,1800.0
2013-11-12,1790.0
2013-11-13,1795.0
2013-11-15,1800.0
2013-11-16,1790.0
2013-11-18,1785.0
2013-11-19,2900.0
2013-11-20,1785.0
2013-11-22,1790.0
2013-11-23,1785.0
2013-11-24,1790.0
2013-11-25,1800.0
2013-11-26,1810.0
2013-11-27,1820.0
2013-11-29,1825.0
2013-11-30,1830.0
2013-12-01,1830.0
2013-12-02,1835.0
2013-12-03,1800.0
2013-12-04,1840.0
2013-12-06,1790.0
2013-12-07,1780.0
2013-12-08,1820.0
2013-12-09,1815.0
2013-12-10,1800.0
2013-12-11,1810.0
2013-12-13,1800.0
2013-12-14,1810.0
2013-12-15,1815.0
2013-12-16,1820.0
2013-12-17,1830.0
2013-12-18,1825.0
2013-12-20,1820.0
2013-12-21,1815.0
2013-12-22,1820.0
2013-12-23,1830.0
2013-12-24,1825.0
2013-12-25,1800.0
2013-12-27,1780.0
2013-12-28,1800.0
2013-12-29,1825.0
2013-12-30,1835.0
2014-01-01,1850.0
2014-01-03,1830.0
2014-01-04,1845.0
2014-01-05,1850.0
2014-01-06,1855.0
2014-01-07,1845.0
2014-01-08,1850.0
2014-01-10,1860.0
2014-01-11,1855.0
2014-01-12,1850.0
2014-01-13,1865.0
2014-01-14,1865.0
2014-01-15,1870.0
2014-01-17,1865.0
2014-01-18,1860.0
2014-01-19,1865.0
2014-01-20,1870.0
2014-01-21,1875.0
2014-01-22,1870.0
2014-01-24,1880.0
2014-01-25,1875.0
2014-01-27,1870.0
2014-01-28,1865.0
2014-01-29,1870.0
2014-02-21,3148.3333333333335
2014-03-28,1980.0
2014-08-27,2070.0
2014-08-28,2080.0
