year,price
2014-02-19,3100.0
2014-02-20,2950.0
2014-02-21,3100.0
2014-02-22,3100.0
2014-02-23,3100.0
2014-02-24,3050.0
2014-02-25,3100.0
2014-02-26,3100.0
2014-02-27,3000.0
2014-02-28,3000.0
2014-03-23,2950.0
2014-03-24,3100.0
2014-03-25,3100.0
2014-03-26,3050.0
2014-03-28,3050.0
2014-03-29,3000.0
2014-03-31,2950.0
2014-04-03,2939.0
2014-04-04,3100.0
2014-04-05,3100.0
2014-04-06,2950.0
2014-04-16,2778.0
2014-04-28,3400.0
2014-04-29,3300.0
2014-04-30,3400.0
2014-05-01,3300.0
2014-05-02,3250.0
2014-05-03,3350.0
2014-05-04,3350.0
2014-05-05,3300.0
2014-05-06,3300.0
2014-05-07,3400.0
2014-05-09,3300.0
2014-05-10,3300.0
2014-05-11,3400.0
2014-05-12,3300.0
2014-05-13,3300.0
2014-05-14,3400.0
2014-05-15,3400.0
2014-05-16,3300.0
2014-05-17,3400.0
2014-05-18,3400.0
2014-05-20,3300.0
2014-05-21,3400.0
2014-05-22,3400.0
2014-05-24,3400.0
2014-05-25,3400.0
2014-05-26,3300.0
2014-05-27,3250.0
2014-05-28,3300.0
2014-05-29,3250.0
2014-05-30,3350.0
2014-06-01,3400.0
2014-06-02,3400.0
2014-06-03,3450.0
2014-06-04,3400.0
2014-06-05,3400.0
2014-06-06,3400.0
2014-06-07,3400.0
2014-06-08,3400.0
2014-06-09,3450.0
2014-06-10,3400.0
2014-06-11,3450.0
2014-06-12,3450.0
2014-06-13,3400.0
2014-06-14,3400.0
2014-06-15,3400.0
2014-06-16,3400.0
2014-06-17,3450.0
2014-06-23,3400.0
2014-06-24,3400.0
2014-06-25,3400.0
2014-06-26,3400.0
2014-06-27,3350.0
2014-06-28,3400.0
2014-06-29,3400.0
2014-06-30,3350.0
2014-07-01,3350.0
2014-07-02,3450.0
2014-07-03,3300.0
2014-07-04,3450.0
2014-07-05,3350.0
2014-07-06,3400.0
2014-07-08,3400.0
2014-07-09,3300.0
2014-07-10,3450.0
2014-07-11,3400.0
2014-07-12,3300.0
2014-07-13,3400.0
2014-07-14,3400.0
2014-07-15,3400.0
2014-07-16,3400.0
2014-07-17,3400.0
2014-07-18,3300.0
2014-07-19,3450.0
2014-07-20,3400.0
2014-07-21,3350.0
2014-07-22,3400.0
2014-07-24,3000.0
2014-07-30,2050.0
2014-08-04,3000.0
2014-08-05,3600.0
2014-08-11,3000.0
2014-09-24,3100.0
2014-10-01,3600.0
2014-10-02,3550.0
2014-10-03,3550.0
2014-10-04,3600.0
2014-10-05,3550.0
2014-10-06,3500.0
2014-10-07,3500.0
2014-10-08,3500.0
2014-10-09,3500.0
2014-10-10,3500.0
2014-10-11,3550.0
2014-10-12,3500.0
2014-10-13,3600.0
2014-10-14,3550.0
2014-10-15,3550.0
2014-10-16,3550.0
2014-10-17,3550.0
2014-10-18,3600.0
2014-10-19,3550.0
2014-10-20,3500.0
2014-10-21,3450.0
2014-10-22,3500.0
2014-10-23,3500.0
2014-10-24,3500.0
2014-10-25,3500.0
2014-11-01,3650.0
2014-11-02,3500.0
2014-11-03,3600.0
2014-11-09,3500.0
2014-11-10,3600.0
2014-11-11,3500.0
2014-11-12,3500.0
2014-11-13,3450.0
2014-11-14,3450.0
2014-11-15,3500.0
2014-11-16,3500.0
2014-11-17,3500.0
2014-11-18,3450.0
2014-11-19,3450.0
2014-11-20,3600.0
2014-11-21,3550.0
2014-11-22,3500.0
2014-11-23,3500.0
2014-11-24,3500.0
2014-11-25,3600.0
2014-11-26,3550.0
2014-11-28,3550.0
2014-11-29,3500.0
2014-12-01,3500.0
2014-12-02,3500.0
2014-12-03,3500.0
2014-12-04,3600.0
2014-12-05,3500.0
2014-12-06,3600.0
2014-12-07,3500.0
2014-12-08,3550.0
2014-12-09,3500.0
2014-12-10,3550.0
2014-12-12,3400.0
2014-12-13,3500.0
2014-12-14,3500.0
2014-12-15,3500.0
2014-12-16,3500.0
2014-12-17,3500.0
2014-12-18,3500.0
2014-12-19,3450.0
2014-12-20,3500.0
2014-12-21,3500.0
2014-12-22,3500.0
2014-12-23,3500.0
2014-12-24,3500.0
2014-12-25,3600.0
2014-12-26,3500.0
2014-12-27,3600.0
2014-12-28,3600.0
2014-12-29,3600.0
2014-12-30,3600.0
2014-12-31,3600.0
2015-01-01,3650.0
2015-01-02,3700.0
2015-01-03,3700.0
2015-01-04,3700.0
2015-01-05,3650.0
2015-01-06,3700.0
2015-01-07,3700.0
2015-01-08,3650.0
2015-01-09,3650.0
2015-01-10,3700.0
2015-01-11,3725.0
2015-01-12,3700.0
2015-01-13,3650.0
2015-01-14,3700.0
2015-01-15,3700.0
2015-01-16,3700.0
2015-01-18,3700.0
2015-01-19,3700.0
2015-01-20,3700.0
2015-01-21,3650.0
2015-01-22,3600.0
2015-01-23,3600.0
2015-01-24,3700.0
2015-01-25,3600.0
2015-01-26,3600.0
2015-01-28,3600.0
2015-01-29,3700.0
2015-01-30,3650.0
2015-01-31,3600.0
2015-02-01,3650.0
2015-02-02,3700.0
2015-02-03,3700.0
2015-02-04,3650.0
2015-02-05,3700.0
2015-02-06,3700.0
2015-02-07,3650.0
2015-02-08,3700.0
2015-02-09,3700.0
2015-02-10,2900.0
2015-02-11,2950.0
2015-02-12,2900.0
2015-02-13,3000.0
2015-02-14,2900.0
2015-02-15,3100.0
2015-02-16,3000.0
2015-02-17,2900.0
2015-02-18,3100.0
2015-02-19,2900.0
2015-02-20,2900.0
2015-02-21,2900.0
2015-02-22,2900.0
2015-02-23,2900.0
2015-02-24,2800.0
2015-02-25,3100.0
2015-02-28,2900.0
2015-03-01,2950.0
2015-03-02,2900.0
2015-03-03,2900.0
2015-03-04,2900.0
2015-03-05,2800.0
2015-03-06,2900.0
2015-03-07,2900.0
2015-03-08,2900.0
2015-03-09,2900.0
2015-03-10,2800.0
2015-03-11,2800.0
2015-03-12,2900.0
2015-03-13,2800.0
2015-03-14,2900.0
2015-03-15,2900.0
2015-03-16,2950.0
2015-03-17,2950.0
2015-03-18,3000.0
2015-03-19,2950.0
2015-03-20,3100.0
2015-03-21,3000.0
2015-03-22,3100.0
2015-03-23,3100.0
2015-03-24,3000.0
2015-03-25,3100.0
2015-03-26,3100.0
2015-03-27,3050.0
2015-03-28,3100.0
2015-03-29,3100.0
2015-03-30,3100.0
2015-03-31,3100.0
2015-04-07,2900.0
2015-05-20,2400.0
2015-05-27,4524.0
2015-06-01,2950.0
2015-06-02,3150.0
2015-06-03,3150.0
2015-06-04,3200.0
2015-06-05,3200.0
2015-06-06,3150.0
2015-06-07,3100.0
2015-06-08,3100.0
2015-06-09,3200.0
2015-06-10,3100.0
2015-06-11,3050.0
2015-06-12,3150.0
2015-06-13,3150.0
2015-06-15,3100.0
2015-06-16,3000.0
2015-06-18,3075.0
2015-06-19,3025.0
2015-06-20,3050.0
2015-06-21,3050.0
2015-06-22,3050.0
2015-06-24,3050.0
2015-06-25,3050.0
2015-06-26,3050.0
2015-06-27,3050.0
2015-06-28,3025.0
2015-06-29,3000.0
2015-06-30,3075.0
2015-07-01,3050.0
2015-07-02,3050.0
2015-07-03,3075.0
2015-07-04,3000.0
2015-07-05,3050.0
2015-07-06,3050.0
2015-07-07,3075.0
2015-07-08,3075.0
2015-07-09,3075.0
2015-07-10,3075.0
2015-07-11,3075.0
2015-07-12,3075.0
2015-07-13,3050.0
2015-07-14,3075.0
2015-07-15,3150.0
2015-07-18,3075.0
2015-07-19,3075.0
2015-07-20,3075.0
2015-07-21,3000.0
2015-07-22,3000.0
2015-07-23,3000.0
2015-07-24,3000.0
2015-07-25,3000.0
2015-07-26,3000.0
2015-07-27,3000.0
2015-07-28,3000.0
2015-07-29,3000.0
2015-07-30,3000.0
2015-07-31,3000.0
2015-08-01,3000.0
2015-08-02,3000.0
2015-08-03,3000.0
2015-08-04,3000.0
2015-08-11,3000.0
2015-08-19,3150.0
2015-12-10,3433.0
2015-12-12,3780.0
2015-12-17,2739.0
2015-12-20,3430.0
2015-12-23,3469.0
2015-12-24,3432.0
2015-12-28,3022.0
2016-01-02,2979.0
2016-01-03,3200.0
2016-01-06,3061.0
2016-01-08,3110.0
2016-01-09,3048.0
2016-01-12,3036.0
2016-01-14,2970.0
2016-01-17,3020.0
2016-01-18,3020.0
2016-01-20,2940.0
2016-01-21,3072.0
2016-01-24,2957.0
2016-01-25,3041.0
2016-01-26,3020.0
2016-01-28,2950.0
2016-01-30,2780.0
2016-02-01,2950.0
2016-02-02,2020.0
2016-02-04,3000.0
2016-02-05,3000.0
2016-02-06,3000.0
2016-02-22,3360.0
2016-04-20,3264.0
2016-05-07,3275.0
2017-06-10,4000.0
