year,price
2008-03-12,900.0
2008-04-19,1625.0
2008-04-21,1640.0
2009-01-16,1191.0
2009-09-17,1382.0
2009-10-01,3075.0
2009-10-02,3125.0
2009-10-03,3100.0
2009-10-04,3125.0
2009-10-05,3150.0
2009-10-06,3100.0
2009-10-07,3075.0
2009-10-08,3150.0
2009-10-09,3125.0
2009-10-10,3125.0
2009-10-11,3150.0
2009-10-12,3125.0
2009-10-13,3100.0
2009-10-14,2650.0
2009-10-15,3100.0
2009-10-16,3175.0
2009-10-17,3125.0
2009-10-18,3075.0
2009-10-19,3000.0
2009-10-20,2775.0
2009-10-21,3100.0
2009-10-22,3150.0
2009-10-23,3125.0
2009-10-24,3125.0
2009-10-25,3125.0
2009-10-26,3125.0
2009-10-27,3125.0
2009-10-28,3150.0
2009-10-29,3100.0
2009-10-30,3075.0
2009-10-31,3150.0
2009-11-01,3150.0
2009-11-02,3150.0
2009-11-03,3150.0
2009-11-04,3175.0
2009-11-05,3125.0
2009-11-06,3150.0
2009-11-07,3150.0
2009-11-08,3150.0
2009-11-09,3100.0
2009-11-10,3075.0
2009-11-11,3100.0
2009-11-12,3150.0
2009-11-13,3150.0
2009-11-14,3200.0
2009-11-15,3350.0
2009-11-16,3200.0
2009-11-17,3200.0
2009-11-19,3200.0
2009-11-24,3200.0
2009-11-25,3150.0
2009-12-01,3150.0
2009-12-02,3150.0
2009-12-03,3150.0
2009-12-04,3175.0
2009-12-11,3250.0
2009-12-14,3150.0
2009-12-18,3175.0
2009-12-19,3175.0
2009-12-20,2000.0
2009-12-21,3175.0
2010-01-03,3100.0
2010-01-05,3200.0
2010-01-06,3150.0
2010-01-07,3125.0
2010-01-08,3050.0
2010-01-09,3150.0
2010-01-10,3150.0
2010-01-11,3150.0
2010-01-12,3125.0
2010-01-16,3125.0
2010-01-17,3100.0
2010-01-18,3150.0
2010-01-19,3100.0
2010-01-20,3100.0
2010-01-22,3100.0
2010-01-23,3200.0
2010-01-27,3150.0
2010-02-01,3200.0
2010-02-02,3200.0
2010-02-03,3150.0
2010-02-04,3075.0
2010-02-05,3125.0
2010-02-06,3175.0
2010-02-08,3125.0
2010-02-09,3200.0
2010-02-10,3175.0
2010-02-11,3175.0
2010-02-16,3175.0
2010-02-18,3200.0
2010-02-19,3150.0
2010-02-20,3150.0
2010-02-23,3125.0
2010-02-24,3200.0
2010-02-25,3150.0
2010-03-08,3200.0
2010-03-11,3175.0
2010-03-12,3150.0
2010-03-15,3175.0
2010-03-17,2450.0
2010-03-18,2425.0
2010-03-25,2400.0
2010-03-26,2425.0
2010-03-29,2400.0
2010-04-03,2400.0
2010-04-07,2425.0
2010-04-12,2425.0
2010-04-16,2400.0
2010-04-20,2400.0
2010-04-21,2400.0
2010-04-22,2400.0
2010-04-24,2400.0
2010-04-30,2400.0
2010-06-17,2450.0
2010-06-18,2425.0
2010-06-19,2425.0
