year,price
2016-04-25,3729.0
2016-04-26,3594.285714285714
2016-04-27,3793.3333333333335
2016-04-28,3698.3333333333335
2016-04-29,3601.0
2016-04-30,3570.0
2016-05-02,3589.1666666666665
2016-05-03,3688.75
2016-05-04,3638.75
2016-05-05,3707.5
2016-05-06,3668.0
2016-05-07,3670.0
2016-05-09,3560.714285714286
2016-05-10,3735.0
2016-05-11,3549.1666666666665
2016-05-12,3631.0
2016-05-13,3662.5
2016-05-14,3771.25
2016-05-16,3566.0
2016-05-17,3585.8333333333335
2016-05-18,4657.0
2016-05-19,3617.0
2016-05-20,4435.0
2016-05-21,3703.3333333333335
2016-05-23,3405.0
2016-05-24,3493.75
2016-05-25,3407.0
2016-05-26,3630.0
2016-05-27,3357.0
2016-05-28,3470.0
2016-05-30,3532.5714285714284
2016-05-31,3530.8333333333335
2016-06-01,3382.0
2016-06-02,3451.6666666666665
2016-06-03,3427.5
2016-06-04,3539.0
2016-06-06,3726.6666666666665
2016-06-07,3511.0
2016-06-08,3410.0
2016-06-09,3426.6666666666665
2016-06-10,3491.0
2016-06-11,3637.0
2016-06-13,3644.1666666666665
2016-06-14,3617.1428571428573
2016-06-15,3463.75
2016-06-16,3762.5
2016-06-17,3593.3333333333335
2016-06-18,3464.0
2016-06-20,3468.3333333333335
2016-06-21,3368.3333333333335
2016-06-22,3356.0
2016-06-23,3527.0
2016-06-24,3516.0
2016-06-25,3653.3333333333335
2016-06-27,3575.0
2016-06-28,3518.3333333333335
2016-06-29,3119.3333333333335
2016-06-30,3618.3333333333335
2016-07-01,3469.285714285714
2016-07-02,3540.714285714286
2016-07-04,3588.75
2016-07-05,3468.3333333333335
2016-07-06,3550.0
2016-07-07,3687.5
2016-07-08,3503.3333333333335
2016-07-09,3640.5
2016-07-11,3426.25
2016-07-12,3326.25
2016-07-13,3471.25
2016-07-14,3592.0
2016-07-15,3590.0
2016-07-16,3469.1666666666665
2016-07-18,3382.5
2016-07-19,3470.0
2016-07-20,3452.0
2016-07-21,3380.0
2016-07-22,3513.0
2016-07-23,3432.0
2016-07-25,3472.0
2016-07-26,3476.6666666666665
2016-07-27,3407.0
2016-07-28,3404.285714285714
2016-07-29,3451.25
2016-07-30,3425.0
2016-08-01,3168.6666666666665
2016-08-02,3226.25
2016-08-03,3270.0
2016-08-04,3312.0
2016-08-05,3352.0
2016-08-06,3384.285714285714
2016-08-08,3307.5
2016-08-09,3332.5
2016-08-10,3307.0
2016-08-11,3245.0
2016-08-12,3382.5
2016-08-13,3461.0
2016-08-16,3271.6666666666665
2016-08-17,3252.5
2016-08-19,3132.5
2016-08-20,3200.0
2016-08-22,3575.0
2016-08-23,3000.0
2016-08-27,3575.0
2016-08-29,3290.0
2016-08-30,3112.5
2016-08-31,3258.3333333333335
2016-09-01,3300.0
2016-09-02,2890.0
2016-09-03,3115.0
2016-09-05,3105.0
2016-09-06,3043.3333333333335
2016-09-07,2885.0
2016-09-08,2965.0
2016-09-09,3052.0
2016-09-10,2950.0
2016-09-12,3038.3333333333335
2016-09-14,2950.0
2016-09-15,2960.0
2016-09-16,3160.0
2016-09-17,3100.0
2016-09-19,3008.75
2016-09-20,3013.75
2016-09-21,2885.0
2016-09-22,2870.0
2016-09-23,2969.0
2016-09-24,2891.25
2016-09-26,2841.6666666666665
2016-09-27,2895.0
2016-09-28,2851.0
2016-09-29,2786.0
2016-09-30,3077.0
2016-10-01,2796.25
2016-10-03,2872.0
2016-10-04,2871.25
2016-10-05,2961.6666666666665
2016-10-06,2852.0
2016-10-07,2855.0
2016-10-08,2883.75
2016-10-10,2806.0
2016-10-12,2675.0
2016-10-13,2776.25
2016-10-14,2732.5
2016-10-15,2772.0
2016-10-17,2650.625
2016-10-18,2701.4285714285716
2016-10-19,2653.5714285714284
2016-10-20,2687.0
2016-10-21,2731.5384615384614
2016-10-22,2720.181818181818
2016-10-23,2750.0
2016-10-24,2707.0
2016-10-25,2701.9333333333334
2016-10-26,2698.75
2016-10-27,2683.6666666666665
2016-10-28,2764.818181818182
2016-10-29,2775.75
2016-10-30,2730.0
2016-10-31,2675.0
2016-11-02,2775.0
2016-11-03,2787.5
2016-11-04,2776.6666666666665
2016-11-05,2641.0526315789475
2016-11-06,2750.0
2016-11-07,2703.8823529411766
2016-11-08,2713.9411764705883
2016-11-09,2620.3636363636365
2016-11-10,2696.6666666666665
2016-11-11,2668.5714285714284
2016-11-12,2660.0
2016-11-13,2550.0
2016-11-14,2637.5
2016-11-15,2676.0
2016-11-16,2715.5
2016-11-17,2724.2
2016-11-18,2741.25
2016-11-19,2750.625
2016-11-20,2625.0
2016-11-21,2773.6153846153848
2016-11-22,2750.2727272727275
2016-11-23,2741.181818181818
2016-11-24,2760.0
2016-11-25,2764.3
2016-11-26,2781.0
2016-11-27,2700.0
2016-11-28,2827.75
2016-11-29,2817.4166666666665
2016-11-30,2801.923076923077
2016-12-01,2774.6666666666665
2016-12-02,2815.8125
2016-12-03,2811.3333333333335
2016-12-04,2683.3333333333335
2016-12-05,2800.6666666666665
2016-12-06,2771.0
2016-12-07,2804.8333333333335
2016-12-08,2785.9333333333334
2016-12-09,2795.5625
2016-12-10,2779.705882352941
2016-12-11,2775.0
2016-12-12,2775.0
2016-12-13,2786.1176470588234
2016-12-14,2787.5
2016-12-15,2802.5
2016-12-16,2784.4375
2016-12-17,2815.9444444444443
2016-12-18,2750.0
2016-12-19,2802.769230769231
2016-12-20,2830.4166666666665
2016-12-21,2759.090909090909
2016-12-22,2773.2
2016-12-23,2748.125
2016-12-24,2793.75
2016-12-25,2666.6666666666665
2016-12-26,2776.1111111111113
2016-12-27,2780.25
2016-12-28,2816.5
2016-12-29,2790.5
2016-12-30,2792.5
2016-12-31,2836.3
2017-01-01,2775.0
2017-01-02,2776.9375
2017-01-03,2844.214285714286
2017-01-04,2828.0
2017-01-05,2808.1153846153848
2017-01-06,2784.40625
2017-01-07,2799.0
2017-01-09,2793.625
2017-01-10,2767.785714285714
2017-01-11,2745.0
2017-01-12,2788.5416666666665
2017-01-13,2773.6428571428573
2017-01-16,2758.214285714286
2017-01-17,2796.0
2017-01-18,2782.3571428571427
2017-01-19,2835.5714285714284
2017-01-20,2849.3
2017-01-21,2920.4
2017-01-23,2788.1176470588234
2017-01-24,2793.0
2017-01-25,2831.8
2017-01-27,2799.181818181818
2017-01-28,2799.625
2017-01-30,2782.4166666666665
2017-01-31,2744.3333333333335
2017-02-01,2780.3
2017-02-02,2829.5454545454545
2017-02-03,2839.090909090909
2017-02-04,2809.722222222222
2017-02-05,2750.0
2017-02-06,2789.846153846154
2017-02-07,2768.0714285714284
2017-02-08,2793.0
2017-02-09,2852.5
2017-02-10,2782.0
2017-02-11,2783.5555555555557
2017-02-13,2718.8888888888887
2017-02-14,2774.7727272727275
2017-02-15,2782.5
2017-02-16,2773.3333333333335
2017-02-17,2809.090909090909
2017-02-18,2775.3
2017-02-20,2741.5
2017-02-21,2748.3333333333335
2017-02-22,2701.9615384615386
2017-02-23,2732.5
2017-02-25,2749.3571428571427
2017-02-27,2709.222222222222
2017-02-28,2909.4666666666667
2017-03-01,2727.3333333333335
2017-03-02,2703.8888888888887
2017-03-03,2718.785714285714
2017-03-04,2667.653846153846
2017-03-05,2650.0
2017-03-06,2697.222222222222
2017-03-07,2662.0
2017-03-08,2711.25
2017-03-09,2699.5
2017-03-10,2660.777777777778
2017-03-11,2656.4285714285716
2017-03-14,2720.0
2017-03-15,2689.714285714286
2017-03-16,2683.5714285714284
2017-03-17,2664.285714285714
2017-03-18,2651.25
2017-03-20,2693.214285714286
