year,price
2016-05-02,3706.25
2016-05-03,3843.3333333333335
2016-05-04,3687.0
2016-05-05,3653.125
2016-05-06,3750.0
2016-05-07,3734.5
2016-05-10,3726.0
2016-05-11,3737.8
2016-05-12,3697.1428571428573
2016-05-13,3678.5714285714284
2016-05-14,3676.2
2016-05-16,3520.25
2016-05-17,3704.375
2016-05-18,3700.5
2016-05-19,3681.5555555555557
2016-05-20,3619.3333333333335
2016-05-21,3638.8
2016-05-23,3698.222222222222
2016-05-24,3665.125
2016-05-25,3679.4285714285716
2016-05-26,3854.0
2016-05-27,3635.0
2016-05-28,3652.6
2016-05-29,3723.0
2016-05-30,3610.1428571428573
2016-05-31,3955.8571428571427
2016-06-01,3560.6666666666665
2016-06-02,3629.75
2016-06-03,3532.714285714286
2016-06-04,3647.6666666666665
2016-06-06,3623.4285714285716
2016-06-07,3611.0
2016-06-08,3595.125
2016-06-09,3599.1666666666665
2016-06-10,3567.25
2016-06-11,3539.75
2016-06-13,3603.5
2016-06-14,3611.5
2016-06-15,3517.2
2016-06-16,3588.5
2016-06-17,3616.25
2016-06-18,3515.75
2016-06-20,4137.75
2016-06-21,3553.8333333333335
2016-06-22,3463.3333333333335
2016-06-23,3562.0
2016-06-24,3537.5
2016-06-25,3496.5
2016-06-27,3579.0
2016-06-28,3601.6666666666665
2016-06-29,3650.2
2016-06-30,3525.25
2016-07-01,3633.5
2016-07-02,3486.0
2016-07-05,3526.714285714286
2016-07-06,3446.5
2016-07-07,3600.0
2016-07-08,3495.0
2016-07-09,3376.0
2016-07-11,3883.0
2016-07-12,3843.75
2016-07-13,3503.0
2016-07-14,3409.3333333333335
2016-07-15,3918.6
2016-07-16,3471.0
2016-07-17,3519.0
2016-07-18,3915.8
2016-07-19,3400.0
2016-07-20,3983.3333333333335
2016-07-21,3195.25
2016-07-22,3464.0
2016-07-23,3434.0
2016-07-25,3471.8333333333335
2016-07-26,3247.1666666666665
2016-07-27,3993.0
2016-07-28,3510.3333333333335
2016-07-29,3576.6666666666665
2016-07-30,3601.3333333333335
2016-08-01,3575.0
2016-08-03,3556.6666666666665
2016-08-04,3322.5
2016-08-05,3448.75
2016-08-06,3392.5
2016-08-08,4283.333333333333
2016-08-09,3546.6666666666665
2016-08-10,3388.75
2016-08-11,3404.6
2016-08-12,3512.5
2016-08-13,3437.25
2016-08-16,3543.0
2016-08-17,3637.0
