year,price
2013-11-18,3205.0
2013-11-19,3355.0
2013-11-21,3401.0
2013-11-22,3404.0
2013-11-23,3525.5
2013-11-25,3410.0
2013-11-26,3497.5
2013-11-27,3410.0
2013-11-28,3402.0
2013-11-29,3302.0
2013-11-30,3405.0
2013-12-04,3445.5
2013-12-05,3405.0
2013-12-06,3426.0
2013-12-09,3464.5
2013-12-10,3401.0
2013-12-12,3410.0
2013-12-14,3405.0
2013-12-18,3401.0
2013-12-19,3405.0
2013-12-20,3363.6666666666665
2013-12-21,3426.0
2013-12-23,3425.5
2013-12-26,3457.0
2013-12-27,3352.5
2013-12-28,3327.0
2013-12-30,3385.3333333333335
2014-01-02,3500.0
2014-01-03,3344.5
2014-01-04,3208.5
2014-01-06,3345.3846153846152
2014-01-07,3299.777777777778
2014-01-08,3280.777777777778
2014-01-09,3325.2
2014-01-10,3286.5
2014-01-11,3245.0
2014-01-13,3120.4
2014-01-16,3367.6666666666665
2014-01-17,3386.875
2014-01-18,3325.714285714286
2014-01-20,3115.25
2014-01-21,3357.4
2014-01-22,3463.6
2014-01-23,3278.3333333333335
2014-01-24,3338.625
2014-01-25,3424.4285714285716
2014-01-27,3422.1666666666665
2014-01-28,3311.75
2014-01-29,3438.0
2014-01-30,3531.6666666666665
2014-01-31,3413.1666666666665
2014-02-01,3435.0
2014-02-03,3422.5
2014-02-04,3447.6
2014-02-05,3433.285714285714
2014-02-06,3535.0
2014-02-07,3410.5
2014-02-08,3386.4
2014-02-10,3470.3333333333335
2014-02-11,3504.0
2014-02-12,3241.375
2014-02-13,3489.1666666666665
2014-02-14,3552.4
2014-02-15,3479.2
2014-02-17,3477.0
2014-02-18,3459.8333333333335
2014-02-19,3546.4
2014-02-20,3512.4285714285716
2014-02-21,3525.8571428571427
2014-02-22,3594.3333333333335
2014-02-24,3496.5
2014-02-25,3558.1666666666665
2014-02-26,3643.0
2014-02-28,3700.0
2014-03-01,3059.0
2014-03-03,3778.6666666666665
2014-03-04,3833.2
2014-03-05,3681.6
2014-03-06,3760.6666666666665
2014-03-07,3808.375
2014-03-08,3698.8571428571427
2014-03-10,3804.5
2014-03-11,3696.625
2014-03-12,3722.8333333333335
2014-03-13,3661.8333333333335
2014-03-14,3683.285714285714
2014-03-15,3746.0
2014-03-17,3505.5
2014-03-18,3662.0
2014-03-19,3559.75
2014-03-20,3771.2
2014-03-21,3733.0
2014-03-22,3710.3333333333335
2014-03-24,3683.714285714286
2014-03-25,3723.8
2014-03-26,3638.4
2014-03-27,3638.5
2014-03-28,3574.0
2014-03-29,2796.5
2014-03-30,3700.0
2014-04-01,3669.6666666666665
2014-04-02,3819.1666666666665
2014-04-03,3777.3333333333335
2014-04-04,3811.2
2014-04-05,3706.6666666666665
2014-04-07,3808.5714285714284
2014-04-08,3578.5
2014-04-09,3567.6666666666665
2014-04-10,3764.0
2014-04-11,3787.75
2014-04-12,3738.25
2014-04-15,3621.5
2014-04-16,3891.2
2014-04-19,3745.5
2014-04-21,3854.0
2014-04-22,3950.5
2014-04-23,4112.5
2014-04-24,4110.333333333333
2014-04-25,4101.0
2014-04-26,3907.5
2014-04-28,4003.75
2014-04-29,4050.0
2014-04-30,4511.0
2014-05-03,4560.0
2014-05-05,4364.333333333333
2014-05-06,4290.0
2014-05-07,4173.8
2014-05-08,4254.4
2014-05-09,3974.0
2014-05-10,4252.0
2014-05-12,4186.5
2014-05-13,4364.0
2014-05-14,3803.6666666666665
2014-05-15,4259.0
2014-05-16,4287.5
2014-05-17,4226.333333333333
2014-05-19,3949.6666666666665
2014-05-20,4300.0
2014-05-21,3677.6666666666665
2014-05-22,4069.4
2014-05-23,4246.0
2014-05-24,4089.0
2014-05-26,4261.666666666667
2014-05-27,4203.666666666667
2014-05-28,4225.0
2014-05-29,3650.5
2014-05-31,3523.0
2014-06-02,4052.5
2014-06-03,4091.3333333333335
2014-06-04,5850.5
2014-06-05,3812.75
2014-06-06,4233.333333333333
2014-06-09,3468.0
2014-06-10,3820.0
2014-06-11,3201.0
2014-06-12,2601.0
2014-06-13,4100.0
2014-06-14,3850.0
2014-06-16,3963.3333333333335
2014-06-17,4150.0
2014-06-19,3920.0
2014-06-20,3479.5
2014-06-21,3467.3333333333335
2014-06-23,3790.25
2014-06-24,3840.0
2014-06-25,3810.0
2014-06-26,3801.0
2014-06-27,4050.0
2014-06-28,3817.0
2014-06-30,3910.0
2014-07-02,3930.75
2014-07-03,3750.0
2014-07-04,3850.0
2014-07-05,4830.5
2014-07-07,3880.0
2014-07-09,3800.0
2014-07-11,3930.0
2014-07-12,3801.0
2014-07-14,3950.0
2014-07-16,3945.0
2014-07-17,3860.0
2014-07-18,4312.0
2014-07-19,4045.0
2014-07-21,4610.0
2014-07-23,3950.0
2014-07-24,3955.5
2014-07-25,3254.5
2014-07-26,4000.0
2014-07-28,3245.0
2014-07-30,4000.5
2014-07-31,4263.75
2014-08-02,3615.25
2014-08-04,4312.0
2014-08-05,3855.3333333333335
2014-08-06,3926.25
2014-08-07,3750.0
2014-08-08,3805.0
2014-08-09,3733.0
2014-08-11,4350.0
2014-08-12,3733.75
2014-08-13,3600.5
2014-08-14,3800.0
