year,price
2011-02-26,2250.0
2011-02-28,2300.0
2011-03-01,2100.0
2011-03-02,2100.0
2011-03-03,2100.0
2011-03-04,2100.0
2011-03-05,2100.0
2011-03-06,2100.0
2011-03-07,2100.0
2011-03-08,2100.0
2011-03-09,2100.0
2011-03-10,2100.0
2011-03-11,2100.0
2011-03-12,2100.0
2011-03-13,2100.0
2011-03-14,2100.0
2011-03-15,2100.0
2011-03-16,2100.0
2011-03-17,2100.0
2011-03-18,2100.0
2011-03-19,2100.0
2011-03-20,2100.0
2011-03-21,2100.0
2011-03-22,2000.0
2011-03-23,2000.0
2011-03-24,2000.0
2011-03-25,2000.0
2011-03-26,2050.0
2011-03-27,2050.0
2011-03-28,2050.0
2011-03-29,2050.0
2011-03-30,2050.0
2011-03-31,2050.0
2011-04-01,2050.0
2011-04-02,2050.0
2011-09-06,3000.0
2011-09-20,2000.0
2011-10-04,1951.0
2011-10-08,2500.0
2011-10-10,2000.0
2011-10-11,2000.0
2011-10-12,1929.5
2011-10-13,1940.0
2011-10-14,1940.0
2011-10-15,1870.0
2011-10-16,2000.0
2011-10-18,1925.0
2011-10-19,1925.0
2011-10-20,1925.0
2011-10-21,2000.0
2011-10-22,1900.0
2011-10-23,2000.0
2011-10-24,2000.0
2011-10-25,2000.0
2011-10-26,2000.0
2011-10-27,1910.0
2011-10-28,1975.0
2011-10-29,1992.6666666666667
2011-10-31,2000.0
2011-11-01,2000.0
2011-11-02,1990.0
2011-11-03,1997.5
2011-11-04,2001.6666666666667
2011-11-05,2040.5
2011-11-08,2000.0
2011-11-11,1950.0
2011-11-12,1950.0
2011-11-15,1950.0
2011-11-16,2063.0
2011-11-18,2000.0
2011-11-19,2060.0
2011-11-25,1980.0
2011-12-08,2125.0
2011-12-09,2225.0
2011-12-12,2100.0
2011-12-14,2100.0
2011-12-15,2100.0
2011-12-21,2200.0
2011-12-26,2100.0
2012-01-09,2800.0
2012-01-17,2350.0
2012-01-27,2300.0
2012-01-31,2210.0
2012-02-02,2325.0
2012-02-09,2000.0
2012-02-17,2300.0
2012-03-13,2510.0
2012-03-16,2000.0
2012-03-17,2400.0
2012-04-13,2000.0
2012-07-05,3400.0
2012-07-21,3700.0
2012-09-22,3550.0
2012-09-24,3400.0
2012-09-27,3250.0
2012-09-28,3300.0
2012-10-03,2600.0
2012-10-04,2400.0
2012-10-05,2500.0
2012-10-06,2650.0
2012-10-08,2800.0
2012-10-09,2750.0
2012-10-10,2400.0
2012-10-11,2576.3333333333335
2012-10-12,2485.0
2012-10-13,2750.0
2012-10-16,2650.0
2012-10-17,2516.6666666666665
2012-10-18,2575.0
2012-10-19,2850.0
2012-10-20,2850.0
2012-10-21,2700.0
2012-10-22,2500.0
2012-10-23,2778.0
2012-10-25,2600.0
2012-10-26,2800.0
2012-10-27,2700.0
2012-10-28,2700.0
2012-10-29,2912.5
2012-10-30,2958.3333333333335
2012-10-31,2950.0
2012-11-01,2975.0
2012-11-02,2975.0
2012-11-03,3012.5
2012-11-04,3050.0
2012-11-05,2950.0
2012-11-06,2975.0
2012-11-07,3012.5
2012-11-08,3017.5
2012-11-09,2973.6666666666665
2012-11-10,3000.0
2012-11-11,2200.0
2012-11-12,2550.0
2012-11-13,2200.0
2012-11-14,2200.0
2012-11-15,2900.0
2012-11-16,2200.0
2012-11-17,2700.0
2012-11-19,3005.5
2012-11-20,2930.0
2012-11-21,3010.0
2012-11-22,2988.3333333333335
2012-11-23,2900.0
2012-11-24,3000.0
2012-11-26,2900.0
2012-11-27,3020.0
2012-11-29,3025.0
2012-11-30,3016.6666666666665
2012-12-01,2900.0
2012-12-03,2993.3333333333335
2012-12-04,3050.0
2012-12-05,3050.0
2012-12-06,3100.0
2012-12-07,3100.0
2012-12-08,2660.0
2012-12-11,2900.0
2012-12-12,2900.0
2012-12-13,2900.0
2012-12-14,3005.0
2012-12-15,2900.0
2012-12-16,2600.0
2012-12-17,3100.0
2012-12-18,2900.0
2012-12-19,2900.0
2012-12-20,3102.5
2012-12-21,2900.0
2012-12-22,3135.0
2012-12-24,3000.0
2012-12-25,2900.0
2012-12-27,3060.0
2012-12-28,2980.0
2012-12-31,3065.0
2013-01-01,2900.0
2013-01-02,3080.0
2013-01-05,3050.0
2013-01-07,2990.0
2013-01-16,3025.0
2013-01-17,3036.0
2013-01-24,3000.0
2013-01-29,3100.0
2013-01-31,3100.0
2013-02-01,2950.0
2013-02-02,3120.0
2013-02-04,3100.0
2013-02-06,2800.0
2013-02-07,2800.0
2013-02-08,2850.0
2013-02-09,2800.0
2013-02-10,2800.0
2013-02-11,2800.0
2013-02-12,2800.0
2013-02-13,2800.0
2013-02-14,2800.0
2013-02-19,3000.0
2013-02-20,2800.0
2013-02-21,2850.0
2013-02-22,2800.0
2013-02-25,3020.0
2013-02-28,3080.0
2013-03-05,2900.0
2013-03-09,3150.0
2013-03-18,3280.0
2013-03-19,3330.0
2013-06-17,3500.0
2013-06-20,3880.0
2013-06-21,3500.0
2013-07-02,3100.0
2013-07-22,3400.0
2013-08-12,3100.0
2013-08-17,3050.0
2013-09-02,3050.0
2013-09-04,3075.0
2013-09-11,3260.0
2013-09-12,3081.0
2013-09-13,3130.0
2013-09-15,3080.0
2013-09-16,3127.5
2013-09-17,2950.0
2013-09-20,3200.0
2013-09-21,2980.0
2013-09-24,3100.0
2013-09-25,3100.0
2013-09-26,2700.0
2013-09-27,3130.0
2013-09-28,3150.0
2013-09-30,2750.0
2013-10-01,2980.0
2013-10-03,2800.0
2013-10-06,2780.0
2013-10-07,2750.0
2013-10-08,3050.1666666666665
2013-10-09,2916.0
2013-10-10,2825.0
2013-10-11,2837.5
2013-10-12,2800.0
2013-10-15,3000.0
2013-10-16,2933.3333333333335
2013-10-17,2990.0
2013-10-18,3101.75
2013-10-19,2927.1428571428573
2013-10-20,2966.6666666666665
2013-10-21,3010.8333333333335
2013-10-22,2947.0
2013-10-23,2913.6
2013-10-24,3038.0
2013-10-25,3016.6666666666665
2013-10-26,3098.714285714286
2013-10-27,2875.0
2013-10-28,3014.2
2013-10-29,3010.0
2013-10-30,3134.0
2013-10-31,3007.5
2013-11-01,2960.0
2013-11-02,3000.0
2013-11-03,3000.0
2013-11-04,2955.75
2013-11-05,3043.75
2013-11-06,3142.125
2013-11-07,3244.5555555555557
2013-11-08,3181.25
2013-11-09,3253.5
2013-11-10,3450.5
2013-11-11,3447.25
2013-11-12,3296.875
2013-11-13,3307.8571428571427
2013-11-14,3310.0
2013-11-15,3325.0
2013-11-16,3267.5
2013-11-17,3150.0
2013-11-18,3367.1428571428573
2013-11-19,3289.5
2013-11-20,3237.1666666666665
2013-11-21,3389.5
2013-11-22,3451.4
2013-11-23,3375.0
2013-11-25,3275.0
2013-11-26,3266.6666666666665
2013-11-27,3371.6666666666665
2013-11-28,3396.25
2013-11-29,3350.0
2013-12-04,3402.5
2013-12-05,3350.0
2013-12-06,3355.0
2013-12-07,3533.3333333333335
2013-12-09,3373.75
2013-12-10,3350.0
2013-12-11,3487.6666666666665
2013-12-12,3283.3333333333335
2013-12-13,3325.0
2013-12-14,2900.0
2013-12-16,3250.0
2013-12-17,3235.0
2013-12-18,3316.6666666666665
2013-12-19,3176.25
2013-12-20,3150.0
2013-12-21,3425.0
2013-12-23,3312.5
2013-12-24,3166.6666666666665
2013-12-26,3254.0
2013-12-27,3350.0
2013-12-28,3100.0
2013-12-29,2900.0
2013-12-30,3216.6666666666665
2013-12-31,3285.0
2014-01-02,3008.3333333333335
2014-01-03,3216.0
2014-01-04,3175.0
2014-01-06,2800.0
2014-01-07,3325.0
2014-01-08,3305.0
2014-01-09,2850.0
2014-01-10,3075.0
2014-01-11,3200.0
2014-01-15,2900.0
2014-01-16,3000.0
2014-01-17,3060.5
2014-01-18,3135.0
2014-01-20,3200.0
2014-01-21,3305.5
2014-01-22,3200.0
2014-01-23,3471.0
2014-01-24,3464.5
2014-01-25,3250.0
2014-01-27,3550.0
2014-01-28,3425.0
2014-01-29,3450.0
2014-01-31,3300.0
2014-02-01,3450.0
2014-02-03,3450.0
2014-02-04,3400.0
2014-02-05,3350.0
2014-02-06,3450.0
2014-02-07,3481.0
2014-02-08,3293.6666666666665
2014-02-10,3350.0
2014-02-11,3200.0
2014-02-12,3350.0
2014-02-13,3250.0
2014-02-14,3100.0
