year,price
2015-12-15,1950.0
2015-12-16,1900.0
2015-12-17,2200.0
2015-12-18,2187.5
2015-12-19,1900.0
2015-12-21,1850.0
2015-12-22,1900.0
2015-12-23,1900.0
2015-12-26,1950.0
2015-12-28,2525.0
2015-12-29,1900.0
2015-12-30,1900.0
2015-12-31,2566.6666666666665
2016-01-01,2150.0
2016-01-04,2575.0
2016-01-05,2200.0
2016-01-06,1950.0
2016-01-07,1900.0
2016-01-11,3200.0
2016-01-12,1875.0
2016-01-13,2400.0
2016-01-16,2200.0
2016-01-18,2800.0
2016-01-19,1900.0
2016-01-20,1875.0
2016-01-21,1900.0
2016-01-22,1900.0
2016-01-25,2700.0
2016-01-28,2737.5
2016-02-02,1950.0
2016-02-03,1800.0
2016-02-04,3600.0
2016-02-05,2900.0
2016-02-08,2750.0
2016-02-09,2150.0
2016-02-11,3500.0
2016-02-15,3600.0
2016-02-16,1900.0
2016-02-18,1900.0
2016-02-19,1900.0
2016-02-20,1875.0
2016-02-22,2687.5
2016-02-23,2400.0
2016-02-24,1800.0
2016-02-25,2750.0
2016-02-26,1900.0
2016-02-27,1850.0
2016-03-01,3600.0
2016-03-02,1850.0
2016-03-03,1875.0
2016-03-04,1850.0
2016-03-05,2725.0
2016-03-08,2725.0
2016-03-11,1900.0
2016-03-14,1875.0
2016-03-15,1950.0
2016-03-16,1875.0
2016-03-17,2675.0
2016-03-18,2650.0
2016-03-21,1875.0
2016-03-23,3200.0
2016-03-26,3500.0
2016-03-29,1800.0
2016-03-30,3500.0
2016-04-01,3500.0
2016-04-05,3500.0
2016-04-06,1950.0
2016-04-07,3500.0
2016-04-12,3300.0
2016-04-13,6500.0
2016-04-15,2050.0
2016-04-18,3700.0
2016-04-20,2787.5
2016-04-22,3500.0
2016-04-23,1900.0
2016-04-25,2687.5
2016-04-26,2687.5
2016-04-27,3700.0
2016-04-28,3600.0
2016-04-29,3500.0
2016-04-30,3600.0
2016-05-02,2750.0
2016-05-03,2550.0
2016-05-04,1900.0
2016-05-05,3600.0
2016-05-06,3800.0
2016-05-07,2525.0
