year,price
2012-03-21,2100.0
2012-03-22,2075.0
2012-03-23,2275.0
2012-03-24,2075.0
2012-03-26,2250.0
2012-03-27,2075.0
2012-03-28,2075.0
2012-03-29,2225.0
2012-03-30,2050.0
2012-03-31,2075.0
2012-04-02,2225.0
2012-04-03,2075.0
2012-04-04,2050.0
2012-04-07,2050.0
2012-04-09,2050.0
2012-04-10,2050.0
2012-04-11,2125.0
2012-04-12,2075.0
2012-04-13,2250.0
2012-04-16,2250.0
2012-04-17,2100.0
2012-04-18,2075.0
2012-04-19,2250.0
2012-04-20,2050.0
2012-04-21,2250.0
2012-04-23,2100.0
2012-04-24,2100.0
2012-04-25,2075.0
2012-04-26,2325.0
2012-04-27,2050.0
2012-04-28,2250.0
2012-04-30,2100.0
2012-05-02,2075.0
2012-05-04,2350.0
2012-05-07,2150.0
2012-05-08,2100.0
2012-05-09,2350.0
2012-05-10,2350.0
2012-05-11,2375.0
2012-05-14,2250.0
2012-05-15,2350.0
2012-05-16,2350.0
2012-05-17,2375.0
2012-05-18,2375.0
2012-05-19,2350.0
2012-05-21,2375.0
2012-05-22,2350.0
2012-05-23,2225.0
2012-05-26,2175.0
2012-05-28,2350.0
2012-05-29,2375.0
2012-05-30,2350.0
2012-05-31,2250.0
2012-06-01,2350.0
2012-06-02,2350.0
2012-06-04,2250.0
2012-06-05,2375.0
2012-06-06,2250.0
2012-06-07,2375.0
2012-06-08,2350.0
2012-06-11,2400.0
2012-06-12,2400.0
2012-06-13,2375.0
2012-06-14,2375.0
2012-06-15,2375.0
2012-06-16,2375.0
2012-06-18,2350.0
2012-06-20,2125.0
2012-06-21,2375.0
2012-06-22,2375.0
2012-06-23,2150.0
2012-06-25,2350.0
2012-06-26,2375.0
2012-06-27,2350.0
2012-06-28,2375.0
2012-06-29,2400.0
2012-06-30,2350.0
2012-07-02,2375.0
2012-07-03,2375.0
2012-07-04,2375.0
2012-07-05,2375.0
2012-07-06,2375.0
2012-07-07,2375.0
2012-07-11,2375.0
2012-07-12,2375.0
2012-07-13,2375.0
2012-07-16,2350.0
2012-07-17,2375.0
2012-07-19,2375.0
2012-07-20,2375.0
2012-07-21,2375.0
2012-07-23,2375.0
2012-07-24,2375.0
2012-07-25,2075.0
2012-07-26,2375.0
2012-07-27,2375.0
2012-07-28,2375.0
2012-07-30,2350.0
2012-07-31,2375.0
2012-08-01,2350.0
2012-08-03,2350.0
2012-08-04,2375.0
2012-08-06,2400.0
2012-08-07,2475.0
2012-08-08,2475.0
2012-08-09,2450.0
2012-08-10,2300.0
2012-08-13,2475.0
2012-08-14,2475.0
2012-08-16,2350.0
2012-08-17,2350.0
2012-08-18,2375.0
2012-08-24,2525.0
2012-08-25,2525.0
2012-09-01,2450.0
2012-09-03,2500.0
2012-09-11,2450.0
2012-09-12,2425.0
2012-09-13,2400.0
2012-09-14,2400.0
2012-09-19,2500.0
2012-09-20,2500.0
2012-09-22,2500.0
2012-09-24,2450.0
2012-09-27,2500.0
2012-09-28,2500.0
2012-09-29,2500.0
2012-10-04,2400.0
2012-10-05,2500.0
2012-10-06,2500.0
2012-11-08,2600.0
2012-11-14,2700.0
2013-01-02,2700.0
2013-03-15,2500.0
2013-04-18,2500.0
2013-04-19,2650.0
2013-04-20,1370.0
2013-04-22,1385.0
2013-04-24,1380.0
2013-04-25,1375.0
2013-04-26,1985.0
2013-04-27,1375.0
2013-04-29,1385.0
2013-04-30,1380.0
2013-05-06,2500.0
2013-05-07,2500.0
2013-05-08,2550.0
2013-05-09,2675.0
2013-05-13,2600.0
2013-05-14,2600.0
2013-05-15,2700.0
2013-05-16,2700.0
2013-05-18,2600.0
2013-05-20,2700.0
2013-05-21,2750.0
2013-05-22,2750.0
2013-05-23,2700.0
2013-05-24,2700.0
2013-05-28,2650.0
2013-05-29,2700.0
2013-05-30,2600.0
2013-05-31,2700.0
2013-06-03,2700.0
2013-06-07,2600.0
2013-06-10,2700.0
2013-06-11,2750.0
2013-06-12,2700.0
2013-06-14,2850.0
2013-06-17,2700.0
2013-06-18,2700.0
2013-06-19,2700.0
2013-06-20,2750.0
2013-06-21,2600.0
2013-06-22,2700.0
2013-06-24,2675.0
2013-06-26,2700.0
2013-06-27,2700.0
2013-06-29,2700.0
2013-07-01,2700.0
2013-07-02,2700.0
2013-07-03,2700.0
2013-07-04,2700.0
2013-07-05,2700.0
2013-07-06,2700.0
2013-07-08,2650.0
2013-07-11,2800.0
2013-07-12,2850.0
2013-07-15,2700.0
2013-07-16,2800.0
2013-07-17,2875.0
2013-07-19,2700.0
2013-07-20,2700.0
2013-07-22,2800.0
2013-07-23,2800.0
2013-07-25,2700.0
2013-07-29,2875.0
2013-07-30,2800.0
2013-07-31,2800.0
2013-08-01,2800.0
2013-08-02,2800.0
2013-08-03,2800.0
2013-08-07,2800.0
2013-08-12,2700.0
2013-08-13,2800.0
2013-08-14,2800.0
2013-08-16,2800.0
2013-08-17,2700.0
2013-08-19,2700.0
2013-08-20,2700.0
2013-08-21,2700.0
2013-08-23,2700.0
2013-08-24,2800.0
2013-08-26,2750.0
2013-08-27,2700.0
2013-08-29,2700.0
2013-08-30,2600.0
2013-09-02,2750.0
2013-09-03,2700.0
2013-09-04,2700.0
2013-09-05,2700.0
2013-09-06,2700.0
2013-09-09,2700.0
2013-09-10,2700.0
2013-09-11,2700.0
2013-09-12,2750.0
2013-09-13,2700.0
2013-09-19,2700.0
2013-09-20,2700.0
2013-09-23,2650.0
2013-09-24,2650.0
2013-09-25,2650.0
2013-09-26,2700.0
2013-09-27,2650.0
2013-09-28,2700.0
2013-09-30,2650.0
2013-10-01,2650.0
2013-10-03,2700.0
2013-10-04,2700.0
2013-10-05,2650.0
2013-10-07,2700.0
2013-10-08,2700.0
2013-10-09,2700.0
2013-10-10,2700.0
2013-10-15,2750.0
2013-10-19,2700.0
2013-10-21,2800.0
2013-10-22,2750.0
2013-10-23,2800.0
2013-10-24,2800.0
2013-10-25,2700.0
2013-10-26,2775.0
2013-10-29,2750.0
2013-10-30,2675.0
2013-11-04,2800.0
2013-11-05,2850.0
2013-11-06,2850.0
2013-11-11,2750.0
2013-11-12,2800.0
2013-11-13,2700.0
2013-11-15,2800.0
2013-11-16,2850.0
2013-11-19,2700.0
2013-11-20,2750.0
2013-11-21,2600.0
2013-11-22,2650.0
2013-11-23,2700.0
2013-11-25,2650.0
2013-11-26,2650.0
2013-12-17,2700.0
2013-12-18,2675.0
2013-12-19,2650.0
2013-12-20,2600.0
2013-12-21,2600.0
2013-12-23,2675.0
2013-12-24,2650.0
2013-12-26,2650.0
2013-12-27,2600.0
2013-12-28,2600.0
2013-12-30,2600.0
2013-12-31,2600.0
2014-01-01,2600.0
2014-01-03,2600.0
2014-01-04,2600.0
2014-01-06,2600.0
2014-01-07,2600.0
2014-01-08,2600.0
2014-01-09,2700.0
2014-01-13,2550.0
2014-01-15,2575.0
2014-01-17,2575.0
2014-01-20,2550.0
2014-01-21,2550.0
2014-01-22,2600.0
2014-01-24,2575.0
2014-01-25,2575.0
2014-01-27,2600.0
2014-01-28,2575.0
2014-01-29,2550.0
