year,price
0,1605.5738065973856
1,1586.5252639353275
2,1559.7117931246758
3,1560.1219976693392
4,1589.9722628891468
5,1580.3038483858109
6,1606.2579433619976
7,1654.7664457932115
8,1667.3912386922166
9,1668.619758342703
10,1683.8907372653484
11,1752.0170321989183
12,1720.4308478087187
13,1718.5279882252216
14,1802.9968757284805
15,1770.3748666395743
16,1694.7013518959284
17,1677.4483312517405
18,1701.64330214262
19,1685.4354378730059
20,1666.047880401214
21,1661.5794632583857
22,1629.5723360329866
23,1625.7265747338533
24,1669.431654036045
25,1725.7411140153806
26,1722.067381163438
27,1787.7893458555143
28,1755.8385619819164
29,1736.1621421165764
30,1721.0977385044098
31,1718.445233176152
32,1726.6817331910133
33,1689.9453017264605
34,1679.362001226594
35,1679.751363351941
36,1665.7120245099068
37,1658.894457119517
38,1661.6593441963196
39,1667.8647874901071
40,1669.6255216561258
41,1681.367336054643
42,1706.881377438704
43,1768.075305044651
44,1727.990391008556
45,1703.088683001697
46,1692.376338981092
47,1693.6710710525513
48,1744.5360549241304
49,1716.6919842610757
50,1713.4504090547562
51,1753.6616195887327
52,1711.2174671590328
53,1697.941172927618
54,1741.370912830035
55,1747.51965296641
56,1731.5204045372084
57,1729.1164424270391
58,1740.1666660550982
59,1742.8786478874583
60,1755.2934260591865
61,1764.8787523955107
62,1742.608563825488
63,1724.2360425442457
64,1725.0795011719067
65,1770.4756800358493
66,1774.8641216009855
67,2611.3919150829315
68,1657.8466355800629
69,1657.8625114262104
70,1611.528225928545
71,1612.6438717941444
72,1602.8933868209522
73,1617.2188313156366
74,1608.6441254466772
75,1610.614881157875
76,1644.2802452743053
77,1639.5913778841496
78,1643.044893577695
79,1656.9555343687534
80,1682.8042199304327
81,1675.5025873668492
82,1673.71084792912
83,1681.3803656995296
84,1704.3519575335085
85,1683.1900795847178
86,1679.8840294728677
87,1728.6473414599895
88,1717.539751291275
89,1686.6502349823713
90,1671.5510925091803
91,1667.0660069203004
92,1640.8162512481213
93,1624.6572902612388
94,1641.0635549724102
95,1655.8898008801043
96,1668.240088045597
97,1707.8332462534308
98,1703.5269616643589
99,1747.9163961059724
100,1757.6981786489487
101,1753.3898425996304
102,1713.0531739965081
103,1682.4061166672036
104,1673.7850998789072
105,1694.9808549322188
106,1686.9153066277504
107,1751.2432402968407
108,1792.576583623886
109,1752.624141126871
110,1726.3474893011153
111,1715.0243179416284
112,1711.9285058192909
113,1717.432131394744
114,1728.400641568005
115,1737.7455646395683
116,1764.679068312049
117,1748.2817352339625
118,1739.0898667871952
119,1733.471221845597
120,1739.3972127139568
121,1765.7505506053567
122,1747.0559124341235
123,1751.3165051713586
124,1778.2818404734135
125,1783.1942790150642
126,1824.0440237522125
127,1812.2378020882607
128,1826.3272286355495
129,1782.8067759424448
130,1756.9760863929987
131,1746.983349621296
132,1749.352224074304
133,1761.4193505396445
134,1781.3657982349396
135,1778.2730251053968
136,1822.2044045776129
137,1783.0947066247463
138,1761.771800518036
139,1758.5765912036102
140,1774.6960381418467
141,1756.2682340033352
142,1744.4727397039533
143,1739.698615135625
144,1749.0074369311333
145,1791.433990502109
146,1783.1857432425022
147,1760.4185441881418
148,1749.078894816339
149,1748.6395459622145
150,1756.3587080361322
151,1758.6887809447944
152,1760.5323132798076
153,1766.8300868868828
154,1836.3817037940025
155,1806.3305384665728
156,1800.4946489930153
157,1809.3667206764221
158,1791.690161138773
159,1792.2496661394835
160,1812.5123042538762
161,1825.4686452820897
162,1829.1162319853902
163,1836.4120183810592
164,1853.0432043597102
165,1879.646403670311
166,1911.7499192729592
167,1931.1166760399938
168,1933.363175958395
169,1936.0163804143667
170,1965.7846524864435
171,1987.1035683900118
172,1996.5737966792658
173,1991.0397041849792
174,1982.5534348934889
175,1975.2341096615419
176,1968.5342523828149
177,1970.3028998176255
178,2021.520441263914
179,2000.2640246289473
180,1993.7123699337244
181,1982.9605054035783
182,1989.6204441189766
183,2018.5474302371344
184,2090.7741393744946
185,2174.3884078115225
186,2173.2398705631495
187,2126.440626978874
188,2090.375993847847
189,2065.3946977630258
190,2055.8084407616407
191,2059.2019689567387
192,2053.181229773909
193,2040.825205343465
194,2014.8629948496819
195,1999.6321376636624
196,2007.4705714918673
197,2012.6692800140008
198,2011.5732857352123
199,2014.8305995836854
200,2025.2575903949328
201,2028.7092984905466
202,2028.6136166192591
203,2025.150228661485
204,2033.6639732122421
205,2037.4926785752177
206,2026.9844554578885
207,2034.5464864869914
208,2098.2545362015567
209,2090.3027745187283
210,2057.9071597903967
211,2038.067420206964
212,2030.961615445713
213,2043.0131159188845
214,2027.4970694184303
215,1996.2807532548904
216,1994.68776067098
217,2021.3873404860497
218,1975.2251521497965
219,1940.6064480170608
220,1918.594254180789
221,1906.2291249968112
222,1897.2370383106172
223,1891.3289015702903
224,1889.3114975653589
225,1890.3228292427957
226,1896.5326841585338
227,1906.8103596009314
228,1917.9322475492954
229,1940.9579117521644
230,1968.737006381154
231,1996.2092765048146
232,2019.265444457531
233,2048.521794371307
234,2019.6349447593093
235,2000.3149365447462
236,2002.721635401249
237,2013.5903144031763
238,1977.800560593605
239,1959.779090743512
240,1952.2024162821472
241,1952.200937923044
242,1963.6168975755572
243,1978.412672996521
244,2010.8014352222285
245,2020.0206993855536
246,2010.5547028779984
247,1995.7443141937256
248,1977.175352871418
249,1966.3081548921764
250,1965.9460062617436
251,1963.0796788185835
252,1951.8959265351295
253,1953.2491010278463
254,1971.016748972237
255,1938.9558688551188
256,1920.827121593058
257,1921.098742345348
258,1929.6639257011313
259,1943.219212859869
260,1941.090429276228
261,1904.0027315542102
262,1874.7036390826106
263,1853.9136189892888
264,1841.180974394083
265,1834.5880317958072
266,1836.6313740089536
267,1842.5433198486764
268,1860.2466108947992
269,1842.0507119596004
270,1743.5747489631176
271,1729.45610338822
272,1745.1170701440424
273,1749.8788720071316
274,1762.2831266485155
275,1770.3069994226098
276,1793.398383329312
277,1840.9172246232629
278,1865.4901108344395
279,1893.7691274099052
280,1892.436311159283
281,1873.7013432458043
282,1847.9517825841904
283,1847.1245522548754
284,1874.3936187028885
285,1844.9468538463116
286,1830.4295831918716
287,1831.8336395919323
288,1831.387854874134
289,1815.232740064462
290,1824.6120980754495
291,1813.0771921500564
292,1808.6182869216427
293,1784.590127915144
294,1773.5138094872236
295,1787.8111596778035
296,1769.0191856523354
297,1757.0208193585277
298,1753.4696113467216
299,1751.2758568823338
300,1743.7046056985855
301,1781.2926916206877
302,1735.5721741765738
303,1695.6559520065784
304,1670.0535003468394
305,1668.929282516241
306,1777.4299000650644
307,1751.14016777277
308,1742.8857689499855
309,1793.1007170211524
310,1782.6767885275185
311,1775.244776878506
312,1784.914108619094
313,1788.2534096638362
314,1764.9823481502633
315,1754.9305035211146
316,1758.2399066487949
317,1790.4049979485571
318,1795.116741198115
319,1785.623800990482
320,1784.9988259077072
321,1801.4071323374908
322,1747.6654891967773
323,1737.5601900219917
324,1775.8267870973796
325,1782.7251789222162
326,1751.9580995291471
327,1743.0039799064398
328,1772.7369324540098
329,1765.8889880478382
330,1796.8985576679308
331,1768.3231182793777
332,1767.3303170651197
333,1808.8933633714914
334,1820.1218490973115
335,1798.0611180836956
336,1797.0106600224972
337,1805.7930304333568
338,1794.7213812631865
339,1794.5813999809325
340,1806.2544118588169
341,1809.5482180640101
342,1809.0967000350356
343,1790.9976363182068
344,1763.091957718134
345,1762.96415053308
346,1787.54719235003
347,1775.8327228808776
348,1745.2088812887669
349,1707.6415890455246
350,1702.4804820418358
351,1720.1068868041039
352,1697.899304971099
353,1686.087937347591
354,1686.2962067127228
355,1799.1015582121909
356,1770.9226099525888
357,1731.5907138586044
358,1712.2738763379555
359,1718.5421843252454
360,1713.2788152722642
361,1715.086478707691
362,1703.3331154286861
363,1674.0732987597585
