Assam,Kamrup,P.O. Uparhali Guwahati,Other,Pulses,12.00,3400,3700,3550,01 Jan 2014
Chattisgarh,Raipur,Bhatapara,Green Peas,Pulses,0.10,2590,2590,2590,01 Jan 2014
Gujarat,Dahod,Dahod,Green Peas,Pulses,0.70,2600,2800,2700,01 Jan 2014
Haryana,Gurgaon,Pataudi,Other,Pulses,23.00,1500,1500,1500,01 Jan 2014
Haryana,Hissar,Narnaund,Other,Pulses,0.58,2300,2500,2400,01 Jan 2014
Haryana,Hissar,Uklana,Green Peas,Pulses,1.80,2000,2000,2000,01 Jan 2014
Haryana,Sirsa,kalanwali,Other,Pulses,2.40,1400,1500,1450,01 Jan 2014
Kerala,Alappuzha,Alappuzha,Other,Pulses,1.00,4800,4950,4900,01 Jan 2014
Kerala,Alappuzha,Aroor,Other,Pulses,0.10,4800,4900,4800,01 Jan 2014
Madhya Pradesh,Gwalior,Lashkar,Green Peas,Pulses,16.00,800,1000,900,01 Jan 2014
Maharashtra,Kolhapur,Kolhapur(Laxmipuri),Other,Pulses,6.50,3200,5200,4200,01 Jan 2014
Maharashtra,Mumbai,Mumbai,Other,Pulses,48.00,200,600,400,01 Jan 2014
Maharashtra,Pune,Pune,Other,Pulses,10.00,4200,4600,4400,01 Jan 2014
Orissa,Koraput,Koraput(Semilguda),Other,Pulses,25.00,2500,2600,2550,01 Jan 2014
Rajasthan,Jodhpur,Jodhpur(F&V)(Paota),Other,Pulses,8.80,800,1500,1200,01 Jan 2014
Uttar Pradesh,Raebarelli,Lalganj,Other,Pulses,0.40,1425,1500,1450,01 Jan 2014
Uttar Pradesh,Raebarelli,Raibareilly,Other,Pulses,15.00,1480,1510,1500,01 Jan 2014
Uttar Pradesh,Sultanpur,Sultanpur,Other,Pulses,25.00,1400,1600,1560,01 Jan 2014
Haryana,Gurgaon,Pataudi,Other,Pulses,18.00,1500,1500,1500,02 Jan 2014
Haryana,Hissar,Narnaund,Other,Pulses,0.42,2500,2700,2600,02 Jan 2014
Haryana,Hissar,Uklana,Green Peas,Pulses,0.70,1800,2000,2000,02 Jan 2014
Haryana,Sirsa,kalanwali,Other,Pulses,1.50,1400,1500,1450,02 Jan 2014
